campaign,week,price_white,price_red,source_url,scraped_at
2022/2023,1,39.33,42.11,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/012023boletinpreciosdelvinodel2al8deenero.pdf,2025-12-10T09:44:21.514469
2022/2023,2,39.5,43.0,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/022023boletinpreciosdelvinodel9al15deenero.pdf,2025-12-10T09:44:20.017081
2022/2023,3,38.31,41.64,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/032023boletinpreciosdelvinodel16al22deenero.pdf,2025-12-10T09:44:18.465108
2022/2023,4,38.16,41.15,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/042023boletinpreciosdelvinodel23al29deenero.pdf,2025-12-10T09:44:16.906113
2022/2023,5,38.22,39.85,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/052023boletinpreciosdelvinodel30deeneroal5defebrero.pdf,2025-12-10T09:44:15.439324
2022/2023,6,38.42,38.83,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/062023boletinpreciosdelvinodel6al12defebrero.pdf,2025-12-10T09:44:13.980221
2022/2023,7,37.86,40.48,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/072023boletinpreciosdelvinodel13al19defebrero.pdf,2025-12-10T09:44:12.525951
2022/2023,8,37.76,40.52,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/082023boletinpreciosdelvinodel20al26defebrero.pdf,2025-12-10T09:44:11.069488
2022/2023,9,37.03,40.28,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/092023boletinpreciosdelvinodel27defebreroal5demarzo.pdf,2025-12-10T09:44:09.645397
2022/2023,10,37.67,39.97,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/102023boletinpreciosdelvinodel6al12demarzo.pdf,2025-12-10T09:44:08.161834
2022/2023,11,38.71,39.44,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/112023boletinpreciosdelvinodel13al19demarzo.pdf,2025-12-10T09:44:06.722989
2022/2023,12,37.88,38.73,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/122023boletinpreciosdelvinodel20al26demarzo.pdf,2025-12-10T09:44:05.224371
2022/2023,13,37.99,38.28,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/132023boletinpreciosdelvinodel27demarzoal2deabril.pdf,2025-12-10T09:44:03.769375
2022/2023,14,36.67,38.2,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/142023boletinpreciosdelvinodel3al9deabril.pdf,2025-12-10T09:44:02.297504
2022/2023,15,35.88,37.42,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/152023boletinpreciosdelvinodel10al16deabril.pdf,2025-12-10T09:44:00.853083
2022/2023,16,36.38,37.33,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/162023boletinpreciosdelvinodel17al23deabril.pdf,2025-12-10T09:43:59.441384
2022/2023,17,36.15,37.96,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/172023boletinpreciosdelvinodel24al30deabril.pdf,2025-12-10T09:43:57.985097
2022/2023,18,35.34,37.68,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/182023boletinpreciosdelvinodel1al7demayo.pdf,2025-12-10T09:43:56.540276
2022/2023,19,34.97,37.99,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/192023boletinpreciosdelvinodel8al14demayo.pdf,2025-12-10T09:43:55.054798
2022/2023,20,35.99,38.41,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/202023boletinpreciosdelvinodel15al21demayo.pdf,2025-12-10T09:43:53.445418
2022/2023,21,36.67,38.85,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2022---2023/212023boletinpreciosdelvinodel22al28demayo.pdf,2025-12-10T09:43:51.970966
