modelo,trial,val_acc,val_loss,val_mae,epochs,trial_time_min,hp_lstm_1,hp_dropout,hp_lstm_2,hp_learning_rate,hp_batch_size
LSTM,1,0.707869,0.918723,0.081741,3,26.71,32,0.2,8,0.001,512
LSTM,2,0.740654,0.732452,0.067547,5,35.06,8,0.2,32,0.001,512
LSTM,3,0.664836,0.950352,0.083587,1,15.52,32,0.3,8,0.001,512
LSTM,4,0.73798,0.761559,0.078921,4,16.23,16,0.2,8,0.001,512
LSTM,5,0.691742,0.811609,0.084586,7,17.12,8,0.3,8,0.001,512
LSTM,6,0.716785,0.955657,0.070197,3,32.24,16,0.2,32,0.001,512
LSTM,7,0.696269,0.879631,0.07116,1,37.16,32,0.2,32,0.001,512
LSTM,8,0.677539,0.887639,0.080593,1,23.12,32,0.2,16,0.001,512
LSTM,9,0.711632,0.784682,0.071637,4,13.96,8,0.3,16,0.001,512
LSTM,10,0.723553,0.748361,0.073336,2,20.11,16,0.3,16,0.001,512
CNN,1,0.664187,0.890538,0.092283,2,2.62,64,3,16,3,0.2,0.001,512
CNN,2,0.710682,0.753796,0.096127,9,2.6,16,3,16,3,0.3,0.001,512
CNN,3,0.682267,0.895586,0.098009,5,4.57,64,5,16,3,0.3,0.001,512
CNN,4,0.720415,0.750018,0.079141,4,2.32,16,3,32,3,0.2,0.001,512
CNN,5,0.714617,0.773804,0.080022,4,3.18,32,5,32,3,0.3,0.001,512
CNN,6,0.695839,0.772122,0.085398,7,3.52,16,5,32,3,0.2,0.001,512
CNN,7,0.691346,0.808931,0.099078,7,3.55,32,3,16,3,0.3,0.001,512
CNN,8,0.710176,0.778413,0.081388,3,2.57,32,3,32,3,0.2,0.001,512
CNN,9,0.693251,0.838502,0.096604,10,3.91,32,5,16,3,0.3,0.001,512
CNN,10,0.699249,0.818566,0.093961,4,2.37,32,5,16,3,0.2,0.001,512
BiGRU,1,0.708605,0.7978,0.074905,2,14.83,32,0.2,16,0.001,512
BiGRU,2,0.708605,0.780429,0.081256,6,9.65,8,0.3,16,0.001,512
BiGRU,3,0.6904,0.803449,0.080753,10,10.66,8,0.2,8,0.001,512
BiGRU,4,0.713185,0.923202,0.087062,3,24.34,32,0.2,8,0.001,512
BiGRU,5,0.689717,0.796533,0.085588,4,33.07,16,0.3,8,0.001,512
BiGRU,6,0.719789,0.736754,0.0753,3,26.95,16,0.3,16,0.001,512
BiGRU,7,0.722688,0.804754,0.079897,10,62.15,16,0.2,8,0.001,512
BiGRU,8,0.722688,0.722923,0.071611,9,12.45,8,0.2,16,0.001,512
BiGRU,9,0.703227,0.774005,0.09155,10,16.78,8,0.3,8,0.001,512
BiGRU,10,0.716279,0.859999,0.087825,4,58.47,32,0.3,8,0.001,512
