date,abonos,acido fosforico,cloruro potasico 60,complejo 15 15 15,complejo 7 12 7,complejo 8 15 15,complejo 8 24 16,complejo 8 24 8,complejo 9 18 27,dap,euros por 100kg s iva,nitrato amonico 33 5,nitrato amonico calcico 26,nitrosulfato amonico 26,nota 1 posicion comercial entrada explotacion agraria en sacos,nota 2 la matriz de ponderacion provincial para el calculo del precio nacional se ha actualizado a la del calculo de los indices de precios 2020 100,nota 2 los datos mensuales de xxxx han de considerarse provisionales,nota 3 los datos del ultimo ano han de considerarse provisionales,precios pagados por los agricultores,solucion nitrogenada 32,sulfato amonico 21,sulfato potasico 50,superfosfato de cal 18,urea 46
2005-01-01,,,,20.74,15.63,17.86,20.39,19.80,,25.62,,22.33,18.03,18.32,,,,,,,13.56,29.58,14.26,23.49
2005-02-01,,,,20.89,15.76,17.56,20.24,19.66,,25.85,,22.52,18.16,18.33,,,,,,,13.59,29.44,14.11,23.29
2005-03-01,,,,21.17,16.13,17.62,20.18,19.49,,25.90,,23.40,18.14,18.31,,,,,,,13.94,31.38,14.39,23.72
2005-04-01,,,,21.22,16.61,17.91,20.30,19.40,,25.85,,23.99,17.93,18.43,,,,,,,13.94,31.57,14.36,24.11
2005-05-01,,,,21.14,16.62,17.94,20.41,19.35,,25.86,,24.04,17.96,18.59,,,,,,,14.18,32.01,14.75,24.19
2005-06-01,,,,21.17,15.87,18.26,20.32,19.36,,26.07,,24.74,18.07,18.96,,,,,,,13.89,32.83,14.90,24.40
2005-07-01,,,,21.37,15.87,18.52,20.50,19.42,,26.11,,24.67,18.28,18.82,,,,,,,13.92,32.97,14.79,24.38
2005-08-01,,,,21.41,15.86,18.64,20.55,19.43,,26.34,,24.40,18.38,18.78,,,,,,,13.84,32.62,14.84,24.39
2005-09-01,,,,21.46,16.17,18.64,20.92,19.56,,25.73,,24.26,18.59,18.67,,,,,,,13.85,33.19,14.93,24.40
2005-10-01,,,,21.78,16.16,18.83,21.27,19.30,,25.84,,24.40,19.09,18.51,,,,,,,13.91,33.49,14.82,24.76
2005-11-01,,,,21.75,16.16,19.02,21.16,19.04,,27.03,,24.22,19.24,18.43,,,,,,,13.94,33.00,14.76,24.30
2005-12-01,,,,21.76,16.16,18.97,21.18,19.27,,26.16,,24.95,19.53,18.95,,,,,,,13.91,33.46,14.82,25.12
2006-01-01,,,,21.98,16.29,19.18,21.36,19.46,,27.50,,25.33,19.60,19.17,,,,,,,14.13,32.85,14.67,25.77
2006-02-01,,,,21.82,16.32,18.95,21.03,19.58,,27.59,,25.77,19.61,18.56,,,,,,,14.24,33.07,14.59,25.79
2006-03-01,,,,21.82,15.77,19.00,21.02,19.50,,28.10,,25.32,19.54,18.48,,,,,,,14.20,32.09,14.58,25.67
2006-04-01,,,,22.05,15.77,18.99,21.06,19.46,,28.73,,25.67,19.46,18.62,,,,,,,14.21,33.10,14.63,26.02
2006-05-01,,,,22.03,15.84,18.81,21.07,19.70,,27.90,,25.81,19.55,18.84,,,,,,,14.21,33.35,14.74,25.93
2006-06-01,,,,22.12,15.85,18.93,21.07,19.60,,27.81,,26.12,19.52,18.44,,,,,,,14.43,33.10,14.70,26.23
2006-07-01,,,,21.97,15.85,18.81,21.12,19.64,,26.81,,26.08,19.48,18.45,,,,,,,14.18,33.27,14.71,25.91
2006-08-01,,,,22.07,15.85,18.83,21.12,19.65,,26.77,,25.58,19.54,18.46,,,,,,,14.18,33.17,14.66,25.93
2006-09-01,,,,22.15,16.07,19.28,21.53,20.03,,26.36,,25.61,19.53,18.53,,,,,,,14.20,33.13,14.65,26.04
2006-10-01,,,,21.93,15.87,19.37,21.38,20.14,,26.39,,25.70,19.57,18.42,,,,,,,14.37,33.29,14.69,25.60
2006-11-01,,,,22.24,15.85,19.25,22.01,20.11,,26.00,,26.41,19.67,18.88,,,,,,,14.43,33.26,14.50,25.60
2006-12-01,,,,22.19,15.75,19.33,22.29,20.44,,26.22,,26.40,20.10,18.91,,,,,,,14.57,32.87,14.45,25.93
2007-01-01,,,,22.21,15.43,19.31,21.97,20.23,,26.64,,26.30,19.76,19.03,,,,,,,14.86,35.19,14.64,26.31
2007-02-01,,,,22.24,15.42,19.69,21.81,19.97,,26.87,,26.14,19.66,19.17,,,,,,,14.96,33.11,14.64,26.93
2007-03-01,,,,22.15,15.60,19.42,21.64,20.64,,28.19,,26.14,19.69,19.27,,,,,,,14.86,34.36,14.69,27.27
2007-04-01,,,,22.39,16.33,19.88,21.95,20.05,,30.47,,26.41,19.67,19.32,,,,,,,15.10,34.40,14.66,28.06
2007-05-01,,,,22.96,16.61,20.81,21.80,20.41,,32.32,,26.55,19.57,19.60,,,,,,,15.48,34.41,14.82,28.77
2007-06-01,,,,23.10,16.63,20.89,22.16,21.67,,33.08,,26.28,19.74,19.89,,,,,,,15.34,34.50,15.07,28.45
2007-07-01,,,,23.15,16.74,21.23,22.85,21.63,,33.70,,26.17,19.79,19.97,,,,,,,15.37,34.61,14.96,28.73
2007-08-01,,,,24.03,17.25,21.71,24.63,22.36,,33.97,,26.60,19.79,19.98,,,,,,,15.65,34.65,15.30,29.03
2007-09-01,,,,25.90,18.07,23.31,26.27,24.97,,35.12,,27.28,20.38,20.33,,,,,,,15.53,34.41,15.98,30.19
2007-10-01,,,,27.73,18.68,24.53,28.21,26.65,,36.15,,27.77,20.79,20.76,,,,,,,16.60,35.04,16.34,30.46
2007-11-01,,,,29.13,19.74,26.35,29.89,28.82,,37.66,,27.85,20.97,20.99,,,,,,,17.45,35.08,16.91,31.89
2007-12-01,,,,30.14,21.72,26.32,31.42,29.33,,42.39,,29.69,22.65,22.16,,,,,,,17.92,35.60,18.63,32.03
2008-01-01,,,,34.23,23.69,29.76,34.07,31.35,,46.74,,32.42,24.25,24.18,,,,,,,20.79,38.99,20.25,35.65
2008-02-01,,,,36.64,25.84,32.64,36.98,31.77,,53.73,,33.96,26.11,24.50,,,,,,,21.43,43.51,21.59,37.19
2008-03-01,,,,38.52,27.56,34.47,42.63,33.60,,60.68,,36.18,28.96,25.44,,,,,,,22.65,44.08,22.17,37.15
2008-04-01,,,,40.09,27.75,35.38,43.28,34.11,,65.17,,37.09,29.35,24.78,,,,,,,23.09,46.81,22.47,37.73
2008-05-01,,,,43.49,28.64,38.51,45.52,38.28,,70.74,,39.82,32.22,29.62,,,,,,,24.70,49.31,23.88,39.74
2008-06-01,,,,44.92,31.74,39.70,47.05,38.84,,73.60,,41.00,32.37,30.15,,,,,,,25.10,51.66,24.35,42.86
2008-07-01,,,,48.20,32.02,41.07,48.46,41.22,,73.60,,42.04,32.52,31.24,,,,,,,27.25,53.76,27.02,46.48
2008-08-01,,,,50.93,33.69,44.18,52.08,41.45,,75.57,,42.02,33.83,32.50,,,,,,,28.84,56.09,27.70,49.20
2008-09-01,,,,52.57,33.24,45.25,52.12,41.38,,76.91,,44.40,35.78,33.20,,,,,,,28.31,58.73,27.79,50.83
2008-10-01,,,,54.44,32.68,46.73,53.05,45.26,,72.40,,45.68,36.81,33.57,,,,,,,29.97,58.76,28.73,47.34
2008-11-01,,,,53.96,32.19,45.43,54.61,48.85,,69.56,,43.20,36.91,33.33,,,,,,,28.96,64.03,28.70,42.65
2008-12-01,,,,52.12,31.06,45.16,54.40,43.79,,67.32,,42.56,33.37,29.86,,,,,,,27.73,65.36,29.18,38.65
2009-01-01,,,,49.13,31.96,41.09,50.14,43.06,,63.28,,41.94,31.92,29.01,,,,,,,24.70,66.32,28.74,35.42
2009-02-01,,,,45.55,31.61,39.22,47.38,43.16,,60.12,,39.85,29.41,28.66,,,,,,,23.42,66.16,28.30,34.17
2009-03-01,,,,44.28,30.69,35.26,44.17,42.71,,55.17,,39.71,26.69,28.61,,,,,,,23.13,65.93,26.06,34.40
2009-04-01,,,,42.27,26.60,33.45,42.71,41.45,,46.04,,39.51,24.54,26.44,,,,,,,21.90,66.22,25.33,32.81
2009-05-01,,,,42.21,26.47,33.14,42.16,40.96,,45.30,,38.88,23.66,27.91,,,,,,,21.70,64.70,24.96,32.15
2009-06-01,,,,40.23,25.77,31.83,40.42,39.08,,44.71,,37.79,22.09,27.15,,,,,,,21.22,64.87,23.91,31.93
2009-07-01,,,,39.50,24.81,31.94,39.04,37.94,,45.67,,37.13,21.35,26.71,,,,,,,21.39,64.77,23.46,31.05
2009-08-01,,,,37.72,23.44,30.62,36.65,35.55,,43.59,,36.18,21.20,23.76,,,,,,,21.04,64.07,22.69,31.20
2009-09-01,,,,35.92,22.19,29.03,33.53,33.06,,39.43,,34.36,19.86,23.18,,,,,,,20.00,65.11,21.10,30.33
2009-10-01,,,,31.64,20.82,25.89,29.19,30.03,,28.96,,31.14,17.26,21.95,,,,,,,18.81,61.79,19.46,29.36
2009-11-01,,,,30.82,20.66,25.84,28.44,28.92,,28.90,,30.49,17.39,21.29,,,,,,,18.32,60.33,17.98,27.56
2009-12-01,,,,30.08,19.95,25.32,28.13,28.22,,29.59,,31.18,17.65,21.44,,,,,,,18.02,59.22,17.86,28.42
2010-01-01,,,42.51,31.77,20.49,25.77,28.22,25.52,33.32,32.14,,29.28,19.73,19.94,,,,,,22.12,17.80,60.05,18.80,28.44
2010-02-01,,,40.76,31.93,21.11,26.15,28.24,25.87,32.93,32.97,,29.74,20.76,20.23,,,,,,22.85,18.43,57.30,17.88,29.75
2010-03-01,,,42.48,32.12,20.45,25.40,29.41,26.63,33.46,33.90,,31.25,20.99,20.58,,,,,,23.61,16.98,55.49,18.21,29.77
2010-04-01,,,41.81,33.30,20.44,26.13,29.25,26.99,33.64,34.70,,31.03,20.97,20.61,,,,,,24.18,17.81,55.11,18.15,30.51
2010-05-01,,,39.67,33.23,20.42,26.28,29.24,27.06,33.86,35.26,,30.85,21.15,21.02,,,,,,23.57,17.83,54.12,18.12,30.06
2010-06-01,,,38.35,32.92,20.26,25.69,30.18,27.19,34.07,34.79,,31.20,20.82,21.43,,,,,,23.66,17.13,53.71,17.91,29.54
2010-07-01,,,38.58,33.59,20.58,26.02,31.27,27.63,34.81,36.80,,31.38,21.03,21.18,,,,,,23.90,17.05,53.64,18.36,29.56
2010-08-01,,,38.48,33.74,21.50,26.56,32.70,28.74,35.70,39.73,,30.71,21.66,21.97,,,,,,23.06,16.91,51.36,18.89,29.99
2010-09-01,,,38.40,35.39,24.30,28.16,33.93,30.93,36.95,42.87,,30.95,23.62,22.14,,,,,,24.37,18.53,52.07,19.61,31.12
2010-10-01,,,39.28,36.81,24.57,29.46,34.94,31.91,37.30,45.17,,31.69,24.72,22.98,,,,,,25.90,19.50,52.72,19.51,32.75
2010-11-01,,,39.21,36.54,24.82,30.03,35.89,32.55,37.82,45.75,,32.15,25.53,23.67,,,,,,27.57,19.76,51.91,19.86,32.77
2010-12-01,,,39.37,36.95,24.93,30.32,36.46,32.81,37.95,49.61,,33.44,26.12,25.05,,,,,,28.69,21.18,52.67,19.98,34.63
2011-01-01,,,40.19,38.32,26.34,32.55,37.54,33.68,39.31,49.19,,35.09,28.58,26.27,,,,,,29.11,22.41,51.43,20.30,35.69
2011-02-01,,,40.50,39.26,26.56,33.28,37.69,33.95,39.11,50.28,,37.60,29.15,28.71,,,,,,30.30,22.96,52.37,20.55,37.22
2011-03-01,,,40.96,39.46,26.85,33.34,37.70,34.85,41.73,48.34,,40.19,29.12,29.12,,,,,,30.76,23.54,53.99,21.26,36.79
2011-04-01,,,41.43,39.59,26.65,33.11,37.61,34.44,41.27,51.03,,39.57,28.89,29.05,,,,,,31.05,23.59,54.33,21.54,35.93
2011-05-01,,,41.78,38.78,26.24,33.02,37.68,34.78,41.07,50.61,,38.39,27.90,28.84,,,,,,29.75,23.02,53.18,20.81,35.58
2011-06-01,,,42.02,38.82,29.69,34.25,38.59,36.67,42.25,51.16,,38.81,28.10,29.51,,,,,,30.46,22.99,53.56,21.17,37.61
2011-07-01,,,42.37,39.08,29.67,34.46,39.09,36.42,42.72,51.92,,39.40,28.34,29.65,,,,,,31.71,23.16,53.40,21.63,38.42
2011-08-01,,,42.67,39.35,29.45,34.70,39.55,37.83,42.16,52.71,,40.53,28.20,29.56,,,,,,32.53,23.75,54.45,21.44,38.96
2011-09-01,,,42.33,40.46,27.42,35.19,40.68,37.99,42.83,52.49,,40.99,28.63,29.64,,,,,,33.74,24.52,55.08,21.81,39.06
2011-10-01,,,43.16,40.95,27.60,35.40,41.30,38.31,43.53,55.81,,41.21,29.27,29.36,,,,,,33.80,24.58,55.09,21.71,41.21
2011-11-01,,,42.66,40.91,27.75,35.07,41.41,38.20,43.54,55.78,,41.23,29.01,29.30,,,,,,33.67,24.57,55.37,21.70,40.32
2011-12-01,,,43.43,41.06,26.81,35.09,41.69,38.24,43.73,55.82,,41.06,29.31,29.18,,,,,,33.54,24.51,55.51,21.78,40.66
2012-01-01,,,43.58,41.17,26.60,34.94,41.66,38.17,44.50,55.07,,41.45,28.42,29.11,,,,,,33.66,24.06,55.44,21.63,40.91
2012-02-01,,,43.22,41.16,26.62,34.71,41.10,37.91,44.11,54.27,,40.61,28.29,29.05,,,,,,33.48,24.10,55.47,21.58,40.94
2012-03-01,,,42.96,41.17,28.82,34.80,41.04,38.14,43.13,53.41,,40.43,28.06,29.00,,,,,,32.32,24.14,56.03,21.56,40.93
2012-04-01,,,43.52,41.41,28.74,34.70,40.82,37.40,43.37,53.65,,41.31,27.65,28.92,,,,,,33.28,24.48,55.61,21.69,41.89
2012-05-01,,,43.64,41.51,28.57,34.79,40.96,37.44,43.43,53.37,,40.98,26.85,28.94,,,,,,33.94,24.78,55.08,21.79,43.12
2012-06-01,,,43.25,41.66,28.62,34.97,41.15,37.68,43.63,54.82,,40.66,27.24,29.04,,,,,,34.45,25.02,54.90,21.61,43.99
2012-07-01,,,42.84,42.28,28.75,35.14,41.19,37.60,43.21,55.99,,41.31,27.69,29.02,,,,,,34.00,25.05,58.20,21.62,44.45
2012-08-01,,,43.45,42.49,28.91,35.44,40.97,37.60,43.73,55.17,,41.52,27.96,28.97,,,,,,34.68,25.20,57.60,21.86,43.97
2012-09-01,,,42.92,42.34,29.39,36.84,41.18,37.95,44.04,55.16,,41.20,28.28,29.06,,,,,,34.17,25.22,57.49,22.04,44.28
2012-10-01,,,44.35,42.38,29.32,36.35,40.71,38.43,43.99,54.73,,40.93,28.41,29.13,,,,,,32.83,24.08,55.01,22.61,42.37
2012-11-01,,,43.38,42.52,29.28,36.56,40.14,38.75,43.80,54.40,,40.83,28.34,29.50,,,,,,32.42,24.07,55.05,21.65,42.21
2012-12-01,,,43.36,42.87,29.17,36.53,40.23,39.14,43.39,54.20,,42.55,28.33,29.96,,,,,,32.49,24.67,56.53,21.96,42.67
2013-01-01,,,43.28,42.92,29.03,36.83,40.67,38.35,43.74,51.34,,42.18,27.78,30.11,,,,,,32.44,25.19,56.77,21.83,42.67
2013-02-01,,,43.23,42.62,28.61,36.45,40.54,37.60,43.45,50.43,,42.27,28.27,30.38,,,,,,35.91,25.94,58.05,21.98,42.61
2013-03-01,,,43.26,42.55,28.38,36.19,40.57,37.56,43.34,50.19,,41.96,28.36,30.58,,,,,,34.00,25.83,57.79,22.05,42.85
2013-04-01,,,44.36,42.15,30.44,35.23,40.39,37.83,43.22,49.91,,41.90,28.74,30.06,,,,,,36.22,25.54,57.74,22.99,41.70
2013-05-01,,,43.05,41.78,30.72,34.92,40.75,37.51,42.88,49.59,,42.81,28.75,30.05,,,,,,34.34,25.47,58.76,22.85,39.76
2013-06-01,,,42.94,41.84,30.41,35.15,40.93,37.36,42.89,48.62,,41.34,28.25,29.62,,,,,,33.27,25.19,58.64,22.86,40.02
2013-07-01,,,43.26,41.97,30.00,35.15,40.74,37.25,42.98,48.41,,41.15,27.79,30.00,,,,,,33.24,25.16,58.65,22.81,39.90
2013-08-01,,,43.12,41.47,30.35,34.32,40.20,36.78,42.76,47.63,,40.68,27.56,30.05,,,,,,31.98,24.75,58.74,22.61,39.09
2013-09-01,,,42.87,40.41,26.19,33.23,39.01,34.26,40.80,43.75,,39.88,26.90,28.75,,,,,,31.72,24.21,58.39,22.43,37.87
2013-10-01,,,40.95,39.42,25.65,32.69,39.51,34.14,40.66,38.99,,40.53,26.29,28.88,,,,,,32.68,23.79,58.21,20.93,37.05
2013-11-01,,,40.90,38.77,25.93,32.20,39.13,33.99,40.23,38.78,,40.51,25.86,28.80,,,,,,33.58,23.73,57.89,20.71,37.64
2013-12-01,,,40.10,38.07,25.70,33.00,38.69,33.79,40.06,38.34,,39.99,26.47,28.86,,,,,,33.00,23.31,58.48,21.72,37.67
2014-01-01,,,41.25,38.26,25.12,32.38,38.86,33.74,39.59,38.21,,41.18,26.89,28.42,,,,,,32.16,22.90,58.38,20.77,37.96
2014-02-01,,,41.05,39.02,25.45,32.51,38.89,33.95,39.78,39.66,,40.38,28.32,28.49,,,,,,33.58,22.73,58.22,20.71,38.83
