date,alimentos de ganado,alimentos de ganado piensos compuestos,alimentos de ganado piensos compuestos para aves,alimentos de ganado piensos compuestos para bovino,alimentos de ganado piensos compuestos para conejos,alimentos de ganado piensos compuestos para ovino y caprino,alimentos de ganado piensos compuestos para porcino,alimentos de ganado piensos simples,bienes y servicios de uso corriente,fertilizantes,fertilizantes compuestos,fertilizantes enmiendas,fertilizantes simples,fertilizantes simples fosfatados,fertilizantes simples nitrogenados,fertilizantes simples potasicos,indices de precios pagados por los agricultores,indices mensuales y anuales ano base 2020 100,nota los datos del ultimo ano han de considerarse provisionales,nota los datos mensuales de xxxx han de considerarse provisionales,semillas y plantones,semillas y plantones plantones,semillas y plantones semillas
2005-01-01,75.20,77.03,73.90,76.48,77.77,74.92,79.81,71.01,73.35,68.46,62.60,84.09,73.64,64.97,78.57,48.43,,,,,74.76,66.41,79.77
2005-02-01,75.45,77.16,74.46,76.27,78.30,74.34,79.86,71.84,73.67,68.49,62.55,84.09,73.74,64.36,78.69,48.81,,,,,74.86,66.41,79.96
2005-03-01,75.94,77.64,74.34,76.66,78.82,75.35,80.74,72.38,74.35,69.34,63.06,84.09,75.10,65.46,79.85,51.32,,,,,74.80,66.41,79.84
2005-04-01,75.97,77.42,75.34,75.55,78.94,76.16,80.08,73.49,74.91,69.58,63.22,84.09,75.45,65.50,80.23,51.58,,,,,74.80,66.41,79.84
2005-05-01,76.14,77.52,75.70,74.89,78.90,76.30,80.43,73.97,74.71,68.90,63.31,84.09,73.90,65.99,78.46,50.47,,,,,74.80,66.41,79.84
2005-06-01,76.51,77.86,74.74,77.18,79.35,76.77,80.53,74.54,75.29,69.23,63.88,84.09,74.07,66.96,78.75,49.56,,,,,74.80,66.41,79.84
2005-07-01,77.41,78.61,75.73,77.20,78.67,78.15,81.57,76.13,76.19,69.66,64.34,84.09,74.55,67.22,78.96,51.66,,,,,74.80,66.41,79.84
2005-08-01,77.74,78.83,75.02,78.21,79.27,77.98,82.01,76.88,76.61,69.78,64.64,84.09,74.54,67.42,78.95,51.55,,,,,74.80,66.41,79.84
2005-09-01,78.32,79.50,76.18,78.40,79.72,77.77,82.72,77.11,77.16,70.26,64.51,84.09,75.68,66.15,80.48,51.60,,,,,74.72,66.41,79.69
2005-10-01,78.62,79.76,75.61,78.30,79.23,77.85,83.80,77.62,77.32,70.66,65.19,84.09,75.89,66.94,80.67,51.64,,,,,74.96,66.90,79.66
2005-11-01,78.70,79.87,75.78,78.66,79.35,77.76,83.74,77.63,77.00,70.82,65.76,84.09,75.69,66.91,80.38,51.88,,,,,74.96,66.90,79.66
2005-12-01,78.91,80.08,75.55,78.98,79.57,78.53,84.13,77.78,77.09,71.32,65.56,84.09,76.97,66.91,81.85,52.58,,,,,74.96,66.90,79.66
2006-01-01,77.96,78.65,74.29,78.10,78.86,78.73,82.04,78.95,77.28,70.62,66.41,72.16,76.58,67.14,81.20,53.39,,,,,74.96,66.90,79.66
2006-02-01,78.04,78.87,74.67,78.27,77.77,78.85,82.29,78.42,77.38,70.38,66.20,72.16,76.26,67.02,80.91,52.84,,,,,74.96,66.90,79.66
2006-03-01,78.56,79.91,75.12,79.86,79.38,78.88,83.49,76.70,77.57,70.29,66.18,72.16,76.09,66.69,80.60,53.51,,,,,74.27,66.90,78.33
2006-04-01,77.70,78.86,74.94,77.94,78.52,78.45,82.27,76.59,77.77,70.77,66.83,72.16,76.49,66.59,81.06,53.79,,,,,74.17,66.90,78.14
2006-05-01,77.38,78.84,74.64,77.75,78.56,77.78,82.60,74.90,77.80,70.68,66.36,72.16,76.73,67.13,81.34,53.69,,,,,74.17,66.90,78.14
2006-06-01,76.65,78.36,74.77,77.26,78.07,77.52,81.70,73.07,77.57,70.96,66.54,72.16,77.18,67.22,81.77,54.39,,,,,74.34,66.90,78.46
2006-07-01,76.09,77.90,74.05,77.41,78.60,76.98,81.00,72.04,77.52,70.30,65.77,72.16,76.50,67.24,81.02,53.82,,,,,74.34,66.90,78.46
2006-08-01,76.61,78.47,74.49,77.47,78.00,77.58,82.03,72.34,77.80,70.30,65.77,72.16,76.50,66.97,81.11,53.45,,,,,74.34,66.90,78.46
2006-09-01,77.75,79.81,75.13,77.78,78.34,77.97,84.59,72.63,78.02,70.55,66.13,72.16,76.68,67.58,81.29,53.38,,,,,74.34,66.90,78.46
2006-10-01,78.76,80.67,76.10,78.54,80.81,79.97,85.17,74.44,78.38,70.49,66.01,72.16,76.67,67.93,81.12,54.13,,,,,78.46,66.90,86.47
