date,bienes de inversion,cons y rep edificios,cons y rep maquinaria,energia y lubricantes,energia y lubricantes carburantes,energia y lubricantes electricidad,energia y lubricantes lubricantes,gastos generales,indices de precios pagados por los agricultores,indices mensuales y anuales ano base 2020 100,maquinaria y otros bienes de equipo,material y pequeno utillaje,nota los datos del ultimo ano han de considerarse provisionales,nota los datos mensuales de xxxx han de considerarse provisionales,obras de inversion,proteccion fitopatologica,tratamientos zoosanitarios
2005-01-01,74.30,81.89,65.63,62.61,74.79,53.97,72.83,74.94,,,72.57,77.30,,,77.69,81.15,80.88
2005-02-01,74.35,81.89,65.69,63.98,77.05,53.97,73.69,75.42,,,72.64,77.66,,,77.69,81.17,81.04
2005-03-01,74.35,81.89,65.56,66.76,81.78,53.97,73.81,76.13,,,72.64,77.91,,,77.69,81.71,81.22
2005-04-01,73.74,83.17,66.11,70.05,87.38,53.97,73.81,77.00,,,71.10,78.49,,,78.48,81.80,81.54
2005-05-01,73.85,83.17,66.14,67.51,83.00,53.97,74.44,77.10,,,71.29,78.88,,,78.48,82.33,81.79
2005-06-01,73.99,83.17,66.02,70.53,88.14,53.97,74.44,77.64,,,71.52,79.40,,,78.48,82.26,81.95
2005-07-01,74.33,83.60,67.06,72.94,92.10,53.97,76.08,78.85,,,71.41,79.56,,,79.52,82.36,82.20
2005-08-01,74.36,83.60,67.12,74.87,95.37,53.97,76.32,79.36,,,71.45,79.58,,,79.52,82.47,82.41
2005-09-01,74.41,83.60,66.86,76.82,98.58,53.97,77.57,80.01,,,71.54,79.88,,,79.52,82.37,82.56
2005-10-01,75.24,83.96,67.15,76.92,98.74,53.97,77.79,79.22,,,72.43,79.54,,,80.26,82.57,82.74
2005-11-01,75.25,83.96,66.90,73.87,93.54,53.97,77.93,78.64,,,72.44,79.68,,,80.26,82.57,83.02
2005-12-01,75.25,83.96,66.93,73.51,92.92,53.97,77.93,78.43,,,72.44,79.79,,,80.26,82.53,83.27
2006-01-01,75.73,84.98,72.22,74.22,92.94,56.37,78.56,80.03,,,72.82,80.92,,,80.92,82.95,83.60
2006-02-01,75.75,84.98,71.65,75.06,94.30,56.37,79.32,80.16,,,72.86,81.55,,,80.92,83.05,83.85
2006-03-01,75.73,84.98,71.75,74.70,93.76,56.37,78.39,80.50,,,72.82,81.54,,,80.92,82.93,84.19
2006-04-01,75.86,85.48,71.84,78.23,99.67,56.37,79.66,81.74,,,72.68,82.38,,,81.45,83.26,84.61
2006-05-01,76.44,88.18,71.92,78.30,99.77,56.37,79.81,82.31,,,72.94,82.73,,,82.51,83.85,84.95
2006-06-01,76.50,88.18,72.43,78.52,100.15,56.37,79.81,82.30,,,73.05,82.95,,,82.51,83.63,85.29
2006-07-01,77.77,89.21,72.56,79.87,101.93,57.30,80.79,83.12,,,73.39,82.81,,,85.20,83.74,85.62
2006-08-01,77.82,89.21,73.00,79.45,101.24,57.30,80.48,83.64,,,73.47,83.08,,,85.20,83.62,85.95
2006-09-01,77.85,89.21,73.27,76.93,96.96,57.30,80.36,82.20,,,73.52,83.61,,,85.20,84.36,86.32
