Provincia,Trigo duro - Superficie (hectáreas),Trigo duro - Producción (toneladas),Trigo blando y semiduro - Superficie (hectáreas),Trigo blando y semiduro - Producción (toneladas),Cebada 2 carreras - Superficie (hectáreas),Cebada 2 carreras - Producción (toneladas),Cebada 6 carreras - Superficie (hectáreas),Cebada 6 carreras - Producción (toneladas),Maíz híbrido - Superficie (hectáreas),Maíz híbrido - Producción (toneladas),Otros maíces - Superficie (hectáreas),Otros maíces - Producción (toneladas)
A Coruña,0,0,2949,8552,375,900,0,0,10900,38150,1866,6693
Lugo,0,0,4799,12477,0,0,0,0,1971,6307,0,0
Ourense,0,0,9339,29506,0,0,511,1964,3325,14994,0,0
Pontevedra,0,0,610,1586,0,0,18,50,5586,20637,3280,16828
GALICIA,0,0,17697,52121,375,900,529,2014,21782,80088,5146,23521
P. DE ASTURIAS,0,0,95,190,0,0,0,0,1500,3450,100,200
CANTABRIA,0,0,371,742,557,836,--,--,20,82,7,29
Alava,0,0,25628,123014,15247,70136,0,0,0,0,25,101
Guipúzcoa,0,0,0,0,0,0,0,0,140,470,225,750
Vizcaya,0,0,1,3,0,0,0,0,62,201,98,314
PAIS VASCO,0,0,25629,123017,15247,70136,0,0,202,671,348,1165
NAVARRA,12468,13039,49388,202079,10204,27856,92188,313284,15598,128999,0,0
LA RIOJA,184,552,32175,99679,21418,59037,0,0,1626,14237,0,0
Huesca,1312,1615,20359,51750,136861,337717,30045,78430,53128,526605,0,0
Teruel,1879,2172,38181,63701,79034,135232,53789,82088,4813,39358,0,0
Zaragoza,216418,223388,21673,38022,43746,72587,13445,21387,41460,352418,0,0
ARAGON,219609,227175,80213,153473,259641,545536,97279,181905,99401,918381,0,0
Barcelona,0,0,21545,66672,42740,102020,1770,6277,2582,10967,0,0
Girona,0,0,13889,36344,14757,36638,1700,4200,11346,94239,0,0
Lleida,158,362,35165,98577,100295,284901,16373,39442,30233,323478,0,0
Tarragona,0,0,5678,12678,11880,29787,2516,6300,145,1155,0,0
CATALUÑA,158,362,76277,214271,169672,453346,22359,56219,44306,429839,0,0
BALEARES,1032,1231,4493,5360,5883,6844,4418,5027,650,5200,0,0
Avila,0,0,21349,38429,68969,105025,20067,22115,1518,13662,0,0
Burgos,10553,16252,148488,435009,207886,471000,25200,53424,970,9079,0,0
León,0,0,42316,63052,15978,20771,5322,18228,64299,578376,0,0
Palencia,91,248,76450,189725,130296,179384,25000,50642,9030,41100,0,0
Salamanca,339,610,56046,124766,51208,88163,24067,39486,15201,166617,0,0
Segovia,0,0,44341,54934,83898,115290,45175,69443,103,876,0,0
Soria,126,235,71940,137173,143582,249913,2000,3400,847,8047,0,0
Valladolid,50,65,34909,71417,259840,493584,20000,38000,20970,231509,0,0
Zamora,1566,2192,74587,140822,49246,73487,25331,38002,23596,224061,0,0
CASTILLA Y LEON,12725,19602,570426,1255327,1010903,1796617,192162,332740,136534,1273327,0,0
MADRID,127,301,24643,58472,39317,91637,783,1825,9871,108996,0,0
Albacete,0,0,48266,96452,87693,182318,92800,111290,23249,290511,0,0
Ciudad Real,0,0,58578,92480,81216,163000,43764,83460,5396,63110,0,0
Cuenca,0,0,52893,125526,208322,594992,58000,161240,2175,24118,84,931
Guadalajara,0,0,65057,124792,105298,195710,11404,21195,6552,66175,0,0
Toledo,45733,64178,41296,77833,143640,335674,9169,21426,14494,124277,0,0
CASTILLA–LA MANCHA,45733,64178,266090,517083,626169,1471694,215137,398611,51866,568191,84,931
Alicante,200,200,3136,7826,2818,6137,889,1788,599,2991,0,0
Castellón,0,0,829,1796,2859,5455,1400,2800,360,1587,0,0
Valencia,58,58,1964,2284,5785,11903,4613,9320,361,2782,0,0
C. VALENCIANA,258,258,5929,11906,11462,23495,6902,13908,1320,7360,0,0
R. DE MURCIA,380,392,8402,10320,6861,4995,34963,38398,213,1673,0,0
Badajoz,78700,238357,53600,189100,38510,120200,7700,23870,45000,540000,0,0
Cáceres,150,450,7040,21630,720,2880,3600,10440,21000,231000,0,0
EXTREMADURA,78850,238807,60640,210730,39230,123080,11300,34310,66000,771000,0,0
Almería,4615,3946,1195,1163,0,0,10650,14621,0,0,30,105
Cádiz,89960,240650,8040,21508,4118,10594,1592,4094,4488,53514,0,0
Córdoba,130959,379485,19569,56705,1680,3481,3920,8123,13487,161529,0,0
Granada,21660,27245,4585,11212,17265,35502,40100,74670,4675,25245,0,0
Huelva,18064,43571,6169,16210,400,1086,852,1490,658,5652,0,0
Jaén,21100,58617,1853,5400,3800,8600,2093,3086,1625,12396,0,0
Málaga,35084,75059,2177,4983,5317,16869,816,1632,684,4729,31,90
Sevilla,192142,505028,25663,76071,3571,9003,859,1942,29723,380114,0,0
ANDALUCIA,513584,1333601,69251,193252,36151,85135,60882,109658,55340,643179,61,195
Las Palmas,0,0,0,0,0,0,0,0,45,73,11,18
S.C. de Tenerife,0,0,178,178,0,0,96,96,373,877,93,219
CANARIAS,0,0,178,178,0,0,96,96,418,950,104,237
ESPAÑA,885108,1899498,1291897,3108200,2253090,4761144,738998,1487995,506647,4955623,5850,26278
