date,ALIMENTOS DE GANADO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA  AVES,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA BOVINO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA CONEJOS,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA OVINO Y CAPRINO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA PORCINO,ALIMENTOS DE GANADO PIENSOS SIMPLES,BIENES Y SERVICIOS DE USO CORRIENTE (INPUT I),FERTILIZANTES,FERTILIZANTES COMPUESTOS,FERTILIZANTES ENMIENDAS,FERTILIZANTES SIMPLES,FERTILIZANTES SIMPLES FOSFATADOS,FERTILIZANTES SIMPLES NITROGENADOS,FERTILIZANTES SIMPLES POTASICOS,SEMILLAS Y PLANTONES,SEMILLAS Y PLANTONES PLANTONES,SEMILLAS Y PLANTONES SEMILLAS
2005-01-01,97.56,98.19,98.26,99.01,98.43,97.52,97.78,94.64,96.97,98.21,97.74,100.0,98.28,98.1,98.65,95.11,99.9,99.82,99.98
2005-02-01,97.88,98.35,99.01,98.74,99.1,96.76,97.84,95.75,97.4,98.25,97.65,100.0,98.42,97.17,98.8,95.85,100.03,99.82,100.21
2005-03-01,98.52,98.97,98.85,99.24,99.76,98.08,98.92,96.47,98.29,99.48,98.45,100.0,100.23,98.83,100.26,100.78,99.95,99.82,100.07
2005-04-01,98.56,98.69,100.18,97.81,99.91,99.13,98.11,97.95,99.03,99.82,98.71,100.0,100.7,98.89,100.74,101.3,99.95,99.82,100.07
2005-05-01,98.77,98.81,100.66,96.95,99.86,99.32,98.54,98.59,98.77,98.84,98.85,100.0,98.63,99.63,98.51,99.12,99.95,99.82,100.07
2005-06-01,99.26,99.25,99.38,99.91,100.43,99.93,98.66,99.35,99.53,99.32,99.74,100.0,98.85,101.1,98.88,97.32,99.95,99.82,100.07
2005-07-01,100.43,100.21,100.69,99.94,99.57,101.73,99.94,101.47,100.73,99.93,100.45,100.0,99.49,101.5,99.14,101.45,99.95,99.82,100.07
2005-08-01,100.85,100.49,99.75,101.25,100.33,101.51,100.47,102.46,101.28,100.11,100.92,100.0,99.48,101.8,99.13,101.23,99.95,99.82,100.07
2005-09-01,101.6,101.34,101.29,101.49,100.9,101.23,101.34,102.77,102.01,100.8,100.72,100.0,101.01,99.88,101.05,101.34,99.85,99.82,99.88
2005-10-01,101.99,101.67,100.53,101.37,100.28,101.33,102.67,103.45,102.22,101.37,101.78,100.0,101.29,101.07,101.29,101.41,100.16,100.55,99.84
2005-11-01,102.1,101.81,100.76,101.83,100.43,101.22,102.59,103.47,101.8,101.6,102.67,100.0,101.02,101.03,100.92,101.88,100.16,100.55,99.84
2005-12-01,102.37,102.08,100.46,102.25,100.71,102.22,103.07,103.66,101.91,102.32,102.35,100.0,102.72,101.02,102.77,103.25,100.16,100.55,99.84
