date,COMPLEJO 0-14-7 (100 KG.),COMPLEJO 12-12-24 (100 KG.),COMPLEJO 12-24-8 (100 KG.),COMPLEJO 15-15-15 (100 KG.),COMPLEJO 8-15-15 (100 KG.),COMPLEJO 8-24-16 (100 KG.),COMPLEJO 8-8-8- (100 KG.),DAP (FOSFATO DIAMONICO) (100 KG.),"NITRATO AMONICO 33,5 (100 KG.)",NITRATO AMONICO CALCICO 26% (100 KG.),NITROSULFATO AMONICO 26% (100 KG.),SULFATO AMONICO 21% (100 KG.),SULFATO POTASICO 50% (100 KG.),SUPERFOSFATO DE CAL 18% (GRANO) (100 KG),UREA 46% (100 KG.)
2005-01-01,15.63,20.97,21.31,21.24,18.01,20.74,16.95,26.22,21.0,18.87,20.39,13.78,31.21,14.5,24.35
2005-02-01,15.76,20.92,21.16,21.39,17.71,20.59,16.42,26.46,21.18,19.01,20.4,13.81,31.07,14.34,24.15
2005-03-01,16.13,21.02,20.98,21.68,17.77,20.53,16.09,26.51,22.01,18.99,20.38,14.17,33.11,14.63,24.59
2005-04-01,16.61,20.99,20.88,21.73,18.06,20.65,15.94,26.45,22.57,18.77,20.51,14.17,33.31,14.6,25.0
2005-05-01,16.62,21.36,20.83,21.65,18.09,20.76,15.81,26.47,22.61,18.8,20.69,14.41,33.78,14.99,25.08
2005-06-01,15.87,21.06,20.84,21.68,18.42,20.67,15.62,26.68,23.27,18.92,21.1,14.12,34.64,15.15,25.3
2005-07-01,15.87,21.52,20.9,21.88,18.68,20.85,15.83,26.72,23.21,19.14,20.94,14.15,34.79,15.03,25.28
2005-08-01,15.86,21.78,20.92,21.92,18.8,20.9,15.38,26.96,22.95,19.24,20.9,14.07,34.42,15.09,25.29
2005-09-01,16.17,21.41,21.06,21.97,18.8,21.28,15.04,26.33,22.82,19.46,20.78,14.08,35.02,15.18,25.3
2005-10-01,16.16,21.55,20.77,22.3,18.99,21.64,14.76,26.44,22.95,19.98,20.6,14.14,35.34,15.06,25.67
2005-11-01,16.16,21.23,20.5,22.27,19.18,21.52,14.51,27.66,22.78,20.14,20.51,14.17,34.82,15.0,25.19
2005-12-01,16.16,22.15,20.74,22.28,19.13,21.54,14.46,26.77,23.47,20.44,21.09,14.14,35.31,15.06,26.04
2006-01-01,16.29,21.18,20.95,22.51,19.34,21.73,14.44,28.14,23.83,20.52,21.33,14.36,34.66,14.91,26.72
2006-02-01,16.32,21.26,21.08,22.34,19.11,21.39,14.44,28.24,24.24,20.53,20.65,14.47,34.9,14.83,26.74
2006-03-01,15.77,21.03,20.99,22.34,19.16,21.38,14.44,28.76,23.82,20.46,20.57,14.43,33.86,14.82,26.61
2006-04-01,15.77,21.1,20.95,22.58,19.15,21.42,14.42,29.4,24.15,20.37,20.72,14.44,34.93,14.87,26.98
2006-05-01,15.84,21.42,21.21,22.56,18.97,21.43,14.41,28.55,24.28,20.47,20.97,14.44,35.19,14.98,26.88
2006-06-01,15.85,21.53,21.1,22.65,19.09,21.43,14.34,28.46,24.57,20.43,20.52,14.66,34.93,14.94,27.19
2006-07-01,15.85,21.64,21.14,22.5,18.97,21.48,14.42,27.44,24.53,20.39,20.53,14.41,35.11,14.95,26.86
2006-08-01,15.85,21.64,21.15,22.6,18.99,21.48,14.47,27.4,24.06,20.46,20.54,14.41,35.0,14.9,26.88
2006-09-01,16.07,21.68,21.56,22.68,19.44,21.9,14.78,26.98,24.09,20.44,20.62,14.43,34.96,14.89,27.0
2006-10-01,15.87,21.74,21.68,22.45,19.53,21.75,14.77,27.01,24.17,20.49,20.5,14.6,35.13,14.93,26.54
2006-11-01,15.85,22.24,21.65,22.77,19.41,22.39,14.7,26.61,24.84,20.59,21.01,14.66,35.1,14.74,26.54
2006-12-01,15.75,22.98,22.0,22.72,19.49,22.67,14.9,26.83,24.83,21.04,21.05,14.81,34.69,14.69,26.88
2007-01-01,15.43,22.42,21.78,22.74,19.47,22.35,14.86,27.26,24.74,20.69,21.18,15.1,37.13,14.88,27.28
2007-02-01,15.42,22.5,21.5,22.77,19.86,22.19,14.78,27.5,24.59,20.58,21.33,15.2,34.94,14.88,27.92
2007-03-01,15.6,22.31,22.22,22.68,19.58,22.01,15.43,28.85,24.59,20.61,21.44,15.1,36.26,14.93,28.27
2007-04-01,16.33,22.14,21.58,22.92,20.05,22.33,15.9,31.18,24.84,20.59,21.5,15.35,36.3,14.9,29.09
2007-05-01,16.61,22.21,21.97,23.51,20.99,22.17,16.26,33.08,24.97,20.49,21.81,15.73,36.31,15.06,29.83
2007-06-01,16.63,21.69,23.33,23.65,21.07,22.54,16.74,33.85,24.72,20.67,22.14,15.59,36.41,15.32,29.5
2007-07-01,16.74,22.37,23.28,23.7,21.41,23.24,17.1,34.49,24.62,20.72,22.22,15.62,36.52,15.21,29.79
2007-08-01,17.25,22.65,24.07,24.6,21.89,25.05,17.46,34.77,25.02,20.72,22.23,15.9,36.56,15.55,30.1
2007-09-01,18.07,24.8,26.88,26.52,23.51,26.72,17.61,35.94,25.66,21.34,22.63,15.78,36.31,16.24,31.3
2007-10-01,18.68,24.41,28.69,28.39,24.74,28.7,18.65,37.0,26.12,21.76,23.1,16.87,36.97,16.61,31.58
2007-11-01,19.74,26.51,31.02,29.83,26.57,30.4,19.42,38.54,26.2,21.95,23.36,17.73,37.02,17.19,33.06
2007-12-01,21.72,28.46,31.57,30.86,26.54,31.96,19.88,43.38,27.93,23.71,24.66,18.21,37.57,18.94,33.21
2008-01-01,23.69,29.63,33.75,35.05,30.01,34.66,20.1,47.83,30.5,25.39,26.91,21.13,41.14,20.58,36.96
2008-02-01,25.84,30.56,34.2,37.52,32.92,37.62,20.44,54.99,31.94,27.33,27.27,21.78,45.91,21.95,38.56
2008-03-01,27.56,30.8,36.17,39.44,34.76,43.36,21.08,62.1,34.03,30.32,28.31,23.02,46.51,22.54,38.52
2008-04-01,27.75,32.17,36.72,41.05,35.68,44.02,21.56,66.7,34.89,30.73,27.58,23.47,49.39,22.84,39.12
2008-05-01,28.64,37.12,41.21,44.53,38.84,46.3,21.9,72.4,37.46,33.73,32.96,25.1,52.03,24.27,41.2
2008-06-01,31.74,38.38,41.81,45.99,40.04,47.86,22.06,75.32,38.57,33.89,33.55,25.51,54.51,24.75,44.44
2008-07-01,32.02,40.68,44.37,49.35,41.42,49.29,23.56,75.32,39.54,34.04,34.77,27.69,56.73,27.47,48.19
2008-08-01,33.69,41.01,44.62,52.15,44.56,52.98,24.31,77.34,39.53,35.42,36.17,29.31,59.19,28.16,51.01
2008-09-01,33.24,43.39,44.54,53.83,45.63,53.02,25.15,78.71,41.76,37.46,36.95,28.77,61.97,28.25,52.7
2008-10-01,32.68,44.71,48.72,55.74,47.13,53.96,26.39,74.09,42.97,38.54,37.36,30.46,62.01,29.2,49.08
2008-11-01,32.19,46.28,52.58,55.25,45.82,55.55,27.43,71.19,40.64,38.64,37.09,29.43,67.57,29.17,44.22
2008-12-01,31.06,46.54,47.14,53.37,45.54,55.34,28.17,68.9,40.03,34.93,33.23,28.18,68.97,29.66,40.07
2009-01-01,31.96,45.14,46.35,50.3,41.44,51.0,28.42,64.76,39.45,33.42,32.28,25.1,69.98,29.22,36.72
2009-02-01,31.61,44.55,46.46,46.64,39.55,48.19,28.56,61.53,37.48,30.79,31.9,23.8,69.81,28.77,35.43
2009-03-01,30.69,43.33,45.97,45.34,35.56,44.93,28.55,56.46,37.35,27.94,31.84,23.51,69.57,26.49,35.66
2009-04-01,26.6,41.75,44.62,43.28,33.73,43.44,28.45,47.12,37.16,25.69,29.42,22.26,69.88,25.75,34.02
2009-05-01,26.47,41.37,44.09,43.22,33.42,42.89,28.16,46.36,36.57,24.77,31.06,22.05,68.27,25.37,33.33
2009-06-01,25.77,39.24,42.07,41.19,32.1,41.11,28.25,45.76,35.55,23.13,30.22,21.57,68.45,24.31,33.1
2009-07-01,24.81,36.63,40.84,40.44,32.21,39.71,28.22,46.74,34.93,22.35,29.72,21.74,68.35,23.85,32.19
2009-08-01,23.44,36.82,38.27,38.62,30.88,37.28,27.44,44.61,34.03,22.19,26.44,21.38,67.61,23.06,32.35
2009-09-01,22.19,35.08,35.59,36.78,29.28,34.11,27.88,40.35,32.32,20.79,25.8,20.33,68.71,21.45,31.44
2009-10-01,20.82,34.23,32.33,32.4,26.11,29.69,27.96,29.64,29.29,18.07,24.43,19.12,65.2,19.78,30.44
