date,ALFALFA DESHIDRATADA (100 KG.),AVENA (PIENSO) (100 KG.),CEBADA (PIENSO) (100 KG.),CERDOS CRECIMIENTO Y CEBO (100 KG.),CERDOS GESTACION Y LACTACION (100 KG.),CONCENTRADO  VACUNO DE LECHE (100 KG.),CONCENTRADO VACUNO DE CARNE (100 KG.),CONEJOS (100 KG.),CORDEROS Y CHIVOS CRIA (100 KG.),CORDEROS Y CHIVOS RECRIA. ENGORDE (100 KG.),GALLINAS PONEDORAS (100 KG.),LACTORREMPLAZANTES 20% PROTEINA (100 KG.),LECHONES (100 KG.),MAIZ (PIENSO) (100 KG.),OVEJAS Y CABRAS LACTANTES (100 KG.),PAJA CEREALES (100 KG.),POLLITAS CRIA-RECRIA (100 KG.),POLLOS CARNE (100 KG.),PULPA DE REMOLACHA (100 KG.),TERNEROS CRIA (100 KG.),TERNEROS RECRIA Y CEBO (100 KG.),TORTA DE GIRASOL (100 KG.),TRIGO (PIENSO) (100 KG.)
2005-01-01,16.59,15.53,13.22,21.02,20.06,21.66,20.97,20.73,23.64,21.38,24.74,140.92,35.7,14.44,20.64,7.28,26.13,25.1,17.45,23.61,22.19,14.39,14.72
2005-02-01,17.01,15.6,13.22,21.28,19.78,21.52,21.0,20.87,23.68,21.28,24.65,144.4,34.7,14.24,20.23,7.62,26.18,25.53,17.51,23.35,22.09,14.3,14.86
2005-03-01,17.11,15.45,13.44,21.63,19.82,21.5,21.1,21.01,23.95,21.65,24.58,142.43,34.68,14.47,20.4,7.65,25.95,25.53,17.51,23.28,22.3,14.16,14.86
2005-04-01,17.2,16.01,13.64,21.33,19.82,21.56,20.82,21.04,24.1,21.68,24.92,144.49,34.82,14.64,21.03,8.03,26.15,25.88,17.63,23.49,21.75,14.34,14.9
2005-05-01,17.03,15.95,13.7,21.44,19.81,21.46,20.81,21.03,24.79,21.75,24.91,144.54,34.99,14.71,20.65,8.45,26.26,26.11,17.72,23.34,21.47,14.14,14.88
2005-06-01,17.3,16.08,14.08,21.42,19.86,22.03,21.03,21.15,24.93,21.99,24.89,147.17,35.26,14.99,20.6,8.17,26.24,25.51,17.54,23.91,22.26,13.96,15.21
2005-07-01,17.68,16.43,14.3,21.57,20.23,22.11,21.25,20.97,25.61,22.4,25.07,147.84,36.32,15.28,20.81,8.64,26.33,25.99,17.57,24.05,22.19,13.91,15.22
2005-08-01,17.82,16.45,14.31,21.69,20.4,22.27,21.88,21.13,25.17,22.42,25.08,147.87,36.36,15.31,20.87,9.1,26.2,25.54,17.49,24.14,22.51,13.86,15.08
2005-09-01,17.99,16.37,14.19,21.98,20.4,22.31,21.79,21.25,25.23,22.27,25.11,145.78,36.39,15.14,20.89,9.4,26.64,26.22,17.61,24.27,22.63,13.54,14.98
2005-10-01,17.95,16.53,14.49,22.24,20.49,22.34,21.77,21.12,25.59,22.21,25.25,143.6,37.39,15.09,20.86,9.46,26.51,25.75,17.78,24.1,22.61,13.46,15.25
2005-11-01,17.92,16.7,14.58,22.21,20.45,22.36,21.81,21.15,25.53,22.19,25.27,143.53,37.5,15.18,20.85,9.47,26.55,25.84,17.57,24.16,22.77,13.17,15.19
2005-12-01,17.92,16.97,14.56,22.35,20.51,22.37,21.98,21.21,25.63,22.5,25.24,143.71,37.47,15.21,20.98,9.57,26.56,25.72,17.5,24.44,22.89,12.89,15.2
2006-01-01,18.34,17.3,14.87,21.57,20.52,22.31,22.22,21.02,25.21,22.45,24.7,149.38,37.09,15.36,21.51,9.65,25.66,25.43,17.93,24.06,22.36,12.97,15.52
2006-02-01,18.27,16.93,14.51,21.59,20.67,22.37,22.37,20.73,25.02,22.48,24.76,146.31,37.45,15.32,21.68,9.64,25.72,25.62,17.85,23.96,22.44,12.86,15.28
2006-03-01,18.05,16.61,13.91,21.83,20.82,22.43,22.36,21.16,25.35,22.55,25.08,146.99,38.65,15.12,21.39,9.24,26.61,25.56,17.72,24.46,23.18,12.57,15.13
2006-04-01,18.12,16.54,13.74,21.47,20.4,22.33,22.14,20.93,24.98,22.37,24.88,146.71,38.43,15.31,21.51,9.32,25.81,25.69,17.81,23.87,22.33,12.39,14.88
2006-05-01,17.87,15.98,13.5,21.64,20.26,22.3,22.12,20.94,24.87,22.11,24.78,145.02,38.42,15.4,21.39,8.87,25.71,25.58,17.71,23.75,22.28,12.11,14.84
2006-06-01,17.38,15.73,13.32,21.36,20.13,22.24,21.85,20.81,24.73,22.04,24.78,144.73,38.11,15.51,21.34,8.47,25.8,25.66,17.63,23.65,22.12,12.01,14.85
2006-07-01,17.36,15.55,12.98,21.06,19.83,22.29,21.9,20.95,24.67,21.93,24.64,144.68,38.56,15.48,21.05,8.24,25.86,25.3,17.68,23.75,22.16,11.89,14.56
2006-08-01,17.45,15.84,13.36,21.43,20.07,22.27,21.72,20.79,24.67,22.1,24.71,145.15,38.56,15.79,21.33,8.24,25.75,25.54,17.62,23.9,22.22,11.5,14.66
2006-09-01,17.34,16.03,13.95,22.14,20.5,22.18,21.7,20.88,25.12,22.28,24.93,145.04,39.89,16.16,21.13,8.35,25.93,25.76,16.63,24.14,22.41,11.53,15.2
2006-10-01,17.45,16.46,14.79,22.54,21.19,22.28,21.79,21.54,25.4,22.77,25.35,145.96,38.01,17.14,22.03,8.37,26.61,25.98,16.74,23.92,22.71,12.9,16.28
2006-11-01,17.46,17.64,15.5,22.93,21.38,22.45,21.76,21.58,25.63,22.99,25.5,146.6,39.69,17.35,22.34,8.6,26.76,26.6,17.29,24.23,22.85,13.04,17.08
2006-12-01,17.37,17.71,16.01,23.22,21.36,22.66,22.15,21.76,25.52,23.02,25.5,149.74,39.57,17.85,22.5,8.5,26.7,26.89,17.58,24.39,23.14,13.16,17.59
2007-01-01,17.48,17.81,15.98,23.54,22.05,23.02,22.23,21.78,27.57,23.67,25.91,151.59,40.55,18.0,23.04,8.62,27.01,27.22,18.07,24.77,23.55,13.37,17.74
2007-02-01,17.47,17.88,16.28,23.82,22.26,23.42,22.41,21.98,27.79,23.93,26.21,153.5,41.02,17.99,23.15,8.55,27.35,27.6,18.28,25.1,23.85,13.53,17.81
2007-03-01,17.56,17.97,16.57,23.65,22.46,23.69,22.79,21.52,27.37,24.23,25.86,154.41,41.05,18.09,23.49,8.69,26.91,27.42,18.56,25.85,23.89,14.08,18.06
2007-04-01,17.63,18.0,16.96,23.87,22.87,23.76,22.91,21.85,28.1,24.66,26.29,155.75,41.45,18.35,23.79,8.68,28.12,28.2,18.89,25.8,24.04,14.09,18.09
2007-05-01,17.84,18.18,17.79,24.04,22.94,24.12,23.11,22.1,28.28,24.62,26.24,156.61,41.85,18.62,24.04,9.12,28.15,28.22,19.2,25.92,24.26,14.05,18.74
2007-06-01,18.12,19.04,17.81,24.44,22.79,24.33,23.36,22.15,28.39,24.73,26.21,157.16,42.63,19.91,24.04,8.93,28.21,28.18,19.53,26.01,24.52,15.95,19.12
2007-07-01,18.05,19.2,18.13,24.89,23.14,25.03,23.71,22.47,28.66,24.59,26.53,158.13,43.04,20.48,24.43,8.76,28.63,28.75,19.68,26.6,24.9,15.96,19.97
2007-08-01,18.47,19.49,19.39,26.12,24.27,25.75,24.9,23.83,29.64,25.92,27.92,160.13,44.1,21.82,25.06,8.49,29.63,29.18,20.35,27.38,25.89,16.43,21.4
2007-09-01,18.77,21.23,21.89,27.71,25.81,26.8,26.21,24.19,31.87,27.86,29.99,162.18,46.68,23.68,26.79,8.07,31.46,30.26,21.23,28.81,27.21,18.04,23.99
2007-10-01,19.0,22.45,23.15,28.91,27.04,28.43,27.37,25.56,32.57,28.94,29.95,167.61,48.38,23.99,27.9,8.31,32.62,31.21,22.6,29.63,28.33,19.06,26.51
2007-11-01,19.31,22.46,22.31,29.12,27.31,28.52,27.46,26.12,32.94,29.25,30.29,167.25,47.86,22.94,28.33,8.29,33.02,31.64,22.86,29.67,28.51,19.96,26.22
2007-12-01,19.6,22.77,22.81,29.52,27.68,28.84,27.52,26.44,33.32,29.69,31.13,166.79,48.04,23.8,28.48,8.23,34.01,32.31,23.05,30.26,28.74,20.11,26.48
2008-01-01,20.41,23.39,23.88,31.55,29.56,30.09,28.65,26.71,35.56,31.58,31.88,169.24,41.02,24.23,28.71,8.31,35.16,33.7,23.74,31.93,30.61,20.68,27.41
2008-02-01,21.01,23.68,23.0,31.62,29.74,30.29,29.19,27.5,35.71,32.23,32.18,168.6,41.26,23.53,29.44,8.32,35.24,33.72,23.97,32.15,30.72,22.56,27.06
2008-03-01,21.12,24.15,22.69,32.23,30.08,30.56,29.38,27.56,36.1,32.73,33.38,168.52,42.08,22.88,29.15,8.26,35.41,34.0,25.83,32.6,30.83,22.47,26.21
2008-04-01,21.41,24.09,21.88,32.26,30.25,30.59,29.13,27.92,35.83,32.84,33.51,172.66,43.61,22.35,30.45,8.46,36.21,34.72,26.19,32.41,30.76,23.61,25.97
2008-05-01,21.54,24.04,20.39,32.22,30.15,30.53,29.32,27.79,35.78,32.25,33.57,172.76,44.84,21.78,30.67,8.46,35.59,34.99,26.16,32.43,30.51,25.58,24.15
2008-06-01,21.57,23.67,20.69,33.96,30.08,30.42,29.39,27.68,36.87,32.03,33.26,173.74,48.12,22.33,30.61,8.29,35.35,34.29,26.11,32.67,30.68,22.12,23.88
2008-07-01,21.98,23.32,20.31,34.22,30.25,30.32,29.1,27.94,37.24,31.65,33.49,175.19,48.75,22.63,30.45,8.02,35.79,35.29,26.0,32.8,30.35,21.51,23.65
2008-08-01,22.0,21.86,18.42,31.76,29.52,30.08,28.05,27.73,35.81,30.89,33.41,178.41,46.2,21.32,30.44,8.08,35.68,35.68,26.79,31.82,29.9,20.44,22.16
2008-09-01,21.67,21.48,18.02,29.65,28.17,29.54,27.78,26.85,33.27,30.31,33.32,177.62,43.44,20.27,29.69,8.06,34.81,35.49,27.56,30.84,29.14,18.98,21.04
2008-10-01,21.89,20.23,16.55,27.54,26.69,28.99,27.02,25.91,31.33,29.01,32.34,177.49,40.2,18.13,27.51,8.18,33.74,34.15,26.83,29.95,28.21,16.58,19.3
2008-11-01,22.02,19.13,15.3,25.64,25.34,27.73,25.87,24.54,29.75,27.45,31.3,177.35,36.81,16.34,26.6,8.2,32.65,33.19,26.07,27.74,26.69,14.91,18.04
2008-12-01,21.93,18.61,14.75,24.27,23.71,26.96,24.57,23.83,28.42,25.75,30.43,175.78,35.19,15.53,24.02,8.34,31.68,31.59,25.15,27.2,25.32,13.24,17.38
2009-01-01,21.81,18.7,14.86,23.34,23.17,26.47,23.9,23.25,28.35,25.12,29.47,174.14,33.97,15.61,23.37,8.1,30.61,30.41,24.52,26.62,25.01,14.16,17.38
2009-02-01,21.57,18.83,15.06,23.63,23.25,26.32,23.56,23.52,29.21,25.67,29.89,164.36,33.42,15.84,25.27,8.05,31.06,30.98,22.42,26.32,24.87,14.31,18.76
2009-03-01,21.61,17.72,14.47,23.26,22.83,25.82,23.54,23.38,28.82,25.24,29.45,163.61,34.23,15.58,25.14,7.96,30.74,30.63,21.85,26.03,24.66,13.77,17.58
2009-04-01,21.15,17.78,14.51,23.09,22.83,25.78,23.58,22.91,28.4,25.3,29.94,163.02,34.41,15.84,25.58,8.03,31.15,30.69,20.98,26.03,24.59,13.8,17.81
2009-05-01,20.57,17.71,14.58,22.93,22.72,25.64,23.73,22.69,28.76,25.41,30.07,162.25,34.3,16.72,23.77,8.04,31.44,30.83,20.39,26.05,24.76,14.35,17.86
2009-06-01,20.43,17.83,14.66,23.47,23.22,25.85,23.96,22.66,29.65,26.61,30.43,162.58,34.99,17.56,23.81,8.06,31.77,31.83,19.52,26.64,24.75,14.72,18.09
2009-07-01,20.45,17.47,14.04,23.33,22.85,25.85,24.14,22.68,29.58,26.69,30.35,161.64,34.96,16.57,23.72,8.29,31.94,31.8,19.1,25.97,24.99,14.26,17.58
2009-08-01,20.15,17.37,13.92,23.11,22.28,25.68,23.71,22.23,29.6,26.22,30.24,158.66,35.57,16.45,23.94,8.37,31.53,31.46,18.9,25.64,24.72,13.64,16.76
2009-09-01,19.96,17.17,13.59,22.83,22.1,25.49,23.51,22.18,29.19,26.11,30.18,158.59,34.72,15.38,23.43,8.47,31.43,31.09,18.43,25.52,24.48,13.23,16.79
2009-10-01,19.85,16.93,13.66,22.43,21.69,25.31,22.77,22.15,28.46,25.32,29.82,158.92,34.12,15.34,23.24,8.63,31.07,30.74,17.88,24.98,24.01,12.41,15.95
2009-11-01,19.57,17.19,13.96,22.37,21.63,25.03,22.78,22.02,28.38,25.29,29.65,161.07,34.26,15.55,23.05,8.63,30.99,30.81,17.67,25.12,24.03,12.89,16.4
2009-12-01,19.49,17.19,14.08,22.46,21.9,25.06,22.82,22.55,28.13,24.98,29.19,161.82,34.29,15.74,22.92,8.69,31.03,30.95,17.64,25.26,24.02,13.39,16.55
2010-01-01,19.27,17.32,14.28,22.57,22.51,25.06,22.87,22.38,28.53,25.33,29.06,162.24,33.29,15.89,22.93,8.72,30.82,30.94,17.72,25.45,24.03,13.74,16.59
2010-02-01,19.05,17.13,13.76,22.89,22.26,25.22,22.86,22.16,28.73,25.3,29.43,162.39,33.73,15.69,23.07,8.84,31.01,31.17,17.6,25.13,24.17,14.42,16.43
2010-03-01,18.88,16.7,13.36,22.84,22.21,25.24,22.78,21.83,28.97,25.74,29.5,161.87,33.88,15.56,23.11,8.95,30.92,31.08,17.68,25.22,24.28,14.62,16.07
2010-04-01,18.59,16.4,13.69,22.66,22.15,24.98,22.73,22.0,28.83,25.61,29.64,161.93,34.2,16.09,23.05,8.93,30.92,30.94,17.68,25.28,24.16,14.81,16.65
2010-05-01,18.31,16.33,13.57,22.91,22.33,25.17,22.82,22.09,28.9,25.73,29.86,162.11,34.61,16.63,23.2,9.01,31.26,31.27,17.3,25.49,24.38,15.14,16.53
