PRODUCTOS,AÑO,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiem.,Octubre,Noviem.,Diciem.,Anual
BIENES Y SERVICIOS DE USO CORRIENTE (INPUT I),2010,96.05,96.4,96.77,97.1,97.47,97.58,98.33,100.23,102.51,104.78,105.41,107.33,100
,2011,110.98,112.16,112.31,112.75,112.5,112.22,112.14,112.03,112.09,111.91,111.32,111.4,111.98
,2012,112,112.81,114.53,115.92,116.92,117.14,118.86,121.9,123.58,123,122.53,123,118.52
,2013,123.36,123.2,122.39,121.55,120.42,119.34,117.94,116.15,114.83,114.05,114.13,113.89,118.44
,2014,113.97,114.53,114.87,114.81,114.48,114.2,113.76,113.46,112.77,111.79,112.06,111.87,113.55
,2015,112.06,112.3,112.81,112.56,113.21,113.05,112.79,112.43,111.91,111.61,111.71,111.04,112.29
,2016,110.12,109.14,108.58,107.95,108.94,109.2,109.11,108.8,108.11,108.4,108.22,108.88,108.79
,2017,109.88,109.56,108.91,108.56,108.66,108.49,108.64,108.63,108.93,109.52,110.12,111.13,109.25
,2018,111.96,112.77,111.8,112.88,113.27,113.34,0,0,0,0,0,0,0
SEMILLAS Y PLANTONES,2010,99.95,99.95,99.95,97.77,97.77,97.77,97.77,97.77,97.77,104.21,105.3,104.02,100
,2011,104.46,104.46,104.46,105.06,105.06,105.06,107.69,107.69,107.69,107.69,106.36,106.36,106
,2012,109.66,109.66,109.66,110.24,110.24,110.24,110.24,110.24,110.24,110.24,110.24,110.24,110.1
,2013,111.51,111.51,111.51,111.51,111.51,106.62,106.62,106.62,106.62,106.62,106.89,106.89,108.7
,2014,106.89,120.07,120.07,120.07,120.07,120.07,120.07,120.07,120.07,120.07,120.07,120.07,118.98
,2015,120.39,120.65,120.77,120.78,120.37,120.63,120.53,120.89,121.46,122.93,123.23,123.24,121.32
,2016,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.89,126.89,126.49
,2017,127.19,127.19,127.19,127.19,127.19,127.19,127.19,127.19,127.19,127.19,126.57,126.57,127.08
,2018,132.81,132.81,132.81,132.81,132.81,132.81,0,0,0,0,0,0,0
      - SEMILLAS,2010,100.36,100.36,100.36,96.22,96.22,96.22,96.22,96.22,96.22,106.72,108.49,106.4,100
,2011,106.4,106.4,106.4,107.38,107.38,107.38,111.68,111.68,111.68,111.68,109.5,109.5,108.92
,2012,109.5,109.5,109.5,110.44,110.44,110.44,110.44,110.44,110.44,110.44,110.44,110.44,110.21
,2013,112.51,112.51,112.51,112.51,112.51,104.55,104.55,104.55,104.55,104.55,104.97,104.97,107.93
,2014,104.97,121.62,121.62,121.62,121.62,121.62,121.62,121.62,121.62,121.62,121.62,121.62,120.24
,2015,122.14,122.56,122.75,122.78,122.11,122.53,122.37,122.96,123.88,126.29,126.77,126.79,123.66
,2016,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,127.5,127.5,126.85
,2017,127.5,127.5,127.5,127.5,127.5,127.5,127.5,127.5,127.5,127.5,126.49,126.49,127.33
,2018,126.49,126.49,126.49,126.49,126.49,126.49,0,0,0,0,0,0,0
     - PLANTONES,2010,99.29,99.29,99.29,100.24,100.24,100.24,100.24,100.24,100.24,100.24,100.24,100.24,100
,2011,101.37,101.37,101.37,101.37,101.37,101.37,101.37,101.37,101.37,101.37,101.37,101.37,101.37
,2012,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92
,2013,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92
,2014,109.92,117.62,117.62,117.62,117.62,117.62,117.62,117.62,117.62,117.62,117.62,117.62,116.98
,2015,117.62,117.62,117.62,117.62,117.62,117.62,117.62,117.62,117.62,117.62,117.62,117.62,117.62
,2016,125.93,125.93,125.93,125.93,125.93,125.93,125.93,125.93,125.93,125.93,125.93,125.93,125.93
,2017,126.68,126.68,126.68,126.68,126.68,126.68,126.68,126.68,126.68,126.68,126.68,126.68,126.68
,2018,142.82,142.82,142.82,142.82,142.82,142.82,0,0,0,0,0,0,0
FERTILIZANTES,2010,93.64,95.13,95.58,97.02,96.75,95.86,96.95,98.47,103.28,107.05,108.55,111.7,100
,2011,116.17,119.02,119.55,119.75,118.21,120.75,122.03,123.24,124.64,127.2,126.42,126.84,121.98
,2012,126.54,125.99,125.56,126.28,126.6,127.73,128.73,128.92,129.61,128.23,127.94,128.7,127.61
,2013,127.88,128.34,127.97,127.31,125.61,124.88,124.56,122.9,119.28,116.85,116.5,116.56,123.22
,2014,115.95,117.95,119.69,119.36,118,116.45,115.52,115.96,116.8,117.17,117.43,118.2,117.34
,2015,119.74,120.58,120.42,118.73,119.71,119.98,119.88,120.2,120.55,120.09,120.23,119.32,119.96
,2016,117.37,117.08,117.05,114.58,111.03,109.62,108.48,108.89,106.71,103.18,103.1,103.95,110.12
,2017,104.86,105.48,105.64,105.49,105.41,104.65,103.18,103.08,103.9,104.77,104.55,104.34,104.59
,2018,104.04,106.44,106.59,106.21,105.83,105.83,0,0,0,0,0,0,0
     - SIMPLES,2010,93.65,96.28,96.8,97.93,97.06,95.6,96.08,96.92,102.04,106.5,108.44,112.68,100
,2011,118.21,122.12,122.97,121.98,119.24,122.11,124.07,125.28,126.88,130.06,128.69,129.45,124.25
,2012,128.48,128.05,127.3,128.56,129.17,130.66,131.75,132.09,132.52,129.96,129.15,130.46,129.85
,2013,129.92,132.2,131.82,132.11,129.38,128.15,127.49,125.57,122.73,120.65,120.92,121.34,126.86
,2014,121.81,124.69,126.48,126.28,124.77,122.1,120.33,121.2,122.35,122.84,123.11,124.15,123.34
,2015,125.29,126.63,124.59,122.8,123.31,122.24,121.62,121.81,121.99,121.73,121.5,120.36,122.83
,2016,117.22,116.94,116.94,115.49,110.36,108.31,106.79,107.34,105.08,100.59,101.76,103.85,109.22
,2017,105.12,105.89,106.84,105.53,105.38,103.92,100.98,100.76,102.78,104.61,104.68,104.72,104.27
,2018,104.89,105.02,105.16,104.29,103.74,103.95,0,0,0,0,0,0,0
          + NITROGENADOS,2010,91.65,95.54,95.77,97.29,96.79,95.46,95.84,96.82,102.59,107.62,109.86,114.71,100
,2011,121,125.39,125.99,124.62,121.6,124.79,126.88,128.23,130.05,133.62,132.11,132.8,127.25
,2012,131.68,131.27,130.42,131.76,132.44,134.35,135.53,135.76,136.33,132.98,132.53,133.89,133.24
,2013,133.31,135.88,135.41,135.23,132.31,130.9,130.07,127.9,124.7,123.13,123.54,123.89,129.69
,2014,124.47,127.91,129.98,129.86,128.13,125.39,123.31,124.26,125.69,126.11,126.39,127.59,126.58
,2015,128.92,130.42,128.1,126.42,126.75,125.3,124.6,124.83,125.08,124.25,123.94,122.68,125.95
,2016,119.35,118.99,118.93,117.28,111.14,108.71,106.8,107.57,105.04,100.06,101.43,103.79,109.92
,2017,105.64,106.54,107.64,106.02,105.84,104.17,100.8,100.58,102.89,105.27,105.29,105.39,104.67
,2018,105.58,106.04,106.07,105.19,104.64,104.86,0,0,0,0,0,0,0
          + FOSFATADOS,2010,100.16,95.28,97.02,96.69,96.53,95.39,97.83,100.65,104.5,103.96,105.8,106.45,100
,2011,108.13,109.49,113.28,114.74,110.89,112.79,115.23,114.2,116.21,115.66,115.61,116.04,113.55
,2012,115.23,114.96,114.85,115.56,116.1,115.12,115.18,116.48,117.4,120.43,115.34,117.02,116.15
,2013,116.31,117.13,117.45,122.49,121.73,121.79,121.52,120.43,119.51,111.49,110.35,115.72,117.99
,2014,110.68,110.35,112.41,111,111.33,113.28,113.22,113.22,111.38,112.9,112.85,113.5,112.2
,2015,114.8,115.28,115.99,107.64,113.28,114.15,113.06,113.77,112.74,115.66,115.18,114.58,113.82
,2016,109.49,111.71,113.55,113.33,111.65,111.33,111.44,110.19,109.49,107.97,108.35,109.11,110.62
,2017,103.96,104.72,106.45,105.85,104.07,102.82,102.33,102.38,103.2,103.36,103.58,103.47,103.85
,2018,104.72,101.73,102.28,102.76,102.44,102.33,0,0,0,0,0,0,0
          + POTASICOS,2010,107.6,103.04,105.46,104.01,99.53,96.86,97.26,96.03,96.19,98.16,97.65,98.31,100
,2011,99.27,100.31,101.91,102.95,103.08,103.71,104.29,105.34,104.98,106.56,105.75,107.25,103.78
,2012,107.5,106.85,106.61,107.47,107.45,106.64,107.37,108.25,107.2,108.77,106.94,107.58,107.39
,2013,107.56,108.04,107.99,110.04,108.03,107.76,108.38,108.15,107.52,103.82,103.58,102.33,106.94
,2014,104.46,104.02,103.32,103.01,102.51,98.33,98.32,98.96,99.17,99.76,100,99.93,100.99
,2015,99.39,99.81,98.83,99.11,98.77,100.03,100.28,99.91,100.01,103.16,103.7,103.35,100.53
,2016,102.82,101.88,101.67,101.32,103.04,103.45,104.6,104.01,103.39,101.66,101.42,101.91,102.59
,2017,101.3,100.98,100.24,101.25,102.08,102.32,101.9,101.48,101.56,99.62,99.94,99.55,101.02
,2018,99.13,97.95,98.78,97.32,96.72,97,0,0,0,0,0,0,0
     - COMPUESTOS,2010,92.08,92.63,93.11,95.25,95.62,95.16,97.22,99.9,105.5,109.4,110.73,113.38,100
,2011,117.15,119.44,119.72,121.35,120.85,123.62,124.41,125.91,127.41,129.87,129.6,129.73,124.09
,2012,129.38,128.55,128.39,128.26,128.32,129.32,130.45,130.51,131.69,131.33,131.57,131.88,129.97
,2013,130.53,129,128.54,127.4,126.48,126.14,126.13,124.37,118.97,115.56,114.41,114.06,123.46
,2014,113.58,115.04,117.51,116.95,115.44,114.82,114.65,114.68,115.38,115.69,116,116.65,115.53
,2015,117.51,117.97,119.95,117.95,119.71,121.62,122.09,122.63,123.26,122.47,123.07,122.21,120.88
,2016,121.17,120.79,120.73,117.62,115.05,114.04,113.05,113.41,110.79,107.53,105.98,105.59,113.81
,2017,106.3,106.89,106.17,106.02,105.99,105.86,105.75,105.74,105.38,105.34,104.75,104.18,105.7
,2018,103.26,102.61,102.82,102.9,102.62,102.39,0,0,0,0,0,0,0
     - ENMIENDAS,2010,100,100,100,100,100,100,100,100,100,100,100,100,100
,2011,102.36,102.36,102.36,102.36,102.36,102.36,102.36,102.36,102.36,102.36,102.36,102.36,102.36
,2012,105.51,105.51,105.51,107.09,107.09,107.09,107.09,107.09,107.09,107.09,107.09,107.09,107.09
,2013,107.09,107.09,107.09,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,104.72
,2014,97.64,97.64,96.06,96.06,96.06,96.06,96.06,96.06,96.06,96.06,96.06,96.06,96.06
,2015,102.36,102.36,102.36,102.36,102.36,102.36,102.36,102.36,102.36,102.36,102.36,102.36,102.36
,2016,102.36,102.36,102.36,97.64,97.64,97.64,97.64,97.64,97.64,97.64,97.64,97.64,99.21
,2017,97.64,97.64,97.64,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,101.57
,2018,103.15,129.13,129.13,129.13,129.13,129.13,0,0,0,0,0,0,0
ALIMENTOS DE GANADO,2010,95.02,95.41,95.27,95.15,95.84,95.86,97,100.73,104.37,107.31,107.75,110.24,100
,2011,115.47,116.6,116.04,116.38,116.67,115.79,114.5,114.23,113.79,112.98,111.75,111.83,114.67
,2012,112.19,113.52,116.65,118.72,120.93,121.69,123.75,129.06,131.75,131.18,130.83,131.73,123.5
,2013,131.91,130.99,129.76,129.23,127.51,125.94,122.58,118.78,116.47,115.69,116,115.43,123.36
,2014,115.59,115.16,115.6,115.62,115.32,115.05,113.75,112.86,111.5,110.09,110.46,111.42,113.53
,2015,112.18,112.21,112.61,112.46,112.94,112.5,111.56,111.97,111.38,111.23,111.34,110.86,111.94
,2016,111.29,110.33,108.96,108,109.84,109.88,109.09,107.91,107.11,106.97,106.32,106.41,108.51
,2017,106.78,107.24,107.05,106.95,106.9,106.85,107.26,106.97,106.81,106.93,107.54,108.64,107.16
,2018,109.26,110.13,110.81,111.93,111.29,110.94,0,0,0,0,0,0,0
     - PIENSOS SIMPLES,2010,97.76,97.13,96.49,97.07,97.28,95.97,96.65,99.99,103.22,104.81,105.27,108.32,100
,2011,113.27,114.67,112.87,112.37,108.86,107.85,105.33,106.56,106.98,106.36,106.78,107.51,109.12
,2012,108.42,110.23,114.64,117.06,121.25,119.67,125.34,131.19,131.88,131.03,131.14,131.68,122.79
,2013,130.87,130.21,129.23,129.61,126.99,123.96,119.82,116.65,114.63,114.36,114.61,113.59,122.05
,2014,114.05,114.59,114.93,114.99,113.93,111.82,110.66,110.21,107.67,107.17,108.17,108.88,111.42
,2015,109.79,109.59,110.41,109.67,109.76,109.95,109.37,108.81,108.09,108.58,108.84,108.03,109.23
,2016,108.97,107.95,107.69,107.72,114.37,113.8,110.92,109.45,108.54,107.93,108.22,108.84,109.53
,2017,108.87,109.15,108.99,109.14,109.92,110.19,110.59,110.34,109.84,110.42,111.17,113.92,110.2
,2018,114.12,115.87,117.02,119.72,120.29,118.99,0,0,0,0,0,0,0
     - PIENSOS COMPUESTOS,2010,94.1,94.84,94.86,94.51,95.35,95.83,97.11,100.98,104.76,108.14,108.58,110.88,100
,2011,116.21,117.24,117.1,117.73,119.29,118.45,117.58,116.8,116.07,115.2,113.42,113.28,116.52
,2012,113.46,114.62,117.32,119.28,120.82,122.36,123.21,128.34,131.7,131.22,130.73,131.75,123.74
,2013,132.26,131.25,129.94,129.1,127.68,126.61,123.5,119.49,117.09,116.14,116.46,116.05,123.8
,2014,116.11,115.36,115.82,115.83,115.79,116.13,114.79,113.74,112.78,111.07,111.23,112.27,114.24
,2015,112.98,113.09,113.35,113.39,114.01,113.36,112.29,113.04,112.49,112.11,112.18,111.81,112.85
,2016,112.07,111.13,109.38,108.09,108.31,108.57,108.47,107.4,106.63,106.64,105.68,105.6,108.17
,2017,106.08,106.6,106.4,106.22,105.89,105.73,106.15,105.84,105.8,105.76,106.32,106.87,106.13
