PRODUCTOS,AÑO,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiem.,Octubre,Noviem.,Diciem.,Anual
SULFATO AMONICO 21% (100 kg),2010,17.78,18.41,16.96,17.79,17.81,17.11,17.03,16.89,18.51,19.47,19.73,21.15,18.22
,2011,22.38,22.93,23.51,23.56,22.99,22.96,23.13,23.72,24.49,24.55,24.54,24.48,23.6
,2012,24.03,24.07,24.11,24.45,24.75,24.99,25.02,25.17,25.19,24.05,24.04,24.64,24.54
,2013,25.16,25.91,25.8,25.51,25.44,25.16,25.13,24.72,24.18,23.76,23.7,23.28,24.81
,2014,22.87,22.7,22.63,22.42,22.4,22.17,22.01,22,22.18,22.07,22.12,22.77,22.36
,2015,23.14,23.28,23.15,23,22.91,22.83,22.93,22.83,22.77,23.18,23.06,23.41,23.04
,2016,23.63,23.72,23.24,23.06,22.42,22.01,21.93,22.2,21.34,20.38,20.51,20.67,22.09
,2017,21.02,21.06,20.74,20.54,20.6,20.92,20.82,20.86,20.8,21.01,21.28,21.23,20.91
,2018,21.62,21.61,21.72,21.54,21.19,21.04,0,0,0,0,0,0,0
NITROSULFATO AMONICO  26% (100 kg),2010,22.52,22.85,23.25,23.28,23.74,24.21,23.92,24.82,25.01,25.96,26.74,28.3,24.55
,2011,29.67,32.43,32.89,32.81,32.58,33.34,33.49,33.39,33.48,33.17,33.1,32.96,32.78
,2012,32.88,32.82,32.76,32.67,32.69,32.8,32.78,32.73,32.83,32.9,33.32,33.84,32.92
,2013,34.01,34.32,34.54,33.96,33.94,33.46,33.89,33.95,32.48,32.62,32.53,32.6,33.53
,2014,32.1,32.18,32.33,33.71,33.75,32.99,32.5,32.82,32.73,32.95,34.47,33.51,33
,2015,34.02,33.98,34.39,34.18,33.4,32.98,32.07,31.96,32.12,33.11,33.54,33.28,33.25
,2016,34.05,33.95,33.52,32.81,31.56,30.64,29.4,29.09,27.51,26.79,26.23,27.07,30.22
,2017,27.62,27.9,29.39,28.93,28.71,27.61,27.52,27.46,28.6,29.62,29.96,29.79,28.59
,2018,28.06,27.97,27.94,27.59,27.53,27.55,0,0,0,0,0,0,0
NITRATO AMONICO CALCICO 26% (100 kg),2010,20.51,21.58,21.82,21.8,21.99,21.65,21.86,22.52,24.56,25.7,26.54,27.16,23.14
,2011,29.71,30.31,30.28,30.04,29.01,29.22,29.47,29.32,29.77,30.43,30.16,30.47,29.85
,2012,29.55,29.41,29.17,28.75,27.92,28.32,28.79,29.07,29.4,29.54,29.46,29.45,29.07
,2013,28.88,29.39,29.49,29.88,29.89,29.37,28.89,28.65,27.97,27.33,26.89,27.52,28.68
,2014,27.96,29.44,30.59,30.59,30.14,29.66,28.63,29.11,29.2,29.41,29.68,30.23,29.55
,2015,30.42,30.43,30.54,30.23,29.88,29.11,28.95,28.91,28.92,28.76,28.72,28.29,29.43
,2016,27.43,27.18,26.87,26.38,24.74,24.04,23.45,22.95,22.95,22.12,22.53,23.96,24.55
,2017,24.27,24.4,24.03,23.43,23.67,22.72,22.58,23.01,24.22,24.99,25.13,25.23,23.97
,2018,24.93,23.74,23.67,23.45,23.64,23.7,0,0,0,0,0,0,0
"NITRATO AMONICO 33,5 (100 kg)",2010,27.97,28.41,29.85,29.64,29.47,29.8,29.97,29.33,29.56,30.27,30.71,31.94,29.74
,2011,33.52,35.91,38.39,37.8,36.67,37.07,37.63,38.71,39.15,39.36,39.38,39.22,37.73
,2012,39.59,38.79,38.62,39.46,39.14,38.84,39.46,39.66,39.35,39.09,39,40.64,39.3
,2013,40.29,40.37,40.08,40.02,40.89,39.49,39.3,38.86,38.09,38.71,38.69,38.2,39.42
,2014,39.33,38.57,39.66,40.29,39.64,39.72,39.47,39.65,39.97,39.97,40.22,40.17,39.72
,2015,40.27,41.61,40.23,39.39,40.29,40.3,39.86,39.71,39.86,40.11,40.11,39.95,40.14
,2016,39.38,39.35,38.82,38.54,37.3,37.53,36.76,37.85,34.41,33.27,33.2,32.67,36.59
,2017,33.53,33.47,34.75,34.73,34.29,34.42,34.55,34.52,34.67,34.77,34.39,34.25,34.36
,2018,34.6,33.5,33.47,33.24,32.81,33.44,0,0,0,0,0,0,0
UREA 46% (100 kg),2010,29.48,30.84,30.86,31.62,31.16,30.62,30.64,31.09,32.26,33.95,33.97,35.89,31.87
,2011,36.99,38.58,38.13,37.24,36.88,38.98,39.82,40.38,40.49,42.72,41.79,42.14,39.51
,2012,42.4,42.43,42.42,43.42,44.69,45.6,46.07,45.58,45.9,43.92,43.75,44.23,44.2
,2013,44.23,44.17,44.42,43.22,41.21,41.48,41.36,40.52,39.25,38.4,39.01,39.05,41.36
,2014,39.35,40.25,41.14,40.71,40.03,38.84,38.62,38.62,39.51,38.92,38.96,39.06,39.5
,2015,39.98,41.1,39.07,37.91,38.61,38.49,38.63,38.92,39.29,39.01,39.08,38.47,39.05
,2016,37.39,36.89,37.01,36.62,34.62,33.64,32.86,34,33.27,31.31,31.86,32.48,34.33
,2017,33.08,33.51,33.84,33.37,32.62,32.05,30.38,29.78,30.36,31.06,31.2,31.29,31.88
,2018,31.26,32.43,32.67,32.15,31.77,32.01,0,0,0,0,0,0,0
SOLUCIÓN NITROGENADA 32% (100kg),2010,21.81,22.52,23.27,23.84,23.23,23.32,23.56,22.73,24.02,25.53,27.18,28.28,24.11
,2011,28.7,29.87,30.32,30.61,29.33,30.03,31.26,32.07,33.26,33.32,33.19,33.06,31.25
,2012,33.18,33,31.86,32.81,33.46,33.96,33.52,34.19,33.68,32.36,31.96,32.03,33
,2013,31.98,35.4,33.52,35.7,33.85,32.8,32.77,31.52,31.27,32.21,33.1,32.53,33.05
,2014,31.7,33.1,31.15,31.59,31.22,30.06,29.67,30.15,30.4,32.41,31.42,31.58,31.2
,2015,30.86,30.38,30.91,31.89,31.77,31.45,30.31,30.44,29.94,28.27,27.51,27.3,30.09
,2016,25.01,26.31,27.94,27.34,25.67,25.63,26.09,25.58,25.14,23.61,24.03,22.98,25.44
,2017,23.56,23.97,26.21,26.07,27.16,27.74,24.86,24.55,24.06,24.57,23.51,23.36,24.97
,2018,24.67,27.19,26.71,27.27,27.09,26.61,0,0,0,0,0,0,0
SUPERFOSFATO DE CAL 18% (GRANO) (100 KG),2010,18.48,17.58,17.9,17.84,17.81,17.6,18.05,18.57,19.28,19.18,19.52,19.64,18.45
,2011,19.95,20.2,20.9,21.17,20.46,20.81,21.26,21.07,21.44,21.34,21.33,21.41,20.95
,2012,21.26,21.21,21.19,21.32,21.42,21.24,21.25,21.49,21.66,22.22,21.28,21.59,21.43
,2013,21.46,21.61,21.67,22.6,22.46,22.47,22.42,22.22,22.05,20.57,20.36,21.35,21.77
,2014,20.42,20.36,20.74,20.48,20.54,20.9,20.89,20.89,20.55,20.83,20.82,20.94,20.7
,2015,21.18,21.27,21.4,19.86,20.9,21.06,20.86,20.99,20.8,21.34,21.25,21.14,21
,2016,20.2,20.61,20.95,20.91,20.6,20.54,20.56,20.33,20.2,19.92,19.99,20.13,20.41
,2017,19.18,19.32,19.64,19.53,19.2,18.97,18.88,18.89,19.04,19.07,19.11,19.09,19.16
,2018,19.32,18.77,18.87,18.96,18.9,18.88,0,0,0,0,0,0,0
CLORURO POTÁSICO 60% (100kg),2010,41.75,40.03,41.72,41.06,38.96,37.66,37.89,37.79,37.71,38.58,38.51,38.67,39.19
,2011,39.47,39.78,40.23,40.69,41.03,41.27,41.61,41.91,41.57,42.39,41.9,42.65,41.21
,2012,42.8,42.45,42.19,42.74,42.86,42.48,42.07,42.67,42.15,43.56,42.6,42.58,42.6
,2013,42.51,42.46,42.49,43.57,42.28,42.17,42.49,42.35,42.1,40.22,40.17,39.38,41.85
,2014,40.51,40.32,40.25,39.91,39.67,37.56,37.49,37.52,37.37,37.75,37.74,37.55,38.64
,2015,37.24,36.93,36.81,36.85,36.91,37.02,37.08,36.91,36.87,38.83,38.4,38.1,37.33
,2016,37.9,37.49,37.53,37.38,37.53,37.61,38.04,38.02,38.01,37.39,37.4,37.66,37.66
,2017,37.24,37.23,36.67,36.89,37.01,37.05,37,36.79,36.85,35.95,36.19,36.03,36.74
,2018,36.45,35.53,35.78,35.01,35.02,35.03,0,0,0,0,0,0,0
SULFATO POTASICO 50% (100 kg),2010,63.77,60.85,58.93,58.52,57.47,57.04,56.96,54.54,55.29,55.98,55.12,55.93,57.53
,2011,54.61,55.61,57.33,57.69,56.47,56.88,56.71,57.82,58.49,58.5,58.8,58.95,57.32
,2012,58.87,58.9,59.5,59.05,58.49,58.3,61.8,61.17,61.05,58.42,58.46,60.03,59.5
,2013,60.29,61.64,61.37,61.31,62.4,62.27,62.28,62.38,62.01,61.81,61.47,62.1,61.78
