date,ACIDO FOSFORICO,CLORURO POTÁSICO 60% (100kg),COMPLEJO 15-15-15 (100 kg),COMPLEJO 7-12-7 (100kg),COMPLEJO 8-15-15 (100 kg),COMPLEJO 8-24-16 (100 kg),COMPLEJO 8-24-8 (100kg),COMPLEJO 9-18-27 (100kg),DAP (FOSFATO DIAMONICO) (100 kg),"NITRATO AMONICO 33,5 (100 kg)",NITRATO AMONICO CALCICO 26% (100 kg),NITROSULFATO AMONICO       26% (100 kg),SOLUCIÓN NITROGENADA 32% (100kg),SULFATO AMONICO 21% (100 kg),SULFATO POTASICO 50% (100 kg),SUPERFOSFATO DE CAL 18% (GRANO) (100 KG),UREA 46% (100 kg)
2015-01-01,63.64,39.74,39.08,26.52,32.16,38.64,34.21,40.41,47.22,38.94,29.78,32.19,30.05,23.21,66.67,21.87,39.69
2015-02-01,63.64,39.02,39.27,26.95,32.24,38.91,34.3,40.7,47.91,40.2,29.8,32.18,30.59,23.28,67.64,21.95,40.3
2015-03-01,63.64,39.04,39.62,26.79,32.17,38.78,34.3,40.84,50.62,39.11,29.82,32.69,30.8,23.19,68.04,22.05,38.54
2015-04-01,63.64,38.96,39.51,26.75,30.56,38.84,32.78,40.94,50.98,38.81,29.52,32.35,31.4,22.9,68.29,21.41,36.85
2015-05-01,63.64,39.03,39.43,26.57,32.15,39.13,34.28,41.0,50.62,39.71,29.1,31.64,31.33,22.91,67.1,21.62,38.03
2015-06-01,63.64,39.1,39.62,26.86,32.64,40.12,35.89,41.11,51.03,39.59,28.25,30.84,31.05,22.85,70.37,21.84,38.2
2015-07-01,63.64,39.23,40.05,27.44,32.65,39.76,36.11,40.65,51.4,38.67,28.08,30.03,29.88,22.85,70.54,21.66,37.97
2015-08-01,63.64,39.21,39.99,27.35,33.22,40.36,36.14,40.76,51.8,38.31,28.06,29.92,29.89,22.74,68.17,21.59,38.31
2015-09-01,63.64,39.11,39.98,27.42,33.44,41.02,36.02,41.68,51.45,38.71,28.09,30.09,29.68,22.79,68.39,21.51,38.42
2015-10-01,63.64,39.26,40.11,26.98,33.37,41.42,35.87,41.31,50.56,39.0,28.06,30.86,28.16,23.05,68.47,22.06,38.12
