date,ALFALFA DESHIDRATADA (100 kg),AVENA (PIENSO) (100 kg),CEBADA (PIENSO) (100 kg),CERDOS CRECIMIENTO Y CEBO (100 kg),CERDOS GESTACION Y LACTACION (100 kg),CONCENTRADO  VACUNO DE LECHE (100 kg),CONCENTRADO VACUNO DE CARNE (100 kg),CONEJOS (100 kg),CORDEROS Y CHIVOS CRIA (100 kg),CORDEROS Y CHIVOS RECRIA. ENGORDE (100 kg),GALLINAS PONEDORAS (100 kg),LACTORREMPLAZANTES 20% PROTEINA (100 kg),LECHONES (100 kg),MAIZ (PIENSO) (100 kg),OVEJAS Y CABRAS LACTANTES (100 kg),PAJA CEREALES (100 kg),POLLITAS CRIA-RECRIA (100 kg),POLLOS CARNE (100 kg),PULPA DE REMOLACHA (100 kg),TERNEROS CRIA (100 kg),TERNEROS RECRIA Y CEBO (100 kg),TORTA DE GIRASOL (100 kg),TRIGO (PIENSO) (100 kg)
2015-01-01,22.04,19.89,19.25,27.45,27.14,31.08,27.46,27.74,34.56,29.98,35.18,178.24,37.82,18.65,28.25,6.63,36.8,35.51,22.44,30.6,28.18,19.37,21.02
2015-02-01,22.11,20.34,18.67,27.43,27.21,31.13,27.69,27.63,34.57,30.05,35.19,176.7,37.79,17.82,28.39,6.66,36.87,35.42,22.09,30.67,28.29,19.81,20.66
2015-03-01,21.98,20.4,18.86,27.52,27.53,31.04,27.61,27.55,34.64,30.23,35.09,176.88,38.08,18.16,28.32,7.07,36.84,35.64,22.0,30.71,28.3,19.87,20.24
2015-04-01,22.18,20.58,18.12,27.1,27.17,31.66,27.75,28.15,35.32,30.33,34.99,177.3,37.84,17.95,28.68,7.08,37.06,35.99,21.59,30.75,28.38,19.28,20.17
2015-05-01,22.51,20.61,18.55,27.64,27.12,31.62,27.74,28.09,35.35,30.47,35.0,177.81,38.67,18.15,28.62,6.69,36.77,35.89,21.49,30.78,28.33,19.95,20.24
2015-06-01,22.61,20.52,18.48,27.34,26.97,31.63,27.73,28.02,34.76,30.39,34.96,177.77,38.52,18.33,28.56,6.65,36.6,35.73,21.39,30.66,28.39,19.9,20.44
2015-07-01,18.0,20.36,18.83,27.1,26.76,30.45,27.63,27.17,34.23,30.64,34.69,177.4,37.43,19.36,28.69,8.9,36.16,35.92,21.77,29.62,28.23,20.09,20.8
2015-08-01,17.92,20.28,18.72,27.22,27.15,30.47,27.7,27.72,34.51,31.12,35.0,176.77,37.99,19.1,28.69,8.94,36.29,36.09,21.88,29.85,28.44,20.16,20.57
2015-09-01,17.81,20.34,18.49,27.07,27.03,30.55,27.99,27.66,34.14,30.46,34.9,176.86,37.85,18.79,28.6,8.96,36.34,35.76,21.89,29.68,28.27,20.47,20.28
2015-10-01,17.74,20.91,19.07,26.96,26.99,30.5,27.52,27.66,34.49,30.08,35.06,176.33,37.51,19.16,28.8,9.07,36.51,35.27,21.91,29.59,28.61,20.42,20.57
2015-11-01,17.65,20.93,19.14,27.16,27.07,30.49,27.46,27.82,34.01,30.34,34.89,176.24,37.17,19.34,28.63,9.23,36.67,35.18,22.61,29.54,28.5,20.67,20.82
2015-12-01,17.54,21.01,19.0,27.0,27.21,30.51,27.4,27.97,34.53,30.63,34.81,175.63,37.13,19.11,28.55,9.34,36.61,35.23,21.69,29.35,28.09,20.34,20.73
2016-01-01,17.65,21.54,19.41,26.99,27.34,30.55,27.51,28.23,33.56,30.64,33.81,172.16,36.3,19.18,28.53,9.9,35.37,35.41,21.72,28.93,29.17,20.13,19.7
2016-02-01,17.48,21.46,19.12,26.75,26.77,30.38,27.37,27.85,33.09,30.05,33.86,171.85,35.7,18.96,28.43,10.09,35.36,35.19,21.74,28.71,28.85,19.6,20.09
2016-03-01,17.36,21.22,18.75,26.28,26.37,30.03,26.91,27.49,32.95,29.82,33.07,171.2,35.56,18.71,28.12,10.31,34.89,34.68,21.85,28.37,28.62,19.25,19.62
2016-04-01,17.36,21.15,18.67,26.05,25.92,29.99,26.68,27.48,33.02,29.54,33.0,171.05,35.03,18.66,27.69,10.35,34.7,34.6,21.65,28.2,27.49,19.04,19.26
2016-05-01,23.54,21.16,17.83,26.33,26.11,29.2,26.2,25.73,33.01,29.42,33.09,171.01,35.87,18.04,27.69,8.88,34.45,34.6,22.33,29.8,27.65,19.22,20.19
2016-06-01,23.14,20.46,17.23,26.5,26.15,28.86,26.07,25.6,33.04,29.65,33.2,171.11,36.19,18.65,28.14,8.4,34.7,34.7,22.37,29.89,27.48,19.83,18.56
2016-07-01,23.09,19.54,16.44,26.35,26.0,28.89,26.07,25.63,33.94,29.68,33.31,171.36,36.45,18.42,27.85,7.83,34.66,34.78,22.04,29.84,27.41,19.48,18.04
2016-08-01,23.04,19.02,16.49,26.02,25.67,28.81,25.68,25.41,32.96,29.85,33.08,171.58,35.51,18.41,27.64,7.67,34.81,34.66,22.16,29.58,27.18,19.34,17.56
2016-09-01,23.26,18.65,16.3,25.69,25.28,29.07,25.79,25.39,32.64,29.42,32.41,172.33,35.24,18.24,26.66,7.55,34.24,34.3,22.4,29.24,27.69,19.05,17.8
2016-10-01,23.23,18.83,16.44,25.61,25.16,28.99,25.76,25.09,32.31,29.11,32.64,174.11,35.16,18.1,26.77,7.28,32.28,33.36,22.45,28.24,28.61,18.89,18.05
2016-11-01,23.13,18.61,16.64,25.66,25.24,28.99,25.76,24.83,32.43,28.94,32.51,174.72,34.94,18.37,26.75,7.36,32.24,33.05,22.54,28.23,27.53,18.56,18.34
2016-12-01,23.25,18.65,16.89,25.81,25.43,28.59,25.76,24.21,32.15,28.66,32.59,174.9,35.31,18.43,26.17,7.43,32.35,32.96,22.61,28.02,27.33,18.43,18.41
2017-01-01,23.12,18.68,16.86,25.85,26.0,28.89,25.84,24.26,32.27,27.96,32.64,159.79,35.94,18.66,26.81,7.46,33.26,32.92,22.53,28.45,27.35,18.18,18.77
2017-02-01,23.11,18.64,16.97,26.05,26.02,28.93,26.06,24.26,32.0,28.11,32.7,154.02,36.29,18.75,26.77,7.6,33.43,33.1,22.62,28.62,27.5,18.42,18.86
2017-03-01,23.12,18.34,16.87,25.99,25.92,28.89,26.09,24.48,31.85,28.19,32.64,150.16,36.19,18.76,26.69,7.52,33.14,33.05,22.67,28.65,27.46,18.78,18.77
2017-04-01,23.19,18.21,16.8,25.87,25.8,28.94,26.07,24.66,31.57,27.84,32.84,148.81,35.9,18.76,26.64,7.59,33.23,33.1,22.65,28.49,27.49,19.48,18.85
2017-05-01,23.34,18.35,17.23,25.77,25.7,28.97,25.98,24.51,31.78,27.85,32.66,148.39,35.87,18.89,26.37,7.74,33.08,32.95,22.81,28.47,27.45,19.35,20.4
