PRODUCTOS,AÑO,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiem.,Octubre,Noviem.,Diciem.,Anual
PROTECCION FITOPATOLOGICA,2023,127.15,127.27,127.49,126.43,125.71,125.23,125.08,124.21,123.78,124.02,124.28,123.92,125.38
,2024,123.32,123.13,123.32,123.42,123.53,123.94,124.19,124.45,124.06,124.06,123.87,123.72,123.75
,2025,123.85,124.4,125.02,125.7,126.44,126.46,126.55,127.07,127.69,125.72,0,0,0
TRATAMIENTOS ZOOSANITARIOS,2023,103.4,104.51,105.27,105.11,105.45,105.84,105.36,105.54,105.38,105.48,105.77,105.63,105.23
,2024,105.4,106.46,105.4,107.98,107.47,107.67,107.86,107.72,108.28,108.3,107.78,108,107.36
,2025,107.68,107.92,107.86,108.4,109.51,109.95,110.07,110.36,110.45,110.91,0,0,0
CONS. Y REP. MAQUINARIA,2023,110.93,113.85,114.33,114.44,114.21,113.88,114.03,113.8,113.82,113.86,114.06,114.29,113.8
,2024,114.7,120.01,122.18,122.76,122.84,123.6,123.88,123.98,124.26,124.38,124.6,124.37,122.63
,2025,124.8,127.4,128.2,129.24,130.28,131.21,132.79,134.99,135.4,135.93,0,0,0
CONS. Y REP. EDIFICIOS,2023,125.13,123.87,122.91,125.12,125.36,125.82,126.57,126.64,126.15,124.82,124.58,124.46,125.12
,2024,129.25,129.32,129.25,124.77,125.28,125.42,129.29,129.11,129.37,129.17,126,125.85,127.67
,2025,129.99,129.83,129.85,127.4,128.07,128.31,132.02,132.15,132.03,131.99,0,0,0
ENERGIA Y LUBRICANTES,2023,155.85,177.76,155.45,145.25,138.71,144.73,145.41,151.76,159.86,158.03,144.65,143.21,151.72
,2024,145.62,134.14,129.04,118.93,121.07,126.7,130.86,136.02,127.99,127.22,140.58,145.27,131.94
,2025,140.13,144.12,128.88,117.16,116.96,124.7,127.08,127.34,126.08,130.61,0,0,0
     - CARBURANTES,2023,197.55,194.67,186.62,178.34,167.43,166.42,168.53,178.89,189.32,192.31,183.77,174.45,181.53
,2024,170.24,175.07,174.1,160,152.56,148.72,148.82,145.65,139.38,135.96,137.18,139.46,152.25
,2025,144.21,145.58,143.12,136.19,130.85,131.25,136.21,136.76,134.13,133.38,0,0,0
     - ELECTRICIDAD,2023,117.14,165.18,127.22,114.48,111.87,125.28,124.62,127.42,133.76,127.08,108.01,114.28,124.68
,2024,123.42,95,85.52,78.65,90.46,105.87,114.34,128.09,117.81,119.61,145.9,153.17,113.14
,2025,137.89,144.76,115.81,98.47,103.34,118.88,118.88,118.88,118.88,128.95,0,0,0
     - LUBRICANTES,2023,120.6,119.67,119.12,118.2,117.1,116.79,116.54,116.97,117.46,116.96,116.28,115.97,117.64
,2024,115.79,115.82,114.99,114.77,113.96,113.54,113.47,113.67,112.97,112.82,112.87,114.69,114.11
,2025,114.89,114.81,114.64,115.57,115.54,115.5,115.5,115.5,115.5,115.44,0,0,0
MATERIAL Y PEQUEÑO UTILLAJE,2023,120.27,120.09,119.56,119.59,119.42,119.21,119.22,119.37,119.02,118.46,118.2,117.71,119.17
,2024,117.88,117.8,116.26,116.29,116.14,116.4,116.67,116.89,116.7,116.97,117.03,117.17,116.85
,2025,118.55,118.62,118.19,118.44,117.9,120.01,119.56,121.84,122.86,122.43,0,0,0
GASTOS GENERALES,2023,115.38,116.9,115.55,115.18,113.93,115.09,116.57,118.32,119.07,117.86,115.6,115.17,116.22
,2024,116.47,116.97,116.47,119.61,119.83,120.25,120.05,119.95,118.05,118.31,119.12,120.12,118.77
,2025,122.69,123.75,122.12,121.56,121.11,122.62,124.41,124.36,123.82,122.53,0,0,0
BIENES DE INVERSION   (INPUT II),2023,120.4,120.15,120.05,119.93,120.31,120.45,121.71,121.84,121.78,124.22,124.15,124.15,121.6
,2024,127.45,127.54,127.42,123.65,123.84,123.9,123.21,123.24,123.48,124.5,124.45,124.42,124.76
,2025,125.41,125.44,125.53,123.96,124.15,124.34,125.61,125.68,125.6,125.89,0,0,0
MAQUINARIA Y OTROS BIENES DE EQUIPO,2023,117.58,117.68,117.88,116.91,117.34,117.38,118.82,119,119.09,122.95,122.95,122.99,119.21
,2024,129.02,129.08,129.02,125.54,125.63,125.66,123.22,123.27,123.55,125.01,125.01,125.01,125.75
,2025,127.57,127.69,127.82,125.42,125.45,125.64,125.99,126.02,125.96,126.36,0,0,0
OBRAS DE INVERSION,2023,127.9,126.73,125.82,127.99,128.19,128.61,129.38,129.41,128.94,127.62,127.35,127.25,127.94
,2024,123.29,123.46,123.15,118.64,119.1,119.22,123.17,123.15,123.28,123.14,122.96,122.84,122.12
,2025,119.64,119.44,119.45,120.08,120.69,120.88,124.61,124.75,124.63,124.61,0,0,0
