date,BIENES DE INVERSION   (INPUT II),CONS. Y REP. EDIFICIOS,CONS. Y REP. MAQUINARIA,ENERGIA Y LUBRICANTES,ENERGIA Y LUBRICANTES CARBURANTES,ENERGIA Y LUBRICANTES ELECTRICIDAD,ENERGIA Y LUBRICANTES LUBRICANTES,GASTOS GENERALES,MAQUINARIA Y OTROS BIENES DE EQUIPO,MATERIAL Y PEQUEÑO UTILLAJE,OBRAS DE INVERSION,PROTECCION FITOPATOLOGICA,TRATAMIENTOS ZOOSANITARIOS
2023-01-01,120.4,125.13,110.93,155.85,197.55,117.14,120.6,115.38,117.58,120.27,127.9,127.15,103.4
2023-02-01,120.15,123.87,113.85,177.76,194.67,165.18,119.67,116.9,117.68,120.09,126.73,127.27,104.51
2023-03-01,120.05,122.91,114.33,155.45,186.62,127.22,119.12,115.55,117.88,119.56,125.82,127.49,105.27
2023-04-01,119.93,125.12,114.44,145.25,178.34,114.48,118.2,115.18,116.91,119.59,127.99,126.43,105.11
2023-05-01,120.31,125.36,114.21,138.71,167.43,111.87,117.1,113.93,117.34,119.42,128.19,125.71,105.45
2023-06-01,120.45,125.82,113.88,144.73,166.42,125.28,116.79,115.09,117.38,119.21,128.61,125.23,105.84
2023-07-01,121.71,126.57,114.03,145.41,168.53,124.62,116.54,116.57,118.82,119.22,129.38,125.08,105.36
2023-08-01,121.84,126.64,113.8,151.76,178.89,127.42,116.97,118.32,119.0,119.37,129.41,124.21,105.54
2023-09-01,121.78,126.15,113.82,159.86,189.32,133.76,117.46,119.07,119.09,119.02,128.94,123.78,105.38
2023-10-01,124.22,124.82,113.86,158.03,192.31,127.08,116.96,117.86,122.95,118.46,127.62,124.02,105.48
2023-11-01,124.15,124.58,114.06,144.65,183.77,108.01,116.28,115.6,122.95,118.2,127.35,124.28,105.77
2023-12-01,124.15,124.46,114.29,143.21,174.45,114.28,115.97,115.17,122.99,117.71,127.25,123.92,105.63
2024-01-01,127.45,129.25,114.7,145.62,170.24,123.42,115.79,116.47,129.02,117.88,123.29,123.32,105.4
2024-02-01,127.54,129.32,120.01,134.14,175.07,95.0,115.82,116.97,129.08,117.8,123.46,123.13,106.46
2024-03-01,127.42,129.25,122.18,129.04,174.1,85.52,114.99,116.47,129.02,116.26,123.15,123.32,105.4
2024-04-01,123.65,124.77,122.76,118.93,160.0,78.65,114.77,119.61,125.54,116.29,118.64,123.42,107.98
2024-05-01,123.84,125.28,122.84,121.07,152.56,90.46,113.96,119.83,125.63,116.14,119.1,123.53,107.47
2024-06-01,123.9,125.42,123.6,126.7,148.72,105.87,113.54,120.25,125.66,116.4,119.22,123.94,107.67
2024-07-01,123.21,129.29,123.88,130.86,148.82,114.34,113.47,120.05,123.22,116.67,123.17,124.19,107.86
2024-08-01,123.24,129.11,123.98,136.02,145.65,128.09,113.67,119.95,123.27,116.89,123.15,124.45,107.72
2024-09-01,123.48,129.37,124.26,127.99,139.38,117.81,112.97,118.05,123.55,116.7,123.28,124.06,108.28
2024-10-01,124.5,129.17,124.38,127.22,135.96,119.61,112.82,118.31,125.01,116.97,123.14,124.06,108.3
2024-11-01,124.45,126.0,124.6,140.58,137.18,145.9,112.87,119.12,125.01,117.03,122.96,123.87,107.78
2024-12-01,124.42,125.85,124.37,145.27,139.46,153.17,114.69,120.12,125.01,117.17,122.84,123.72,108.0
2025-01-01,125.41,129.99,124.8,140.13,144.21,137.89,114.89,122.69,127.57,118.55,119.64,123.85,107.68
2025-02-01,125.44,129.83,127.4,144.12,145.58,144.76,114.81,123.75,127.69,118.62,119.44,124.4,107.92
2025-03-01,125.53,129.85,128.2,128.88,143.12,115.81,114.64,122.12,127.82,118.19,119.45,125.02,107.86
2025-04-01,123.96,127.4,129.24,117.16,136.19,98.47,115.57,121.56,125.42,118.44,120.08,125.7,108.4
2025-05-01,124.15,128.07,130.28,116.96,130.85,103.34,115.54,121.11,125.45,117.9,120.69,126.44,109.51
2025-06-01,124.34,128.31,131.21,124.7,131.25,118.88,115.5,122.62,125.64,120.01,120.88,126.46,109.95
2025-07-01,125.61,132.02,132.79,127.08,136.21,118.88,115.5,124.41,125.99,119.56,124.61,126.55,110.07
2025-08-01,125.68,132.15,134.99,127.34,136.76,118.88,115.5,124.36,126.02,121.84,124.75,127.07,110.36
2025-09-01,125.6,132.03,135.4,126.08,134.13,118.88,115.5,123.82,125.96,122.86,124.63,127.69,110.45
2025-10-01,125.89,131.99,135.93,130.61,133.38,128.95,115.44,122.53,126.36,122.43,124.61,125.72,110.91
2025-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
