PRODUCTOS,AÑO,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiem.,Octubre,Noviem.,Diciem.,Anual
SULFATO AMONICO 21% (100kg),2023,53.19,51.37,50.17,46.36,41.92,37.89,33.28,31.52,31.82,32.8,32.57,33.14,39.67
,2024,32.16,32.54,31.38,29.8,30.65,30.46,29.81,29.24,29.55,30.27,29.6,29.85,30.44
,2025,30.61,31.69,32.05,32.77,33.48,33.13,33.19,33.12,32.87,33.76,0,0,0
NITROSULFATO AMONICO       26% (100kg),2023,75.66,72.37,66.6,59.88,48.43,46.94,42.99,40.35,41.38,42.79,42.52,42.73,51.89
,2024,39.58,39,38.83,37.14,36.69,36.65,36.56,36.11,35.84,36.44,36.59,36.76,37.18
,2025,38.8,39.49,42.06,43.41,42.91,42.8,43.56,43.39,42.91,42.03,0,0,0
NITRATO AMONICO CALCICO 26% (100kg),2023,72.67,68.94,62.22,54.79,44.74,41.88,39.69,38.42,40.42,40.49,39.54,40.38,48.68
,2024,36.38,35.63,34.72,33.46,32.82,32.58,32.24,32.54,32.8,32.75,32.64,33.03,33.47
,2025,34.35,36.35,39,40,39.53,39.08,38.47,38.64,38.49,38.35,0,0,0
"NITRATO AMONICO 33,5 (100kg)",2023,83.25,78.93,77.06,69.33,66.95,62.96,56.62,53.64,53.99,54.83,55.82,55.79,64.1
,2024,55.92,54.68,52.11,51.75,52.46,52.31,51.45,50.73,51.79,51.97,52.18,53.11,52.54
,2025,53.22,53.72,54.37,53.66,54.64,55.16,55.16,55.01,56.21,57.35,0,0,0
UREA 46% (100kg),2023,80.56,75.87,68.78,63.46,59.58,57.46,54.88,53.42,51.19,52.56,52.41,52.28,60.2
,2024,49.49,49.22,47.74,47.85,46.57,46.61,46.18,46.18,46.78,47.54,47.29,48.87,47.53
,2025,50.95,51.82,52.58,52.69,53.2,52.95,52.9,52.8,52.71,54.05,0,0,0
SOLUCIÓN NITROGENADA 32% (100kg),2023,65.54,63.9,60.33,55.11,52.73,50.86,50.22,49.66,49.35,44.75,45.15,47.32,52.91
,2024,47.21,46.7,46.28,44.58,42.84,42.88,41.66,41.66,41.88,41.75,42.02,42.42,43.49
,2025,43.73,42.6,43.48,45.27,45.81,47.49,47.68,47.62,49.15,50.86,0,0,0
SUPERFOSFATO DE CAL 18% (GRANO) (100kg),2023,40.57,39.03,38.38,37.33,36.89,34.77,33.94,33.39,33.06,32.18,30.35,30.61,35.04
,2024,30.96,32.3,31.95,31.87,30.86,28.85,28.66,29.08,28.17,28.12,28.31,28.35,29.79
,2025,33.03,32.24,31.17,31.68,32.15,32.26,32.28,32.65,33.47,34.17,0,0,0
ÁCIDO FOSFÓRICO (100kg),2023,100.91,99.07,99.07,97.85,97.85,90.51,88.68,85.62,85.49,79.37,79.17,88.35,91
,2024,89.19,89.39,89.44,85.12,86.56,86.86,85.41,84.23,84,83.95,87.45,88.18,86.65
,2025,88.33,77.84,75.65,73.45,78.83,86.23,93.75,95.79,96.05,100.72,0,0,0
CLORURO POTÁSICO 60% (100kg),2023,76.02,72.99,69.19,64.02,64.24,63.75,61.41,60.59,59.13,59.58,57.64,58.29,63.9
,2024,58.48,57.85,55,54.48,53.92,54.53,54.08,52.61,52.59,52.34,52.2,52.46,54.21
,2025,46.99,46.93,47.21,47.33,48.16,48.4,49.05,49.06,49.04,50.39,0,0,0
SULFATO POTÁSICO 50% (100kg),2023,102.5,100.42,100.17,103.09,101.41,99.3,90.76,90.03,84.76,86.17,84.9,85.16,94.06
,2024,82.17,82.05,81.4,80.47,81.64,81.96,80.43,79.39,79.8,81.43,82.31,83.13,81.35
,2025,84.14,82.92,82.71,81.09,81.02,86.44,87.41,86.34,89.28,90.3,0,0,0
DAP (FOSFATO DIAMÓNICO) (100kg),2023,95.35,91.81,88.29,85.24,82.75,83.35,81.68,75.92,74.58,71.1,69.96,68.33,80.7
,2024,70.54,69.8,69.43,70.02,70.63,70.64,71.84,71.62,71.47,70.99,70.22,71.19,70.7
