date,CLORURO POTÁSICO 60% (100kg),COMPLEJO 15-15-15 (100kg),COMPLEJO 7-12-7 (100kg),COMPLEJO 8-15-15 (100kg),COMPLEJO 8-24-16 (100kg),COMPLEJO 8-24-8 (100kg),COMPLEJO 9-18-27 (100kg),DAP (FOSFATO DIAMÓNICO) (100kg),"NITRATO AMONICO 33,5 (100kg)",NITRATO AMONICO CALCICO 26% (100kg),NITROSULFATO AMONICO       26% (100kg),SOLUCIÓN NITROGENADA 32% (100kg),SULFATO AMONICO 21% (100kg),SULFATO POTÁSICO 50% (100kg),SUPERFOSFATO DE CAL 18% (GRANO) (100kg),UREA 46% (100kg),ÁCIDO FOSFÓRICO (100kg)
2023-01-01,76.02,78.78,52.53,69.63,80.0,73.14,84.76,95.35,83.25,72.67,75.66,65.54,53.19,102.5,40.57,80.56,100.91
2023-02-01,72.99,77.08,50.87,66.3,77.34,70.96,81.8,91.81,78.93,68.94,72.37,63.9,51.37,100.42,39.03,75.87,99.07
2023-03-01,69.19,73.93,48.54,63.06,74.03,67.59,78.57,88.29,77.06,62.22,66.6,60.33,50.17,100.17,38.38,68.78,99.07
2023-04-01,64.02,71.63,46.43,61.01,70.3,64.88,77.15,85.24,69.33,54.79,59.88,55.11,46.36,103.09,37.33,63.46,97.85
2023-05-01,64.24,69.28,44.42,58.77,68.6,63.32,75.93,82.75,66.95,44.74,48.43,52.73,41.92,101.41,36.89,59.58,97.85
2023-06-01,63.75,68.84,43.61,57.5,68.49,61.96,73.97,83.35,62.96,41.88,46.94,50.86,37.89,99.3,34.77,57.46,90.51
2023-07-01,61.41,65.12,41.86,55.59,66.83,60.1,72.01,81.68,56.62,39.69,42.99,50.22,33.28,90.76,33.94,54.88,88.68
2023-08-01,60.59,62.61,40.04,53.88,63.55,58.19,68.47,75.92,53.64,38.42,40.35,49.66,31.52,90.03,33.39,53.42,85.62
2023-09-01,59.13,59.31,41.4,52.0,63.73,56.93,71.91,74.58,53.99,40.42,41.38,49.35,31.82,84.76,33.06,51.19,85.49
2023-10-01,59.58,58.26,42.08,52.03,64.95,55.29,72.25,71.1,54.83,40.49,42.79,44.75,32.8,86.17,32.18,52.56,79.37
2023-11-01,57.64,57.98,41.83,49.53,63.81,54.74,71.32,69.96,55.82,39.54,42.52,45.15,32.57,84.9,30.35,52.41,79.17
2023-12-01,58.29,57.07,41.18,49.49,62.85,53.2,67.9,68.33,55.79,40.38,42.73,47.32,33.14,85.16,30.61,52.28,88.35
2024-01-01,58.48,55.61,39.57,48.31,59.27,52.11,64.24,70.54,55.92,36.38,39.58,47.21,32.16,82.17,30.96,49.49,89.19
2024-02-01,57.85,54.86,39.25,48.08,58.02,51.67,62.53,69.8,54.68,35.63,39.0,46.7,32.54,82.05,32.3,49.22,89.39
2024-03-01,55.0,53.63,39.08,47.12,58.0,51.62,59.84,69.43,52.11,34.72,38.83,46.28,31.38,81.4,31.95,47.74,89.44
2024-04-01,54.48,53.6,38.94,46.27,57.26,50.98,59.89,70.02,51.75,33.46,37.14,44.58,29.8,80.47,31.87,47.85,85.12
2024-05-01,53.92,53.54,38.81,45.76,56.89,50.87,59.81,70.63,52.46,32.82,36.69,42.84,30.65,81.64,30.86,46.57,86.56
2024-06-01,54.53,52.38,37.54,45.68,56.72,50.06,60.06,70.64,52.31,32.58,36.65,42.88,30.46,81.96,28.85,46.61,86.86
2024-07-01,54.08,51.91,37.11,45.26,55.31,49.21,59.21,71.84,51.45,32.24,36.56,41.66,29.81,80.43,28.66,46.18,85.41
2024-08-01,52.61,51.79,37.2,45.03,55.47,49.66,58.07,71.62,50.73,32.54,36.11,41.66,29.24,79.39,29.08,46.18,84.23
2024-09-01,52.59,52.01,37.16,44.78,55.05,50.11,57.62,71.47,51.79,32.8,35.84,41.88,29.55,79.8,28.17,46.78,84.0
2024-10-01,52.34,52.27,37.13,44.64,54.7,50.31,57.43,70.99,51.97,32.75,36.44,41.75,30.27,81.43,28.12,47.54,83.95
2024-11-01,52.2,52.4,36.82,44.44,54.35,49.85,57.09,70.22,52.18,32.64,36.59,42.02,29.6,82.31,28.31,47.29,87.45
2024-12-01,52.46,52.85,37.2,44.66,54.56,50.28,57.41,71.19,53.11,33.03,36.76,42.42,29.85,83.13,28.35,48.87,88.18
2025-01-01,46.99,53.66,37.72,45.55,56.4,50.71,57.75,70.3,53.22,34.35,38.8,43.73,30.61,84.14,33.03,50.95,88.33
2025-02-01,46.93,54.53,38.47,45.96,56.86,51.4,58.61,71.74,53.72,36.35,39.49,42.6,31.69,82.92,32.24,51.82,77.84
2025-03-01,47.21,54.26,38.71,46.27,57.23,51.97,57.8,72.24,54.37,39.0,42.06,43.48,32.05,82.71,31.17,52.58,75.65
2025-04-01,47.33,54.33,39.11,46.49,57.54,52.51,58.5,73.11,53.66,40.0,43.41,45.27,32.77,81.09,31.68,52.69,73.45
2025-05-01,48.16,55.25,39.12,46.4,57.62,52.48,58.89,74.52,54.64,39.53,42.91,45.81,33.48,81.02,32.15,53.2,78.83
2025-06-01,48.4,54.81,39.35,46.3,57.13,52.0,57.39,74.89,55.16,39.08,42.8,47.49,33.13,86.44,32.26,52.95,86.23
2025-07-01,49.05,54.94,39.7,46.44,58.07,53.27,59.2,76.16,55.16,38.47,43.56,47.68,33.19,87.41,32.28,52.9,93.75
2025-08-01,49.06,54.94,40.22,46.77,58.4,53.75,59.19,76.48,55.01,38.64,43.39,47.62,33.12,86.34,32.65,52.8,95.79
2025-09-01,49.04,55.3,39.95,47.09,58.35,53.88,59.57,77.18,56.21,38.49,42.91,49.15,32.87,89.28,33.47,52.71,96.05
2025-10-01,50.39,56.25,41.01,47.91,59.0,55.51,60.57,78.19,57.35,38.35,42.03,50.86,33.76,90.3,34.17,54.05,100.72
2025-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
