date,ALFALFA DESHIDRATADA (100kg),AVENA (PIENSO) (100kg),CEBADA (PIENSO) (100kg),CERDAS GESTACION Y LACTACION (100kg),CERDOS CRECIMIENTO Y CEBO (100kg),CONCENTRADO  VACUNO DE LECHE (100kg),CONCENTRADO VACUNO DE CARNE (100kg),CONEJOS (100kg),CORDEROS Y CHIVOS CRIA (100kg),CORDEROS Y CHIVOS RECRIA. ENGORDE (100kg),GALLINAS PONEDORAS (100kg),LACTORREMPLAZANTES 20% PROTEINA (100kg),LECHONES (100kg),MAIZ (PIENSO) (100kg),OVEJAS Y CABRAS LACTANTES (100kg),PAJA CEREALES (100kg),POLLITAS CRIA-RECRIA (100kg),POLLOS CARNE (100kg),PULPA DE REMOLACHA (100kg),TERNEROS CRIA (100kg),TERNEROS RECRIA Y CEBO (100kg),TORTA DE GIRASOL (100kg),TRIGO (PIENSO) (100kg)
2023-01-01,33.8,35.29,34.86,42.94,44.08,45.53,44.36,43.15,51.1,45.09,48.98,250.86,54.87,34.22,42.79,10.03,54.12,53.2,44.61,46.69,43.18,31.26,36.39
2023-02-01,33.99,35.0,33.98,42.64,43.84,45.6,44.16,42.72,50.94,44.9,48.99,250.61,54.02,33.82,43.22,10.15,54.18,53.02,44.31,46.46,42.78,31.45,35.58
2023-03-01,34.19,33.75,32.65,41.95,43.28,45.86,44.23,42.43,51.24,44.82,48.71,248.94,54.39,33.28,43.0,10.34,53.76,52.87,44.18,46.13,42.59,31.77,34.56
2023-04-01,34.39,32.65,30.8,40.38,41.55,45.43,43.22,42.3,49.48,43.3,47.87,247.11,52.52,30.77,41.92,10.86,52.79,51.83,43.81,44.93,41.34,31.34,33.28
2023-05-01,34.85,31.48,29.74,39.32,40.11,45.07,42.55,41.84,47.83,41.67,46.44,245.75,51.2,29.96,40.75,12.17,51.74,50.43,43.18,43.95,40.53,30.18,32.2
2023-06-01,39.63,30.1,28.52,37.54,39.27,43.86,41.31,41.53,46.15,40.23,44.56,229.96,50.16,28.71,39.74,14.0,50.45,47.53,35.8,41.45,39.32,29.13,30.05
2023-07-01,39.71,31.03,27.32,36.39,37.42,42.47,39.35,41.66,44.46,39.49,43.65,223.27,48.5,28.3,39.6,15.33,48.58,46.64,40.33,40.81,38.79,31.09,29.83
2023-08-01,37.88,31.43,26.54,35.57,36.54,40.21,37.93,40.55,44.13,38.94,42.72,214.78,47.88,27.9,38.65,17.73,47.59,45.38,35.91,40.32,38.39,31.34,28.55
2023-09-01,36.52,30.94,25.83,34.89,36.0,39.59,37.25,40.14,43.38,38.22,42.67,209.63,46.48,26.78,37.22,17.93,46.43,44.99,35.64,39.62,37.63,27.36,28.64
2023-10-01,38.15,31.59,25.93,34.71,36.2,39.45,37.49,39.81,42.8,37.86,42.79,205.65,46.32,26.26,37.11,18.24,46.16,45.17,37.09,39.05,37.14,30.58,28.2
2023-11-01,32.88,31.73,25.18,34.23,35.8,38.17,36.57,39.47,43.32,38.17,41.32,200.32,46.3,25.57,36.95,17.75,45.63,44.01,32.21,39.42,36.92,29.71,27.32
2023-12-01,32.51,32.4,25.31,34.27,35.84,38.3,35.81,39.12,43.52,38.38,42.06,198.66,46.54,25.25,36.67,18.39,46.15,44.38,31.33,39.59,39.97,29.91,27.05
2024-01-01,34.62,32.13,25.41,34.8,35.61,41.05,36.92,39.39,43.94,38.24,42.46,194.69,46.62,24.88,37.58,18.15,46.91,46.91,33.66,39.9,37.36,29.27,27.48
2024-02-01,28.8,32.02,24.25,34.0,35.25,36.75,34.92,38.15,43.48,37.97,41.12,194.81,46.02,23.87,37.18,18.61,45.73,43.39,30.75,39.48,36.94,28.03,26.28
2024-03-01,27.89,31.91,23.78,33.43,34.51,36.04,33.94,37.58,41.6,36.74,40.64,194.38,45.36,23.51,35.89,19.14,44.6,42.46,30.0,38.62,36.13,26.74,25.13
