date,INDICES DE PRECIOS PAGADOS POR LOS AGRICULTORES,INDICES MENSUALES Y ANUALES: AÑO BASE 2020=100,BIENES Y SERVICIOS DE USO CORRIENTE (INPUT I),SEMILLAS Y PLANTONES,SEMILLAS Y PLANTONES SEMILLAS,SEMILLAS Y PLANTONES PLANTONES,FERTILIZANTES,FERTILIZANTES SIMPLES,FERTILIZANTES SIMPLES NITROGENADOS,FERTILIZANTES SIMPLES FOSFATADOS,FERTILIZANTES SIMPLES POTASICOS,FERTILIZANTES COMPUESTOS,FERTILIZANTES ENMIENDAS,ALIMENTOS DE GANADO,ALIMENTOS DE GANADO PIENSOS SIMPLES,ALIMENTOS DE GANADO PIENSOS COMPUESTOS,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA BOVINO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA OVINO Y CAPRINO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA PORCINO,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA CONEJOS,ALIMENTOS DE GANADO PIENSOS COMPUESTOS PARA  AVES,Nota: Los datos mensuales de XXXX han de considerarse provisionales,Nota: Los datos del último año han de considerarse provisionales.
2024-01-01,0,0,132.64,119.88,122.12,113.96,153.54,158.20,162.33,140.66,147.25,165.99,96.59,136.82,159.48,132.41,134.06,136.86,129.64,141.79,135.60,0,0
2024-02-01,0,0,129.43,120.03,122.31,113.96,152.30,156.92,160.76,141.91,145.98,164.22,97.16,132.32,151.82,128.53,128.22,135.57,128.07,137.33,127.78,0,0
2024-03-01,0,0,127.42,120.18,122.52,113.96,149.59,153.17,157.03,141.71,140.13,161.90,97.73,129.76,149.54,125.92,125.52,130.76,125.55,135.28,125.47,0,0
2024-04-01,0,0,125.52,120.81,122.66,115.90,147.29,149.27,152.84,135.92,138.75,161.16,97.73,127.39,145.16,123.94,123.40,129.18,124.16,131.61,122.31,0,0
2024-05-01,0,0,124.65,120.91,122.80,115.90,145.91,147.05,149.92,137.11,138.12,160.53,97.73,125.48,143.69,121.94,122.73,126.99,121.14,130.45,121.45,0,0
2024-06-01,0,0,124.85,121.09,123.05,115.90,145.48,146.93,149.63,136.06,139.44,159.51,97.73,124.75,136.65,122.44,122.68,126.66,122.26,129.59,121.29,0,0
2024-07-01,0,0,124.02,121.72,123.19,117.83,144.29,144.62,147.13,134.00,137.95,159.54,97.73,122.39,128.74,121.16,121.93,124.23,120.70,128.37,120.41,0,0
2024-08-01,0,0,123.46,121.99,123.57,117.83,143.81,143.78,146.81,132.73,134.65,159.45,97.73,120.51,114.22,121.74,121.24,123.41,122.40,124.62,120.15,0,0
2024-09-01,0,0,121.98,122.09,123.69,117.83,144.38,144.71,148.11,131.77,134.78,159.66,97.73,119.39,114.03,120.43,120.10,123.11,120.65,124.30,119.43,0,0
2024-10-01,0,0,122.26,122.26,123.94,117.83,144.86,145.53,149.18,131.67,134.94,159.80,97.73,119.90,114.92,120.87,120.62,123.85,120.92,124.23,120.12,0,0
