date,INDICES DE PRECIOS PAGADOS POR LOS AGRICULTORES,INDICES MENSUALES Y ANUALES: AÑO BASE 2020=100,PROTECCION FITOPATOLOGICA,TRATAMIENTOS ZOOSANITARIOS,CONS. Y REP. MAQUINARIA,CONS. Y REP. EDIFICIOS,ENERGIA Y LUBRICANTES,ENERGIA Y LUBRICANTES CARBURANTES,ENERGIA Y LUBRICANTES ELECTRICIDAD,ENERGIA Y LUBRICANTES LUBRICANTES,MATERIAL Y PEQUEÑO UTILLAJE,GASTOS GENERALES,BIENES DE INVERSION   (INPUT II),MAQUINARIA Y OTROS BIENES DE EQUIPO,OBRAS DE INVERSION,Nota: Los datos del último año han de considerarse provisionales.,Nota: Los datos mensuales de XXXX han de considerarse provisionales
2024-01-01,0,0,123.32,105.40,114.70,129.25,145.62,170.24,123.42,115.79,117.88,116.47,127.45,129.02,123.29,0,0
2024-02-01,0,0,123.13,106.46,120.01,129.32,134.14,175.07,95.00,115.82,117.80,116.97,127.54,129.08,123.46,0,0
2024-03-01,0,0,123.32,105.40,122.18,129.25,129.04,174.10,85.52,114.99,116.26,116.47,127.42,129.02,123.15,0,0
2024-04-01,0,0,123.42,107.98,122.76,124.77,118.93,160.00,78.65,114.77,116.29,119.61,123.65,125.54,118.64,0,0
2024-05-01,0,0,123.53,107.47,122.84,125.28,121.07,152.56,90.46,113.96,116.14,119.83,123.84,125.63,119.10,0,0
2024-06-01,0,0,123.94,107.67,123.60,125.42,126.70,148.72,105.87,113.54,116.40,120.25,123.90,125.66,119.22,0,0
2024-07-01,0,0,124.19,107.86,123.88,129.29,130.86,148.82,114.34,113.47,116.67,120.05,123.21,123.22,123.17,0,0
2024-08-01,0,0,124.45,107.72,123.98,129.11,136.02,145.65,128.09,113.67,116.89,119.95,123.24,123.27,123.15,0,0
2024-09-01,0,0,124.06,108.28,124.26,129.37,127.99,139.38,117.81,112.97,116.70,118.05,123.48,123.55,123.28,0,0
2024-10-01,0,0,124.06,108.30,124.38,129.17,127.22,135.96,119.61,112.82,116.97,118.31,124.50,125.01,123.14,0,0
2024-11-01,0,0,123.87,107.78,124.60,126.00,140.58,137.18,145.90,112.87,117.03,119.12,124.45,125.01,122.96,0,0
2024-12-01,0,0,123.72,108.00,124.37,125.85,145.27,139.46,153.17,114.69,117.17,120.12,124.42,125.01,122.84,0,0
2025-01-01,0,0,123.85,107.68,124.80,129.99,140.13,144.21,137.89,114.89,118.55,122.69,125.41,127.58,119.64,0,0
2025-02-01,0,0,124.40,107.92,127.40,129.83,144.12,145.58,144.76,114.81,118.62,123.75,125.45,127.70,119.44,0,0
2025-03-01,0,0,125.02,107.86,128.20,129.85,128.88,143.12,115.81,114.64,118.19,122.12,125.52,127.80,119.45,0,0
2025-04-01,0,0,125.70,108.40,129.24,127.40,117.16,136.19,98.47,115.57,118.44,121.56,123.96,125.42,120.08,0,0
2025-05-01,0,0,126.44,109.51,130.28,128.07,116.96,130.85,103.34,115.54,117.90,121.11,124.15,125.45,120.69,0,0
2025-06-01,0,0,126.46,109.95,131.21,128.31,124.70,131.25,118.88,115.50,120.01,122.62,124.34,125.64,120.88,0,0
2025-07-01,0,0,126.55,110.07,132.79,132.02,127.08,136.21,118.88,115.50,119.56,124.41,125.61,125.99,124.61,0,0
2025-08-01,0,0,127.07,110.36,134.99,132.15,127.34,136.76,118.88,115.50,121.84,124.36,125.68,126.02,124.75,0,0
2025-09-01,0,0,127.69,110.45,135.40,132.03,126.08,134.13,118.88,115.50,122.86,123.82,125.60,125.96,124.63,0,0
2025-10-01,0,0,125.72,110.91,135.93,131.99,130.61,133.38,128.95,115.44,122.43,122.53,125.90,126.38,124.61,0,0
2025-11-01,0,0,128.87,110.29,136.37,131.93,128.82,136.13,122.55,115.44,122.05,124.33,125.87,126.36,124.57,0,0
2025-12-01,0,0,128.90,110.38,137.16,131.71,133.77,136.58,132.29,115.44,122.17,124.81,125.86,126.41,124.38,0,0
2026-01-01,0,0,128.82,110.19,137.47,132.78,129.21,132.41,127.02,115.42,122.34,124.42,129.37,131.29,124.24,0,0
2026-02-01,0,0,128.61,110.84,137.88,133.14,120.64,133.71,107.94,117.62,122.15,125.12,129.41,131.28,124.46,0,0
2026-03-01,0,0,128.72,111.48,138.45,134.65,158.49,195.00,125.22,118.89,121.94,128.79,129.53,131.43,124.47,0,0
2026-04-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-05-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-06-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-07-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-08-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-09-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-10-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-11-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
2026-12-01,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
