date,PRECIOS PAGADOS POR LOS AGRICULTORES,EUROS POR 100kg s/IVA,ABONOS,SULFATO AMONICO 21% (100kg),NITROSULFATO AMONICO       26% (100kg),NITRATO AMONICO CALCICO 26% (100kg),"NITRATO AMONICO 33,5 (100kg)",UREA 46% (100kg),SOLUCIÓN NITROGENADA 32% (100kg),SUPERFOSFATO DE CAL 18% (GRANO) (100kg),ÁCIDO FOSFÓRICO (100kg),CLORURO POTÁSICO 60% (100kg),SULFATO POTÁSICO 50% (100kg),DAP (FOSFATO DIAMÓNICO) (100kg),COMPLEJO 7-12-7 (100kg),COMPLEJO 8-15-15 (100kg),COMPLEJO 8-24-8 (100kg),COMPLEJO 8-24-16 (100kg),COMPLEJO 9-18-27 (100kg),COMPLEJO 15-15-15 (100kg),"Nota 1: Posición comercial entrada explotación agraria, en sacos.",Nota 2: Los datos mensuales de XXXX han de considerarse provisionales,Nota 2: La matriz de ponderación provincial para el cálculo del precio nacional se ha actualizado a la del cálculo de los índices de precios 2020=100,Nota 3: Los datos del último año han de considerarse provisionales.
2024-01-01,0,0,0,32.16,39.58,36.38,55.92,49.49,47.21,30.96,89.19,58.48,82.17,70.54,39.57,48.31,52.11,59.27,64.24,55.61,0,0,0,0
2024-02-01,0,0,0,32.54,39.00,35.63,54.68,49.22,46.70,32.30,89.39,57.85,82.05,69.80,39.25,48.08,51.67,58.02,62.53,54.86,0,0,0,0
2024-03-01,0,0,0,31.38,38.83,34.72,52.11,47.74,46.28,31.95,89.44,55.00,81.40,69.43,39.08,47.12,51.62,58.00,59.84,53.63,0,0,0,0
2024-04-01,0,0,0,29.80,37.14,33.46,51.75,47.85,44.58,31.87,85.12,54.48,80.47,70.02,38.94,46.27,50.98,57.26,59.89,53.60,0,0,0,0
2024-05-01,0,0,0,30.65,36.69,32.82,52.46,46.57,42.84,30.86,86.56,53.92,81.64,70.63,38.81,45.76,50.87,56.89,59.81,53.54,0,0,0,0
2024-06-01,0,0,0,30.46,36.65,32.58,52.31,46.61,42.88,28.85,86.86,54.53,81.96,70.64,37.54,45.68,50.06,56.72,60.06,52.38,0,0,0,0
2024-07-01,0,0,0,29.81,36.56,32.24,51.45,46.18,41.66,28.66,85.41,54.08,80.43,71.84,37.11,45.26,49.21,55.31,59.21,51.91,0,0,0,0
2024-08-01,0,0,0,29.24,36.11,32.54,50.73,46.18,41.66,29.08,84.23,52.61,79.39,71.62,37.20,45.03,49.66,55.47,58.07,51.79,0,0,0,0
2024-09-01,0,0,0,29.55,35.84,32.80,51.79,46.78,41.88,28.17,84.00,52.59,79.80,71.47,37.16,44.78,50.11,55.05,57.62,52.01,0,0,0,0
2024-10-01,0,0,0,30.27,36.44,32.75,51.97,47.54,41.75,28.12,83.95,52.34,81.43,70.99,37.13,44.64,50.31,54.70,57.43,52.27,0,0,0,0
2024-11-01,0,0,0,29.60,36.59,32.64,52.18,47.29,42.02,28.31,87.45,52.20,82.31,70.22,36.82,44.44,49.85,54.35,57.09,52.40,0,0,0,0
2024-12-01,0,0,0,29.85,36.76,33.03,53.11,48.87,42.42,28.35,88.18,52.46,83.13,71.19,37.20,44.66,50.28,54.56,57.41,52.85,0,0,0,0
2025-01-01,0,0,0,30.61,38.80,34.35,53.22,50.95,43.73,33.03,88.33,46.99,84.14,70.30,37.72,45.55,50.71,56.40,57.75,53.66,0,0,0,0
2025-02-01,0,0,0,31.69,39.49,36.35,53.72,51.82,42.60,32.24,77.84,46.93,82.92,71.74,38.47,45.96,51.40,56.86,58.61,54.53,0,0,0,0
