date,PRECIOS PAGADOS POR LOS AGRICULTORES,EUROS POR 100kg s/IVA,PIENSOS SIMPLES,TRIGO (PIENSO) (100kg),CEBADA (PIENSO) (100kg),AVENA (PIENSO) (100kg),MAIZ (PIENSO) (100kg),PAJA CEREALES (100kg),TORTA DE GIRASOL (100kg),PULPA DE REMOLACHA (100kg),ALFALFA DESHIDRATADA (100kg),PIENSOS COMPUESTOS,VACUNO,LACTORREMPLAZANTES 20% PROTEINA (100kg),TERNEROS CRIA (100kg),TERNEROS RECRIA Y CEBO (100kg),CONCENTRADO  VACUNO DE LECHE (100kg),CONCENTRADO VACUNO DE CARNE (100kg),OVINO Y CAPRINO,CORDEROS Y CHIVOS CRIA (100kg),CORDEROS Y CHIVOS RECRIA. ENGORDE (100kg),OVEJAS Y CABRAS LACTANTES (100kg),PORCINO,LECHONES (100kg),CERDOS CRECIMIENTO Y CEBO (100kg),CERDAS GESTACION Y LACTACION (100kg),CONEJOS,CONEJOS (100kg),AVES,POLLITAS CRIA-RECRIA (100kg),GALLINAS PONEDORAS (100kg),POLLOS CARNE (100kg),"Nota 1 : Posición comercial entrada explotación agraria, envasado.",Nota 2: Los datos mensuales de XXXX han de considerarse provisionales,Nota 2: La matriz de ponderación provincial para el cálculo del precio nacional se ha actualizado a la del cálculo de los índices de precios 2020=100,Nota 3: Los datos del último año han de considerarse provisionales.
2024-01-01,0,0,0,27.48,25.41,32.13,24.88,18.15,29.27,33.66,34.62,0,0,194.69,39.90,37.36,41.05,36.92,0,43.94,38.24,37.58,0,46.62,35.61,34.80,0,39.39,0,46.91,42.46,46.91,0,0,0,0
2024-02-01,0,0,0,26.28,24.25,32.02,23.87,18.61,28.03,30.75,28.80,0,0,194.81,39.48,36.94,36.75,34.92,0,43.48,37.97,37.18,0,46.02,35.25,34.00,0,38.15,0,45.73,41.12,43.39,0,0,0,0
2024-03-01,0,0,0,25.13,23.78,31.91,23.51,19.14,26.74,30.00,27.89,0,0,194.38,38.62,36.13,36.04,33.94,0,41.60,36.74,35.89,0,45.36,34.51,33.43,0,37.58,0,44.60,40.64,42.46,0,0,0,0
2024-04-01,0,0,0,25.37,23.63,31.41,23.32,18.19,26.18,28.34,26.90,0,0,194.26,38.23,35.59,35.24,33.26,0,40.97,36.11,35.62,0,45.05,34.13,32.93,0,36.56,0,43.58,39.88,41.21,0,0,0,0
2024-05-01,0,0,0,25.33,24.13,31.93,23.72,17.64,25.60,27.96,25.87,0,0,194.69,37.90,35.45,35.00,32.84,0,40.02,35.32,35.21,0,44.41,33.20,32.35,0,36.24,0,43.11,39.59,40.94,0,0,0,0
2024-06-01,0,0,0,25.50,23.72,30.44,23.62,15.67,25.58,27.28,25.16,0,0,193.38,37.99,35.39,35.00,33.11,0,40.11,35.68,34.76,0,44.90,33.49,32.56,0,36.00,0,43.14,39.67,40.80,0,0,0,0
2024-07-01,0,0,0,23.88,22.67,27.98,23.39,13.60,24.89,27.04,24.72,0,0,194.09,37.76,35.14,34.84,32.82,0,39.11,34.70,34.36,0,44.57,33.03,32.15,0,35.66,0,42.98,39.10,40.67,0,0,0,0
2024-08-01,0,0,0,23.71,22.57,25.77,23.11,8.98,23.99,24.23,23.33,0,0,194.20,37.43,34.92,34.63,32.69,0,38.90,34.59,34.04,0,44.09,33.82,31.84,0,34.62,0,43.04,39.03,40.56,0,0,0,0
2024-09-01,0,0,0,24.10,23.01,25.81,23.32,8.88,23.71,29.34,23.19,0,0,194.82,37.24,34.79,33.77,32.61,0,38.73,34.19,34.19,0,43.66,33.21,31.91,0,34.53,0,42.76,38.77,40.34,0,0,0,0
2024-10-01,0,0,0,24.82,23.75,26.37,24.23,9.08,24.22,29.29,22.98,0,0,194.90,37.53,35.00,33.76,32.87,0,39.17,34.64,34.17,0,43.68,33.28,32.11,0,34.51,0,42.66,39.28,40.41,0,0,0,0
2024-11-01,0,0,0,25.13,23.99,26.03,24.28,9.06,24.78,29.16,23.22,0,0,195.98,37.82,35.35,34.08,32.82,0,40.20,34.95,34.36,0,44.19,33.57,32.61,0,35.16,0,41.56,39.72,40.68,0,0,0,0
2024-12-01,0,0,0,25.34,24.40,26.16,24.75,9.09,24.59,29.25,23.29,0,0,196.38,38.10,35.60,34.13,32.86,0,40.31,35.39,34.60,0,44.53,33.99,32.93,0,35.34,0,43.06,38.99,41.76,0,0,0,0
2025-01-01,0,0,0,26.32,25.28,26.68,25.45,10.83,24.77,30.63,26.22,0,0,215.03,36.54,33.66,35.41,33.31,0,40.34,35.79,33.21,0,44.79,34.60,33.32,0,37.29,0,44.09,39.80,42.58,0,0,0,0
2025-02-01,0,0,0,26.75,25.89,26.55,25.85,10.86,25.47,30.20,27.97,0,0,216.34,36.71,34.30,35.79,33.79,0,40.83,36.25,33.28,0,45.23,35.11,33.87,0,37.29,0,42.90,40.71,42.79,0,0,0,0
