Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,8863,72439,369,3014
Lugo,1703,12802,568,4267
Ourense,2013,15597,0,0
Pontevedra,6113,51313,0,0
GALICIA,18692,152151,937,7281
P. DE ASTURIAS,200,400,205,450
CANTABRIA,133,346,0,0
Alava,0,0,13,42
Guipúzcoa,65,208,163,500
Vizcaya,64,206,75,234
PAIS VASCO,129,414,251,776
NAVARRA,20995,238899,0,0
LA RIOJA,896,10126,0,0
Huesca,52431,656803,0,0
Teruel,0,0,4067,46895
Zaragoza,22960,267074,0,0
ARAGON,75391,923877,4067,46895
Barcelona,153,1233,0,0
Girona,7995,97198,0,0
Lleida,29934,305072,0,0
Tarragona,65,585,0,0
CATALUÑA,38147,404088,0,0
BALEARES,0,0,220,1209
Avila,1591,22131,0,0
Burgos,950,9975,0,0
León,66508,658429,0,0
Palencia,4616,46160,0,0
Salamanca,18300,224175,0,0
Segovia,111,999,0,0
Soria,354,4071,0,0
Valladolid,9224,101464,0,0
Zamora,19698,230467,0,0
CASTILLA Y LEON,121352,1297871,0,0
MADRID,6749,87339,520,6729
Albacete,13800,186300,0,0
Ciudad Real,7042,77748,0,0
Cuenca,1083,12990,0,0
Guadalajara,3507,41904,0,0
Toledo,9737,120667,0,0
CASTILLA–LA MANCHA,35169,439609,0,0
Alicante,410,4920,0,0
Castellón,61,316,25,8
Valencia,368,4200,0,0
C. VALENCIANA,839,9436,25,8
R. DE MURCIA,424,4313,50,509
Badajoz,40099,503242,922,2793
Cáceres,21848,273318,0,0
EXTREMADURA,61947,776560,922,2793
Almería,0,0,9,29
Cádiz,3343,40116,0,0
Córdoba,7092,88479,0,0
Granada,0,0,3218,27629
Huelva,92,966,0,0
Jaén,1795,19900,12,120
Málaga,398,2706,49,113
Sevilla,16443,216323,0,0
ANDALUCIA,29163,368490,3288,27891
Las Palmas,171,240,242,824
S.C. de Tenerife,433,1009,48,112
CANARIAS,604,1249,290,936
ESPAÑA,410830,4715168,10775,95477
