SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"7.1.3.4. CEREALES GRANO-CEBADA: Análisis provincial de superficie y producción según tipos, 2018",,,,
,,,,
Provincias,Cebada de 2 carreras,,Cebada de 6 carreras,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,140,291,– ,– 
Lugo,177,381,– ,– 
Ourense,231,497,– ,– 
Pontevedra,– ,– ,– ,– 
 GALICIA,548,1169,– ,– 
,,,,
 P. DE ASTURIAS,– ,– ,– ,– 
,,,,
 CANTABRIA,127,191,– ,– 
,,,,
Alava,13107,57671,– ,– 
Guipúzcoa,– ,– ,– ,– 
Vizcaya,– ,– ,– ,– 
 PAÍS VASCO,13107,57671,– ,– 
,,,,
 NAVARRA,83360,334378,– ,– 
,,,,
 LA RIOJA,17268,87095,– ,– 
,,,,
Huesca,187439,823947,3121,12378
Teruel,90345,225286,1902,4198
Zaragoza,168397,461428,3437,9416
 ARAGÓN,446181,1510661,8460,25992
,,,,
Barcelona,34163,161925,333,1492
Girona,16381,58717,683,1941
Lleida,103076,485786,518,2441
Tarragona,13855,45887,– ,– 
 CATALUÑA,167475,752315,1534,5874
,,,,
 BALEARES,8078,13433,12116,20149
,,,,
Avila,39660,120078,11028,30496
Burgos,130408,567115,4300,18593
León,18548,73940,1196,4156
Palencia,106443,475623,10000,44799
Salamanca,36282,145976,1000,3890
Segovia,59137,190244,15000,47092
Soria,78540,274822,8040,27737
Valladolid,181634,735749,1750,7088
Zamora,49442,201663,12360,50413
 CASTILLA Y LEÓN,700094,2785210,64674,234264
,,,,
 MADRID,44469,151735,907,2840
,,,,
Albacete,111312,338277,20117,53651
Ciudad Real,102298,310778,43842,140590
Cuenca,195817,588801,68795,218810
Guadalajara,82636,245965,8101,23966
Toledo,133477,470242,15524,49568
 CASTILLA–LA MANCHA,625540,1954063,156379,486585
,,,,
Alicante,2061,3454,690,1163
Castellón,2902,3392,128,175
Valencia,826,2261,7519,20571
 C. VALENCIANA,5789,9107,8337,21909
,,,,
 R. DE MURCIA,10619,12582,11154,15570
,,,,
Badajoz,55753,232482,– ,– 
Cáceres,768,2442,– ,– 
 EXTREMADURA,56521,234924,– ,– 
,,,,
Almería,– ,– ,8409,14848
Cádiz,8968,49414,782,2346
Córdoba,3719,13760,14878,66951
Granada,6640,10375,36689,75780
Huelva,612,2176,690,2774
Jaén,4275,15476,2850,10113
Málaga,12263,48618,1555,6012
Sevilla,16956,64268,7266,28662
 ANDALUCÍA,53433,204087,73119,207486
,,,,
Las Palmas,123,192,– ,– 
S.C. de Tenerife,50,53,– ,– 
 CANARIAS,173,245,– ,– 
,,,,
ESPAÑA,2232782,8108866,336680,1020669
