SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"7.1.8.4. CEREALES GRANO-MAÍZ: Análisis provincial de superficie y producción según clases, 2019",,,,
,,,,
Provincias,Maíz híbrido,,Otros maíces,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,6424,38287,207,1234
Lugo,1564,9322,521,3105
Ourense,1939,12627,– ,– 
Pontevedra,5146,25185,– ,– 
 GALICIA,15073,85421,728,4339
,,,,
 P. DE ASTURIAS,218,567,213,554
,,,,
 CANTABRIA,– ,– ,12,18
,,,,
Alava,– ,– ,4,19
Guipúzcoa,65,208,36,115
Vizcaya,32,120,40,136
 PAIS VASCO,97,328,80,270
,,,,
 NAVARRA,15280,175740,– ,– 
,,,,
 LA RIOJA,428,5070,– ,– 
,,,,
Huesca,66046,772738,4500,47250
Teruel,1971,22666,– ,– 
Zaragoza,15711,178033,– ,– 
 ARAGON,83728,973437,4500,47250
,,,,
Barcelona,196,1179,– ,– 
Girona,5912,62256,– ,– 
Lleida,33907,270035,– ,– 
Tarragona,84,751,– ,– 
 CATALUÑA,40099,334221,– ,– 
,,,,
 BALEARES,119,657,– ,– 
,,,,
Avila,410,4759,– ,– 
Burgos,661,9915,– ,– 
León,69019,855836,– ,– 
Palencia,– ,– ,3380,40682
Salamanca,17150,214752,– ,– 
Segovia,77,847,– ,– 
Soria,143,1645,– ,– 
Valladolid,5297,66032,– ,– 
Zamora,14019,199000,– ,– 
 CASTILLA Y LEON,106776,1352786,3380,40682
,,,,
 MADRID,5042,56572,– ,– 
,,,,
Albacete,6500,94250,– ,– 
Ciudad Real,4028,46346,– ,– 
Cuenca,662,7818,– ,– 
Guadalajara,2800,33545,– ,– 
Toledo,5425,61031,– ,– 
 CASTILLA–LA MANCHA,19415,242990,– ,– 
,,,,
Alicante,49,539,88,957
Castellón,39,213,82,171
Valencia,153,2219,– ,– 
 C. VALENCIANA,241,2971,170,1128
,,,,
 R. DE MURCIA,128,1261,– ,– 
,,,,
Badajoz,27307,391801,– ,– 
Cáceres,17557,265708,– ,– 
 EXTREMADURA,44864,657509,– ,– 
,,,,
Almería,8,29,– ,– 
Cádiz,2351,28297,– ,– 
Córdoba,2575,32152,– ,– 
Granada,– ,– ,2067,21935
Huelva,248,2340,– ,– 
Jaén,574,8036,– ,– 
Málaga,196,1846,– ,– 
Sevilla,7553,104383,– ,– 
 ANDALUCIA,13505,177083,2067,21935
,,,,
Las Palmas,204,586,201,510
S.C. de Tenerife,231,517,26,57
 CANARIAS,435,1103,227,567
,,,,
ESPAÑA,345448,4067716,11377,116743
