Provincia,Trigo duro - Superficie - (hectáreas),Trigo duro - Producción - (toneladas),Trigo blando y semiduro - Superficie - (hectáreas),Trigo blando y semiduro - Producción - (toneladas)
A Coruña,3,9,1731,5383
Lugo,93,246,2849,7550
Ourense,3,9,7770,21950
Pontevedra,2,5,147,340
GALICIA,101,269,12497,35223
P. DE ASTURIAS,0,0,63,126
CANTABRIA,0,0,714,2229
Alava,0,0,21307,142757
Guipúzcoa,0,0,1,5
Vizcaya,0,0,0,0
PAÍS VASCO,0,0,21308,142762
NAVARRA,533,1370,87039,415498
LA RIOJA,10,47,28984,140238
Huesca,1901,5739,84207,340626
Teruel,1129,1828,39265,134188
Zaragoza,66336,197256,66455,226756
ARAGÓN,69366,204823,189927,701570
Barcelona,26,130,26227,116663
Girona,43,134,12909,60011
Lleida,217,969,56094,298650
Tarragona,14,37,7618,33137
CATALUÑA,300,1270,102848,508461
BALEARES,1,2,5976,11295
Avila,7,21,36826,125450
Burgos,387,1643,226415,1124254
León,44,256,51318,219369
Palencia,177,601,137920,627856
Salamanca,40,179,72799,264586
Segovia,98,317,76804,270713
Soria,2,6,115403,482025
Valladolid,601,2751,118395,478778
Zamora,94,371,70522,284159
CASTILLA Y LEÓN,1450,6145,906402,3877190
MADRID,290,929,20509,68966
Albacete,1222,8969,64999,229337
Ciudad Real,195,647,44539,156289
Cuenca,483,1549,43579,135551
Guadalajara,207,346,69273,247228
Toledo,1418,3440,53914,140396
CASTILLA–LA MANCHA,3525,14951,276304,908801
Alicante,78,439,1492,5212
Castellón,17,39,683,1497
Valencia,131,422,2488,8327
C. VALENCIANA,226,900,4663,15036
R. DE MURCIA,356,434,9914,21249
Badajoz,5532,16920,62816,190724
Cáceres,224,566,4230,11169
EXTREMADURA,5756,17486,67046,201893
Almería,92,111,2628,3329
Cádiz,39650,115769,15560,42770
Córdoba,37966,100096,22705,66498
Granada,2147,5291,11046,18927
Huelva,8985,34134,5219,20828
Jaén,4690,11004,2986,7999
Málaga,10943,27816,6171,15343
Sevilla,72670,227559,65100,223308
ANDALUCÍA,177143,521780,131415,399002
Las Palmas,0,0,65,81
S.C. de Tenerife,0,0,127,122
CANARIAS,0,0,192,203
ESPAÑA,259057,770406,1865801,7449742
