Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,6532,45583,99,613
Lugo,1472,9899,441,2966
Ourense,1917,12025,0,0
Pontevedra,4805,24634,0,0
GALICIA,14726,92141,540,3579
P. DE ASTURIAS,244,635,220,572
CANTABRIA,0,0,0,0
Alava,0,0,3,13
Guipúzcoa,65,228,34,119
Vizcaya,32,130,39,148
PAIS VASCO,97,358,76,280
NAVARRA,16655,198103,0,0
LA RIOJA,388,4677,0,0
Huesca,71927,1037664,0,0
Teruel,1990,21420,0,0
Zaragoza,17797,227581,0,0
ARAGON,91714,1286665,0,0
Barcelona,201,1175,0,0
Girona,6136,65206,0,0
Lleida,31459,360025,0,0
Tarragona,23,215,0,0
CATALUÑA,37819,426621,0,0
BALEARES,113,624,0,0
Avila,1693,21052,0,0
Burgos,938,14062,0,0
León,75219,1007935,0,0
Palencia,0,0,4202,49621
Salamanca,17580,235168,0,0
Segovia,34,354,0,0
Soria,113,1413,0,0
Valladolid,6426,86931,0,0
Zamora,15627,214543,0,0
CASTILLA Y LEON,117630,1581458,4202,49621
MADRID,4251,51249,125,875
Albacete,8500,119000,0,0
Ciudad Real,1481,17084,0,0
Cuenca,674,8307,0,0
Guadalajara,2843,39718,0,0
Toledo,5002,60024,0,0
CASTILLA–LA MANCHA,18500,244133,0,0
Alicante,19,228,52,624
Castellón,29,167,75,180
Valencia,98,1372,0,0
C. VALENCIANA,146,1767,127,804
R. DE MURCIA,149,1163,0,0
Badajoz,24340,323722,0,0
Cáceres,17849,235875,0,0
EXTREMADURA,42189,559597,0,0
Almería,7,35,0,0
Cádiz,0,0,2040,24367
Córdoba,683,8196,0,0
Granada,0,0,2084,23402
Huelva,70,950,0,0
Jaén,571,6167,0,0
Málaga,160,1122,0,0
Sevilla,2220,27350,0,0
ANDALUCIA,3711,43820,4124,47769
Las Palmas,156,343,138,284
S.C. de Tenerife,206,468,23,52
CANARIAS,362,811,161,336
ESPAÑA,348694,4493822,9575,103836
