SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"7.1.8.4. CEREALES GRANO-MAÍZ: Análisis provincial de superficie y producción según clases, 2021",,,,
,,,,
Provincias,Maíz híbrido,,Otros maíces,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,6532,45583,99,613
Lugo,1472,9899,441,2966
Ourense,1917,12025,–,–
Pontevedra,4805,24634,–,–
 GALICIA,14726,92141,540,3579
,,,,
 P. DE ASTURIAS,244,635,220,572
,,,,
 CANTABRIA,–,–,–,–
,,,,
Alava,–,–,3,13
Guipúzcoa,65,228,34,119
Vizcaya,32,130,39,148
 PAIS VASCO,97,358,76,280
,,,,
 NAVARRA,16655,198103,–,–
,,,,
 LA RIOJA,388,4677,–,–
,,,,
Huesca,71927,1037664,–,–
Teruel,1990,21420,–,–
Zaragoza,17797,227581,–,–
 ARAGON,91714,1286665,–,–
,,,,
Barcelona,201,1175,–,–
Girona,6136,65206,–,–
Lleida,31459,360025,–,–
Tarragona,23,215,–,–
 CATALUÑA,37819,426621,–,–
,,,,
 BALEARES,113,624,–,–
,,,,
Avila,1693,21052,–,–
Burgos,938,14062,–,–
León,75219,1007935,–,–
Palencia,–,–,4202,49621
Salamanca,17580,235168,–,–
Segovia,34,354,–,–
Soria,113,1413,–,–
Valladolid,6426,86931,–,–
Zamora,15627,214543,–,–
 CASTILLA Y LEON,117630,1581458,4202,49621
,,,,
 MADRID,4251,51249,125,875
,,,,
Albacete,8500,119000,–,–
Ciudad Real,1481,17084,–,–
Cuenca,674,8307,–,–
Guadalajara,2843,39718,–,–
Toledo,5002,60024,–,–
 CASTILLA–LA MANCHA,18500,244133,–,–
,,,,
Alicante,19,228,52,624
Castellón,29,167,75,180
Valencia,98,1372,–,–
 C. VALENCIANA,146,1767,127,804
,,,,
 R. DE MURCIA,149,1163,–,–
,,,,
Badajoz,24340,323722,–,–
Cáceres,17849,235875,–,–
 EXTREMADURA,42189,559597,–,–
,,,,
Almería,7,35,–,–
Cádiz,–,–,2040,24367
Córdoba,683,8196,–,–
Granada,–,–,2084,23402
Huelva,70,950,–,–
Jaén,571,6167,–,–
Málaga,160,1122,–,–
Sevilla,2220,27350,–,–
 ANDALUCIA,3711,43820,4124,47769
,,,,
Las Palmas,156,343,138,284
S.C. de Tenerife,206,468,23,52
 CANARIAS,362,811,161,336
,,,,
ESPAÑA,348694,4493822,9575,103836
