Provincia,Superficie (hectáreas),Producción (toneladas)
A Coruña,6006,41574
Lugo,1990,13302
Ourense,1801,12301
Pontevedra,4408,27330
GALICIA,14205,94507
P. DE ASTURIAS,385,1194
CANTABRIA,0,0
Álava,4,14
Guipúzcoa,109,216
Vizcaya,73,221
PAÍS VASCO,186,451
NAVARRA,11538,126167
LA RIOJA,436,5276
Huesca,39945,505548
Teruel,1682,16198
Zaragoza,9172,115411
ARAGÓN,50799,637157
Barcelona,0,0
Girona,2302,13145
Lleida,12360,115449
Tarragona,31,232
CATALUÑA,14693,128826
BALEARES,189,2485
Ávila,997,13021
Burgos,641,8333
León,67471,873749
Palencia,1450,17004
Salamanca,15471,216285
Segovia,12,132
Soria,51,714
Valladolid,4227,59406
Zamora,11609,161470
CASTILLA Y LEÓN,101929,1350114
MADRID,4570,65920
Albacete,6310,94000
Ciudad Real,1332,14655
Cuenca,813,7487
Guadalajara,1561,17904
Toledo,4643,46430
CASTILLA–LA MANCHA,14659,180476
Alicante,180,2295
Castellón,36,106
Valencia,80,1520
C. VALENCIANA,296,3921
R. DE MURCIA,206,2148
Badajoz,9245,112016
Cáceres,12017,146372
EXTREMADURA,21262,258388
Almería,10,40
Cádiz,1290,5812
Córdoba,34,425
Granada,1533,15676
Huelva,12,72
Jaén,8,12
Málaga,30,250
Sevilla,845,9988
ANDALUCÍA,3762,32275
Las Palmas,328,594
S.C. de Tenerife,349,844
CANARIAS,677,1438
ESPAÑA,239792,2890743
*El Maíz Grano: No incluye forrajero ni dulce,,
