Provincia,Superficie (hectáreas),Producción (toneladas)
A Coruña,8,24
Lugo,225,558
Ourense,4,13
Pontevedra,3,7
GALICIA,240,602
P. DE ASTURIAS,0,0
CANTABRIA,0,0
Álava,0,0
Guipúzcoa,0,0
Vizcaya,0,0
PAÍS VASCO,0,0
NAVARRA,486,2031
LA RIOJA,21,23
Huesca,1638,5124
Teruel,663,566
Zaragoza,38695,102580
ARAGÓN,40996,108270
Barcelona,8,8
Girona,23,51
Lleida,166,288
Tarragona,6,3
CATALUÑA,203,350
BALEARES,8,15
Ávila,13,12
Burgos,368,1074
León,27,122
Palencia,93,233
Salamanca,61,151
Segovia,56,91
Soria,3,2
Valladolid,296,895
Zamora,56,159
CASTILLA Y LEÓN,973,2739
MADRID,291,441
Albacete,2173,14494
Ciudad Real,393,835
Cuenca,412,652
Guadalajara,209,460
Toledo,1340,1042
CASTILLA–LA MANCHA,4527,17483
Alicante,148,219
Castellón,19,17
Valencia,68,219
C. VALENCIANA,235,455
R. DE MURCIA,285,160
Badajoz,3691,5950
Cáceres,247,253
EXTREMADURA,3938,6203
Almería,93,9
Cádiz,45290,73635
Córdoba,41215,69682
Granada,2529,2994
Huelva,10022,16720
Jaén,4523,4240
Málaga,13450,12850
Sevilla,79782,108526
ANDALUCÍA,196904,288656
Las Palmas,0,0
S.C. de Tenerife,0,0
CANARIAS,0,0
ESPAÑA,249107,427428
