Provincia,Superficie (hectáreas),Producción (toneladas)
A Coruña,1635,4970
Lugo,3204,7946
Ourense,8321,25795
Pontevedra,310,682
GALICIA,13470,39393
P. DE ASTURIAS,0,0
CANTABRIA,834,2161
Álava,19290,106095
Guipúzcoa,1,5
Vizcaya,0,0
PAÍS VASCO,19291,106100
NAVARRA,75632,337955
LA RIOJA,24448,78573
Huesca,62235,182893
Teruel,25019,29981
Zaragoza,42553,112353
ARAGÓN,129807,325227
Barcelona,14526,18056
Girona,11766,28754
Lleida,49726,104872
Tarragona,5959,7582
CATALUÑA,81977,159264
BALEARES,5616,10501
Ávila,29161,38617
Burgos,185302,503797
León,45406,139051
Palencia,116445,350757
Salamanca,57475,154200
Segovia,63604,103902
Soria,92626,97754
Valladolid,106480,227827
Zamora,55642,114312
CASTILLA Y LEÓN,752141,1730217
MADRID,27575,46441
Albacete,60245,119473
Ciudad Real,44918,44009
Cuenca,44830,43646
Guadalajara,69791,132880
Toledo,51534,41766
CASTILLA–LA MANCHA,271318,381774
Alicante,1534,1353
Castellón,864,832
Valencia,2945,9951
C. VALENCIANA,5343,12136
R. DE MURCIA,8301,6700
Badajoz,68492,110409
Cáceres,5328,9394
EXTREMADURA,73820,119803
Almería,2155,277
Cádiz,12010,14274
Córdoba,24048,28106
Granada,10292,5633
Huelva,4150,7650
Jaén,1972,1653
Málaga,5075,4109
Sevilla,65785,111033
ANDALUCÍA,125487,172735
Las Palmas,93,93
S.C. de Tenerife,137,145
CANARIAS,230,238
ESPAÑA,1615290,3529218
