Provincia,Superficie (hectáreas),Producción (toneladas)
A Coruña,210,433
Lugo,81,174
Ourense,911,2733
Pontevedra,19,41
GALICIA,1221,3381
P. DE ASTURIAS,0,0
CANTABRIA,156,174
Álava,12857,70714
Guipúzcoa,0,0
Vizcaya,0,0
PAÍS VASCO,12857,70714
NAVARRA,66996,253870
LA RIOJA,19083,54456
Huesca,137618,352760
Teruel,57709,59651
Zaragoza,100503,227604
ARAGÓN,295830,640015
Barcelona,20858,21288
Girona,14053,30482
Lleida,94836,192508
Tarragona,12943,15572
CATALUÑA,142690,259850
BALEARES,6244,10759
Ávila,42928,48640
Burgos,135372,331172
León,20009,46690
Palencia,96878,225619
Salamanca,30873,71961
Segovia,56996,98339
Soria,70789,71046
Valladolid,159731,308929
Zamora,54603,108245
CASTILLA Y LEÓN,668179,1310641
MADRID,44333,55478
Albacete,96866,139106
Ciudad Real,95765,80480
Cuenca,209633,209691
Guadalajara,77630,126314
Toledo,125842,98755
CASTILLA–LA MANCHA,605736,654346
Alicante,2251,2371
Castellón,2611,3448
Valencia,7325,24107
C. VALENCIANA,12187,29926
R. DE MURCIA,9055,10518
Badajoz,32115,41938
Cáceres,1038,1845
EXTREMADURA,33153,43783
Almería,0,0
Cádiz,8263,7188
Córdoba,4020,3839
Granada,24237,12113
Huelva,915,842
Jaén,2424,1794
Málaga,10760,8310
Sevilla,20233,27813
ANDALUCÍA,70852,61899
Las Palmas,51,91
S.C. de Tenerife,40,39
CANARIAS,91,130
ESPAÑA,1988663,3459940
