Provincia,Maíz híbirido - Superficie - (hectáreas),Maíz híbirido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,11025,53773,320,1650
Lugo,1859,9461,0,0
Ourense,2834,13729,0,0
Pontevedra,5882,16836,2013,11113
GALICIA,21600,93799,2333,12763
P. DE ASTURIAS,1100,2600,100,200
CANTABRIA,120,504,10,42
Alava,0,0,38,98
Guipúzcoa,130,329,195,486
Vizcaya,61,155,84,208
PAIS VASCO,191,484,317,792
NAVARRA,15187,118426,0,0
LA RIOJA,0,0,1552,13653
Huesca,50063,457476,0,0
Teruel,5295,47461,0,0
Zaragoza,32983,214310,0,0
ARAGON,88341,719247,0,0
Barcelona,2526,8710,0,0
Girona,10959,86137,0,0
Lleida,28108,265625,0,0
Tarragona,125,884,0,0
CATALUÑA,41718,361356,0,0
BALEARES,784,0,0,0
Avila,1343,10260,0,0
Burgos,652,5879,0,0
León,62208,590873,0,0
Palencia,7354,62863,0,0
Salamanca,14867,159374,0,0
Segovia,54,459,0,0
Soria,751,7478,0,0
Valladolid,17045,153405,0,0
Zamora,22859,205731,0,0
CASTILLA Y LEON,127133,1196322,0,0
MADRID,9596,134249,0,0
Albacete,20915,232035,0,0
Ciudad Real,7958,95319,0,0
Cuenca,1821,20679,0,0
Guadalajara,6329,73347,0,0
Toledo,14800,158886,0,0
CASTILLA–LA MANCHA,51823,580266,0,0
Alicante,397,1908,0,0
Castellón,184,872,0,0
Valencia,333,1760,0,0
C. VALENCIANA,914,4540,0,0
R. DE MURCIA,333,2581,0,0
Badajoz,0,0,42100,401213
Cáceres,0,0,19500,163800
EXTREMADURA,0,0,61600,565013
Almería,0,0,22,91
Cádiz,4101,50385,0,0
Córdoba,12635,160608,0,0
Granada,4549,32043,0,0
Huelva,497,4092,0,0
Jaén,1327,12212,0,0
Málaga,698,4886,99,198
Sevilla,26862,277028,0,0
ANDALUCIA,50669,541254,121,289
Las Palmas,144,347,35,84
S.C. de Tenerife,318,762,79,191
CANARIAS,462,1109,114,275
ESPAÑA,409971,3756737,66147,593027
