Provincia,Cebada de 2 carreras - Superficie - (hectáreas),Cebada de 2 carreras - Producción - (toneladas),Cebada de 6 carreras - Superficie - (hectáreas),Cebada de 6 carreras - Producción - (toneladas)
A Coruña,0,0,310,657
Lugo,0,0,18,38
Ourense,0,0,120,254
Pontevedra,0,0,11,23
GALICIA,0,0,459,972
P. DE ASTURIAS,0,0,0,0
CANTABRIA,478,717,0,0
Alava,15424,61696,0,0
Guipúzcoa,0,0,0,0
Vizcaya,0,0,0,0
PAÍS VASCO,15424,61696,0,0
NAVARRA,6434,20182,95620,393866
LA RIOJA,18057,75526,0,0
Huesca,145382,476215,34159,121930
Teruel,94252,311851,51370,167404
Zaragoza,44370,167056,14618,58439
ARAGÓN,284004,955122,100147,347773
Barcelona,43314,136018,1959,7849
Girona,6846,11480,10000,30000
Lleida,103251,383365,16000,46000
Tarragona,13427,52606,3244,13450
CATALUÑA,166838,583469,31203,97299
BALEARES,8090,17191,12136,25786
Avila,65629,198039,22271,57019
Burgos,217887,803949,6500,22425
León,26005,87160,3700,9990
Palencia,110960,354682,85000,283050
Salamanca,54407,181232,18100,58000
Segovia,89076,322374,44397,152110
Soria,140761,468518,6000,19800
Valladolid,285954,897139,26564,102938
Zamora,49887,140831,33259,92029
CASTILLA Y LEÓN,1040566,3453924,245791,797361
MADRID,41641,145741,2895,7744
Albacete,90450,363595,90750,222075
Ciudad Real,103100,343001,48425,158633
Cuenca,228019,969060,70000,297640
Guadalajara,115579,344660,17000,50695
Toledo,143319,357331,7542,16689
CASTILLA–LA MANCHA,680467,2377647,233717,745732
Alicante,2956,6025,1000,2062
Castellón,2571,5527,1180,3127
Valencia,3257,11656,4885,17481
C. VALENCIANA,8784,23208,7065,22670
R. DE MURCIA,6830,8196,35846,60104
Badajoz,36100,100358,7400,20572
Cáceres,1300,3133,2350,5664
EXTREMADURA,37400,103491,9750,26236
Almería,0,0,10425,23406
Cádiz,3012,14508,2933,3624
Córdoba,1644,3918,3835,9139
Granada,17856,55000,33937,130997
Huelva,218,655,1050,1770
Jaén,3444,8770,1308,3261
Málaga,5003,20327,556,1530
Sevilla,3492,10354,374,878
ANDALUCÍA,34669,113532,54418,174605
Las Palmas,0,0,0,0
S.C. de Tenerife,0,0,27,27
CANARIAS,0,0,27,27
ESPAÑA,2349682,7939642,829074,2700175
