CEREALES GRANO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"6.9.  TRIGO: Análisis provincial de superficie y producción según dureza del grano, 2004",,,,
,,,,
Provincias,Trigo duro,,Trigo blando y semiduro,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,–,–,3558,10069
Lugo,–,–,4935,13966
Ourense,–,–,13300,37639
Pontevedra,–,–,629,1780
 GALICIA,–,–,22422,63454
,,,,
 P. DE ASTURIAS,45,105,–,–
,,,,
 CANTABRIA,–,–,436,1308
,,,,
Alava,–,–,25143,114401
Guipúzcoa,–,–,–,–
Vizcaya,–,–,1,4
 PAÍS VASCO,–,–,25144,114405
,,,,
 NAVARRA,15743,35489,55998,245885
,,,,
 LA RIOJA,30,120,34144,170774
,,,,
Huesca,19694,5530,2014,67863
Teruel,3848,11345,27790,71992
Zaragoza,224093,546763,35376,117091
 ARAGÓN,247635,563638,65180,256946
,,,,
Barcelona,–,–,22700,102032
Girona,5000,15000,7366,17815
Lleida,217,852,30402,121612
Tarragona,–,–,3272,11681
 CATALUÑA,5217,15852,63740,253140
,,,,
 BALEARES,3,11,6810,19414
,,,,
Avila,–,–,22307,61015
Burgos,13374,31429,182570,792053
León,–,–,31404,108545
Palencia,109,273,89282,303121
Salamanca,566,1533,52059,176854
Segovia,–,–,50289,178733
Soria,–,–,86003,322818
Valladolid,97,233,39790,143461
Zamora,1592,3072,49756,114731
 CASTILLA Y LEÓN,15738,36540,603460,2201331
,,,,
 MADRID,135,297,13176,38857
,,,,
Albacete,–,–,50750,164150
Ciudad Real,–,–,47432,132123
Cuenca,–,–,30031,105042
Guadalajara,–,–,53056,165285
Toledo,51864,88168,30172,57327
 CASTILLA–LA MANCHA,51864,88168,211441,623927
,,,,
Alicante,312,296,2798,7065
Castellón,–,–,684,2264
Valencia,70,119,1709,3166
 C. VALENCIANA,382,415,5191,12495
,,,,
 R. DE MURCIA,505,937,8662,12455
,,,,
Badajoz,93550,234338,43500,125966
Cáceres,190,686,6130,15455
 EXTREMADURA,93740,235024,49630,141421
,,,,
Almería,4711,7080,725,1273
Cádiz,87330,307617,10798,41510
Córdoba,136545,491174,10831,38961
Granada,25794,71796,4785,17418
Huelva,17819,48959,3694,12485
Jaén,20433,46968,1250,3871
Málaga,34598,110223,1860,8296
Sevilla,190440,647415,26828,109154
 ANDALUCÍA,517670,1731232,60771,232968
,,,,
Las Palmas,–,–,–,–
S.C. de Tenerife,–,–,116,116
 CANARIAS,–,–,116,116
,,,,
ESPAÑA,948707,2707828,1226321,4388896
