Provincia,Trigo duro - Superficie - (hectáreas),Trigo duro - Producción - (toneladas),Trigo blando y semiduro - Superficie - (hectáreas),Trigo blando y semiduro - Producción - (toneladas)
A Coruña,0,0,3498,9899
Lugo,0,0,4930,16318
Ourense,0,0,12005,34214
Pontevedra,0,0,602,1704
GALICIA,0,0,21035,62135
P. DE ASTURIAS,25,59,0,0
CANTABRIA,0,0,436,1308
Alava,0,0,26882,145163
Guipúzcoa,0,0,0,0
Vizcaya,0,0,0,0
PAÍS VASCO,0,0,26882,145163
NAVARRA,13743,22761,58952,307572
LA RIOJA,72,152,35862,156651
Huesca,1647,1113,24841,73138
Teruel,3485,895,25594,18894
Zaragoza,226238,135743,27012,138971
ARAGÓN,231370,137751,77447,231003
Barcelona,0,0,21433,34518
Girona,0,0,15579,37284
Lleida,130,700,36224,55417
Tarragona,0,0,5790,6059
CATALUÑA,130,700,79026,133278
BALEARES,0,0,6220,13331
Avila,0,0,24151,25406
Burgos,10075,14206,192846,571220
León,0,0,45500,149200
Palencia,13,21,107536,262312
Salamanca,542,715,53269,81642
Segovia,0,0,49013,67252
Soria,0,0,105810,210098
Valladolid,95,105,37215,54185
Zamora,1232,1153,62747,99070
CASTILLA Y LEÓN,11957,16200,678087,1520385
MADRID,72,99,16997,24760
Albacete,0,0,52313,100001
Ciudad Real,0,0,46151,28706
Cuenca,0,0,31592,40004
Guadalajara,0,0,61710,77124
Toledo,44388,28408,29979,22485
CASTILLA–LA MANCHA,44388,28408,221745,268320
Alicante,152,106,2772,5550
Castellón,0,0,593,1782
Valencia,69,66,1392,1566
C. VALENCIANA,221,172,4757,8898
R. DE MURCIA,459,346,7873,4601
Badajoz,96165,118456,56170,103243
Cáceres,340,585,7570,12023
EXTREMADURA,96505,119041,63740,115266
Almería,4711,1507,838,380
Cádiz,85278,201053,9248,21722
Córdoba,136024,127912,11108,10446
Granada,24582,5005,4012,2300
Huelva,17980,21972,3907,5683
Jaén,21880,18592,912,1580
Málaga,35365,40036,2055,3013
Sevilla,185686,192757,32404,54258
ANDALUCÍA,511506,608834,64484,99382
Las Palmas,0,0,0,0
S.C. de Tenerife,0,0,118,118
CANARIAS,0,0,118,118
ESPAÑA,910448,934523,1363661,3092171
