CEREALES GRANO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Volver al Indice,,,,
"6.16.  CEBADA: Análisis provincial de superficie y producción según tipos, 2006",,,,
,,,,
Provincias,Cebada de 2 carreras,,Cebada de 6 carreras,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,–,–,220,1014
Lugo,–,–,52,224
Ourense,–,–,105,484
Pontevedra,–,–,14,60
 GALICIA,–,–,391,1782
,,,,
 P. DE ASTURIAS,–,–,–,–
,,,,
 CANTABRIA,402,632,–,–
,,,,
Alava,14464,70874,–,–
Guipúzcoa,–,–,–,–
Vizcaya,–,–,–,–
 PAÍS VASCO,14464,70874,–,–
,,,,
 NAVARRA,1563,5002,106303,442644
,,,,
 LA RIOJA,19231,76710,–,–
,,,,
Huesca,176539,564671,14719,42671
Teruel,119611,153857,9973,11908
Zaragoza,77250,211955,6007,11156
 ARAGÓN,373400,930483,30699,65735
,,,,
Barcelona,42520,87933,–,–
Girona,15120,32281,1670,3874
Lleida,92401,203448,16000,35000
Tarragona,10807,30366,2534,7119
 CATALUÑA,160848,354028,20204,45993
,,,,
 BALEARES,8712,19190,13068,28785
,,,,
Avila,66404,75062,20490,19127
Burgos,209441,626915,6500,18862
León,28340,93360,2500,6000
Palencia,148146,450837,36000,122040
Salamanca,58290,122663,19000,39414
Segovia,89165,213552,38070,101236
Soria,112964,210904,8000,14872
Valladolid,286776,680130,30000,76350
Zamora,80021,237597,20400,61160
 CASTILLA Y LEÓN,1079547,2711020,180960,459061
,,,,
 MADRID,38594,109060,2683,5740
,,,,
Albacete,85700,227221,88085,155461
Ciudad Real,104750,281763,53539,147087
Cuenca,226329,566351,58000,155600
Guadalajara,89145,241334,21000,56851
Toledo,158728,383621,8354,17908
 CASTILLA–LA MANCHA,664652,1700290,228978,532907
,,,,
Alicante,2991,5865,840,1644
Castellón,2329,4593,1000,2300
Valencia,5071,8891,4146,7259
 C. VALENCIANA,10391,19349,5986,11203
,,,,
 R. DE MURCIA,6682,6294,35076,46155
,,,,
Badajoz,59600,178800,12200,36600
Cáceres,2635,7378,465,1302
 EXTREMADURA,62235,186178,12665,37902
,,,,
Almería,10,3,10314,24761
Cádiz,720,5470,7758,12763
Córdoba,1648,3487,6594,13954
Granada,22998,46000,37085,62300
Huelva,359,968,1367,2734
Jaén,3629,9179,3304,8148
Málaga,8460,30907,837,312
Sevilla,13140,44780,1330,3528
 ANDALUCÍA,50964,140794,68589,128500
,,,,
Las Palmas,–,–,3,3
S.C. de Tenerife,–,–,75,75
 CANARIAS,–,–,78,78
,,,,
ESPAÑA,2491685,6329904,705680,1806485
