Provincia,Trigo duro - Superficie - (hectáreas),Trigo duro - Producción - (toneladas),Trigo blando y semiduro - Superficie - (hectáreas),Trigo blando y semiduro - Producción - (toneladas)
A Coruña,0,0,3240,9234
Lugo,0,0,4061,17747
Ourense,0,0,9240,48048
Pontevedra,0,0,621,2732
GALICIA,0,0,17162,77761
P. DE ASTURIAS,5,13,0,0
CANTABRIA,0,0,462,1232
Álava,0,0,24714,123570
Guipúzcoa,0,0,0,0
Vizcaya,0,0,0,0
PAÍS VASCO,0,0,24714,123570
NAVARRA,7189,14171,55728,231813
LA RIOJA,22,65,32287,144184
Huesca,536,1325,27016,107832
Teruel,1152,947,28546,94209
Zaragoza,70690,174134,125670,309571
ARAGÓN,72378,176406,181232,511612
Barcelona,0,0,18093,81770
Girona,0,0,14327,40934
Lleida,100,255,41791,124036
Tarragona,0,0,5769,21656
CATALUÑA,100,255,79980,268396
BALEARES,0,0,4771,12079
Ávila,0,0,21537,76038
Burgos,3181,11197,178375,857400
León,0,0,31535,138557
Palencia,0,0,77182,311646
Salamanca,140,490,51178,210242
Segovia,0,0,44538,204798
Soria,0,0,92150,396842
Valladolid,0,0,28309,113241
Zamora,429,704,43704,142609
CASTILLA Y LEÓN,3750,12391,568508,2451373
MADRID,12,48,13163,56916
Albacete,0,0,50665,159631
Ciudad Real,0,0,35998,70866
Cuenca,0,0,19028,81729
Guadalajara,0,0,49368,187241
Toledo,14366,38115,30900,78925
CASTILLA – LA MANCHA,14366,38115,185959,578392
Alicante,80,200,1838,4380
Castellón,0,0,658,2025
Valencia,0,0,1229,1749
C. VALENCIANA,80,200,3725,8154
R. DE MURCIA,523,608,7280,8076
Badajoz,22340,66126,51615,172912
Cáceres,145,427,5150,16480
EXTREMADURA,22485,66553,56765,189392
Almería,900,1804,1057,2265
Cádiz,57283,182634,19714,59038
Córdoba,78853,214098,25982,75348
Granada,6800,12398,3847,6771
Huelva,9791,33500,7225,27159
Jaén,11579,38526,2964,9231
Málaga,26969,89229,1570,6716
Sevilla,100325,346110,95685,359634
ANDALUCÍA,292500,918299,158044,546162
Las Palmas,0,0,5,5
S.C. de Tenerife,0,0,118,118
CANARIAS,0,0,123,123
ESPAÑA,413410,1227124,1389903,5209235
