SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"20.1.2.4. CEREALES GRANO-TRIGO: Análisis provincial de superficie y producción según dureza del grano, 2007",,,,
,,,,
Provincias,Trigo duro,,Trigo blando y semiduro,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,–,–,3240,9234
Lugo,–,–,4061,17747
Ourense,–,–,9240,48048
Pontevedra,–,–,621,2732
 GALICIA,–,–,17162,77761
,,,,
 P. DE ASTURIAS,5,13,–,–
,,,,
 CANTABRIA,–,–,462,1232
,,,,
Álava,–,–,24714,123570
Guipúzcoa,–,–,–,–
Vizcaya,–,–,–,–
 PAÍS VASCO,–,–,24714,123570
,,,,
 NAVARRA,7189,14171,55728,231813
,,,,
 LA RIOJA,22,65,32287,144184
,,,,
Huesca,536,1325,27016,107832
Teruel,1152,947,28546,94209
Zaragoza,70690,174134,125670,309571
 ARAGÓN,72378,176406,181232,511612
,,,,
Barcelona,–,–,18093,81770
Girona,–,–,14327,40934
Lleida,100,255,41791,124036
Tarragona,–,–,5769,21656
 CATALUÑA,100,255,79980,268396
,,,,
 BALEARES,–,–,4771,12079
,,,,
Ávila,–,–,21537,76038
Burgos,3181,11197,178375,857400
León,–,–,31535,138557
Palencia,–,–,77182,311646
Salamanca,140,490,51178,210242
Segovia,–,–,44538,204798
Soria,–,–,92150,396842
Valladolid,–,–,28309,113241
Zamora,429,704,43704,142609
 CASTILLA Y LEÓN,3750,12391,568508,2451373
,,,,
 MADRID,12,48,13163,56916
,,,,
Albacete,–,–,50665,159631
Ciudad Real,–,–,35998,70866
Cuenca,–,–,19028,81729
Guadalajara,–,–,49368,187241
Toledo,14366,38115,30900,78925
 CASTILLA – LA MANCHA,14366,38115,185959,578392
,,,,
Alicante,80,200,1838,4380
Castellón,–,–,658,2025
Valencia,–,–,1229,1749
 C. VALENCIANA,80,200,3725,8154
,,,,
 R. DE MURCIA,523,608,7280,8076
,,,,
Badajoz,22340,66126,51615,172912
Cáceres,145,427,5150,16480
 EXTREMADURA,22485,66553,56765,189392
,,,,
Almería,900,1804,1057,2265
Cádiz,57283,182634,19714,59038
Córdoba,78853,214098,25982,75348
Granada,6800,12398,3847,6771
Huelva,9791,33500,7225,27159
Jaén,11579,38526,2964,9231
Málaga,26969,89229,1570,6716
Sevilla,100325,346110,95685,359634
 ANDALUCÍA,292500,918299,158044,546162
,,,,
Las Palmas,–,–,5,5
S.C. de Tenerife,–,–,118,118
 CANARIAS,–,–,123,123
,,,,
ESPAÑA,413410,1227124,1389903,5209235
