Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,8495,40046,350,1650
Lugo,1045,4757,350,1593
Ourense,1866,9065,350,1701
Pontevedra,5549,26020,350,1642
GALICIA,16955,79888,1400,6586
P. DE ASTURIAS,550,1485,50,100
Álava,0,0,21,85
Guipúzcoa,110,387,190,655
Vizcaya,65,212,75,236
PAÍS VASCO,175,599,286,976
NAVARRA,12090,113828,795,13079
LA RIOJA,871,7829,0,0
Huesca,40397,395126,0,0
Teruel,4287,40067,0,0
Zaragoza,23277,250743,0,0
ARAGÓN,67961,685936,0,0
Barcelona,2388,10148,0,0
Girona,7583,83251,0,0
Lleida,21838,218828,0,0
Tarragona,109,915,0,0
CATALUÑA,31918,313142,0,0
BALEARES,158,869,0,0
Ávila,877,7077,0,0
Burgos,560,5552,0,0
León,62000,508400,0,0
Palencia,5816,43620,0,0
Salamanca,13034,130064,0,0
Segovia,190,1520,0,0
Soria,383,3637,0,0
Valladolid,11333,118997,0,0
Zamora,18844,188206,0,0
CASTILLA Y LEÓN,113037,1007073,0,0
MADRID,5483,70215,0,0
Albacete,11034,133998,0,0
Ciudad Real,0,0,4144,55682
Cuenca,1008,12034,0,0
Guadalajara,3940,58650,0,0
Toledo,10995,153114,0,0
CASTILLA – LA MANCHA,26977,357796,4144,55682
Alicante,198,1190,0,0
Castellón,37,90,0,0
Valencia,392,3352,0,0
C. VALENCIANA,627,4632,0,0
R. DE MURCIA,285,2252,0,0
Badajoz,35600,410112,0,0
Cáceres,17414,211058,0,0
EXTREMADURA,53014,621170,0,0
Almería,0,0,23,93
Cádiz,3260,37671,0,0
Córdoba,4490,55333,0,0
Granada,2498,18735,0,0
Huelva,150,1325,0,0
Jaén,934,10519,0,0
Málaga,504,3855,63,161
Sevilla,11727,138673,0,0
ANDALUCÍA,23563,266111,86,254
Las Palmas,156,439,69,149
S.C. de Tenerife,313,762,35,85
CANARIAS,469,1201,104,234
ESPAÑA,354133,3534026,6865,76911
