SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"13.1.3.4. CEREALES GRANO-CEBADA: Análisis provincial de superficie y producción según tipos, 2008",,,,
,,,,
Provincias,Cebada de 2 carreras,,Cebada de 6 carreras,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,–,–,63,290
Lugo,–,–,10,54
Ourense,–,–,30,143
Pontevedra,–,–,33,146
 GALICIA,–,–,136,633
,,,,
 P. DE ASTURIAS,–,–,–,–
,,,,
 CANTABRIA,–,–,540,767
,,,,
Alava,15581,74010,–,–
Guipúzcoa,–,–,–,–
Vizcaya,–,–,–,–
 PAÍS VASCO,15581,74010,–,–
,,,,
 NAVARRA,103643,346593,–,–
,,,,
 LA RIOJA,22283,80727,–,–
,,,,
Huesca,199123,608358,24482,66395
Teruel,108394,226543,15987,30943
Zaragoza,106000,242400,14345,32012
 ARAGÓN,413517,1077301,54814,129350
,,,,
Barcelona,44816,96221,1874,5179
Girona,17000,35000,1725,4307
Lleida,103028,110609,17000,16184
Tarragona,11687,37844,2565,8301
 CATALUÑA,176531,279674,23164,33971
,,,,
 BALEARES,8657,29409,12985,44113
,,,,
Avila,68799,256034,21226,78536
Burgos,211026,944445,6715,30889
León,31301,145461,2800,11200
Palencia,193296,911861,10000,47001
Salamanca,59880,257595,19600,83520
Segovia,89811,388957,37920,145265
Soria,138685,459081,6000,19800
Valladolid,301818,1295188,29830,131030
Zamora,88836,398038,22208,100139
 CASTILLA Y LEÓN,1183452,5056660,156299,647380
,,,,
 MADRID,47497,135739,871,2536
,,,,
Albacete,102744,278285,75000,203140
Ciudad Real,121525,372466,60762,180155
Cuenca,223785,628020,65500,160100
Guadalajara,93445,333100,25873,92228
Toledo,184802,464422,5768,21680
 CASTILLA–LA MANCHA,726301,2076293,232903,657303
,,,,
Alicante,4425,6322,490,700
Castellón,3887,6625,365,657
Valencia,6853,19714,2936,8445
 C. VALENCIANA,15165,32661,3791,9802
,,,,
 R. DE MURCIA,3571,5431,32066,39827
,,,,
Badajoz,88492,195156,7428,15948
Cáceres,2585,5687,207,455
 EXTREMADURA,91077,200843,7635,16403
,,,,
Almería,–,–,12314,12459
Cádiz,966,6813,6188,12763
Córdoba,3412,6545,13654,24638
Granada,28260,49912,41919,59974
Huelva,116,400,1000,1773
Jaén,5301,14415,4701,12784
Málaga,15670,32874,1741,4909
Sevilla,17480,48529,1630,3373
 ANDALUCÍA,71205,159488,83147,132673
,,,,
Las Palmas,–,–,4,4
S.C. de Tenerife,–,–,100,100
 CANARIAS,–,–,104,104
,,,,
ESPAÑA,2878480,9554829,608455,1714862
