Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,7620,39316,318,1641
Lugo,1091,4430,364,1552
Ourense,1745,8318,327,1560
Pontevedra,5601,28842,353,1820
GALICIA,16057,80906,1362,6573
P. DE ASTURIAS,360,920,40,80
CANTABRIA,0,0,0,0
Alava,0,0,28,98
Guipúzcoa,110,370,190,627
Vizcaya,65,202,75,225
PAIS VASCO,175,572,293,950
NAVARRA,14137,136179,875,12984
LA RIOJA,893,7551,0,0
Huesca,29817,286243,0,0
Teruel,1103,9202,2801,23737
Zaragoza,26136,260989,0,0
ARAGON,57056,556434,2801,23737
Barcelona,1564,6339,0,0
Girona,6773,66947,0,0
Lleida,24367,244391,0,0
Tarragona,123,1028,0,0
CATALUÑA,32827,318705,0,0
BALEARES,473,2602,0,0
Avila,1034,8484,0,0
Burgos,495,4862,0,0
León,59000,507400,0,0
Palencia,3719,26033,0,0
Salamanca,14377,136400,0,0
Segovia,197,1576,0,0
Soria,523,5490,0,0
Valladolid,13373,133730,0,0
Zamora,19868,218248,0,0
CASTILLA Y LEON,112586,1042223,0,0
MADRID,5559,54873,0,0
Albacete,13303,172669,0,0
Ciudad Real,0,0,0,0
Cuenca,1270,14619,0,0
Guadalajara,3858,50014,0,0
Toledo,13093,181198,0,0
CASTILLA–LA MANCHA,31524,418500,0,0
Alicante,370,2518,0,0
Castellón,23,50,0,0
Valencia,509,5090,0,0
C. VALENCIANA,902,7658,0,0
R. DE MURCIA,244,2318,0,0
Badajoz,40676,449470,0,0
Cáceres,19893,223418,0,0
EXTREMADURA,60569,672888,0,0
Almería,0,0,23,98
Cádiz,4613,53268,0,0
Córdoba,4149,51199,0,0
Granada,2617,20729,0,0
Huelva,236,2105,0,0
Jaén,781,9345,0,0
Málaga,576,4187,71,174
Sevilla,14051,171068,0,0
ANDALUCIA,27023,311901,94,272
Las Palmas,0,0,213,621
S.C. de Tenerife,379,887,42,99
CANARIAS,379,887,255,720
ESPAÑA,360764,3615117,5720,45316
