Provincia,Cebada de 2 carreras - Superficie - (hectáreas),Cebada de 2 carreras - Producción - (toneladas),Cebada de 6 carreras - Superficie - (hectáreas),Cebada de 6 carreras - Producción - (toneladas)
A Coruña,79,158,0,0
Lugo,214,428,0,0
Ourense,26,52,0,0
Pontevedra,6,12,0,0
GALICIA,325,650,0,0
CANTABRIA,0,0,346,561
Alava,18781,84515,0,0
PAÍS VASCO,18781,84515,0,0
NAVARRA,103449,351091,0,0
LA RIOJA,24046,81015,0,0
Huesca,181392,690938,23312,29194
Teruel,95507,211236,14267,26606
Zaragoza,103272,294708,9473,14494
ARAGÓN,380171,1196882,47052,70294
Barcelona,42590,133970,1666,6721
Girona,17744,47287,930,5498
Lleida,95000,329565,16963,58109
Tarragona,10239,34465,2247,7566
CATALUÑA,165573,545287,21806,77894
BALEARES,7584,26242,11377,39363
Avila,53410,49045,12731,11808
Burgos,198929,610523,5891,17850
León,22264,68246,2000,3600
Palencia,162447,396232,10000,24270
Salamanca,52719,85602,17163,26259
Segovia,70000,157640,33215,50072
Soria,100126,173884,5000,8600
Valladolid,236459,446318,23386,46304
Zamora,71426,84540,17857,21136
CASTILLA Y LEÓN,967780,2072030,127243,209899
MADRID,42885,102165,786,1907
Albacete,87018,243179,62372,107356
Ciudad Real,121525,284338,33874,130448
Cuenca,209657,430260,54000,128699
Guadalajara,90197,203537,21732,49039
Toledo,174210,356076,5668,16622
CASTILLA–LA MANCHA,682607,1517390,177646,432164
Alicante,3144,6784,648,2431
Castellón,3403,5425,350,563
Valencia,5526,10503,2158,4103
C. VALENCIANA,12073,22712,3156,7097
R. DE MURCIA,5104,4951,27727,36307
Badajoz,67440,135682,3680,7168
Cáceres,1820,2683,39,57
EXTREMADURA,69260,138365,3719,7225
Almería,13,13,11669,28028
Cádiz,925,2938,4994,14500
Córdoba,3676,6897,8580,16092
Granada,25506,55982,33105,52706
Huelva,283,823,1050,1890
Jaén,4560,9009,3039,5694
Málaga,10015,30307,1113,4529
Sevilla,14151,37841,1450,2578
ANDALUCÍA,59129,143810,65000,126017
Las Palmas,0,0,4,4
S.C. de Tenerife,0,0,97,97
CANARIAS,0,0,101,101
ESPAÑA,2538767,6287105,485959,1008829
