Provincia,Cebada de 2 carreras - Superficie - (hectáreas),Cebada de 2 carreras - Producción - (toneladas),Cebada de 6 carreras - Superficie - (hectáreas),Cebada de 6 carreras - Producción - (toneladas)
A Coruña,109,218,0,0
Lugo,166,332,0,0
Ourense,30,60,0,0
Pontevedra,2,4,0,0
GALICIA,307,614,0,0
CANTABRIA,204,265,0,0
Alava,14276,78518,0,0
PAÍS VASCO,14276,78518,0,0
NAVARRA,94473,362768,0,0
LA RIOJA,16055,68243,0,0
Huesca,184337,721967,13498,49220
Teruel,94023,271055,14044,35718
Zaragoza,97642,265850,14590,37318
ARAGÓN,376002,1258872,42132,122256
Barcelona,39961,149355,1578,7531
Girona,17145,66662,733,2850
Lleida,95064,381652,15475,63164
Tarragona,10572,37011,2321,8124
CATALUÑA,162742,634680,20107,81669
BALEARES,7482,21840,11223,32759
Avila,49455,99643,10253,20905
Burgos,158231,550487,4900,16709
León,21001,73469,2000,5600
Palencia,151098,489209,10000,34000
Salamanca,38698,100787,13500,34780
Segovia,64315,207281,31000,89000
Soria,83707,310025,5000,18000
Valladolid,249482,767588,3000,8610
Zamora,68484,160954,17121,40446
CASTILLA Y LEÓN,884471,2759443,96774,268050
MADRID,48448,95260,119,166
Albacete,92562,220281,52500,78630
Ciudad Real,101100,185880,67384,123911
Cuenca,232428,547943,56000,154059
Guadalajara,94707,242131,9500,26904
Toledo,167892,364914,6452,17066
CASTILLA–LA MANCHA,688689,1561149,191836,400570
Alicante,3233,6597,605,2445
Castellón,3355,5276,325,523
Valencia,6174,13303,2401,5172
C. VALENCIANA,12762,25176,3331,8140
R. DE MURCIA,4264,4245,23202,31133
Badajoz,67020,132406,2397,4698
Cáceres,1639,2958,57,102
EXTREMADURA,68659,135364,2454,4800
Almería,0,0,9199,13795
Cádiz,837,927,5900,14500
Córdoba,4158,5489,9703,12806
Granada,24725,44577,26937,41102
Huelva,277,490,1109,1819
Jaén,3923,4852,2615,3234
Málaga,8453,22099,939,2274
Sevilla,15228,28251,1500,2100
ANDALUCÍA,57601,106685,57902,91630
Las Palmas,0,0,0,0
S.C. de Tenerife,0,0,97,97
CANARIAS,0,0,97,97
ESPAÑA,2436435,7113122,449177,1041270
