SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"13.1.3.4. CEREALES GRANO-CEBADA: Análisis provincial de superficie y producción según tipos, 2011",,,,
,,,,
Provincias,Cebada de 2 carreras,,Cebada de 6 carreras,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,26,51,–,–
Lugo,159,312,–,–
Ourense,51,100,–,–
Pontevedra,2,4,–,–
 GALICIA,238,467,–,–
,,,,
 CANTABRIA,–,–,281,368
,,,,
Alava,14407,82840,–,–
 PAÍS VASCO,14407,82840,–,–
,,,,
 NAVARRA,87968,–,–,327248
,,,,
 LA RIOJA,13762,52409,–,–
,,,,
Huesca,172750,508639,11146,68820
Teruel,95551,221440,10748,20807
Zaragoza,108151,308680,18730,44040
 ARAGÓN,376452,1038759,40624,133667
,,,,
Barcelona,37009,140307,374,1417
Girona,14315,61449,581,2097
Lleida,86701,242015,13880,39398
Tarragona,12392,38533,–,–
 CATALUÑA,150417,482304,14835,42912
,,,,
 BALEARES,7073,18426,10610,27639
,,,,
Avila,49000,141473,10281,28208
Burgos,157956,611529,5000,19150
León,17920,67202,2200,6820
Palencia,139848,463691,10000,33458
Salamanca,38885,107254,11000,29227
Segovia,66000,216677,27580,83132
Soria,93095,333354,5000,17705
Valladolid,229839,736414,3000,9651
Zamora,59004,172998,14751,43250
 CASTILLA Y LEÓN,851547,2850592,88812,270601
,,,,
 MADRID,38954,133587,451,1108
,,,,
Albacete,87622,292584,44000,109800
Ciudad Real,91167,226626,60777,151082
Cuenca,210376,728250,52700,194749
Guadalajara,85654,261154,9500,28500
Toledo,155962,372952,5668,17410
 CASTILLA–LA MANCHA,630781,1881566,172645,501541
,,,,
Alicante,3206,6365,580,2349
Castellón,3417,6667,351,645
Valencia,5943,17557,2311,7000
 C. VALENCIANA,12566,30589,3242,9994
,,,,
 R. DE MURCIA,7377,9150,19885,22185
,,,,
Badajoz,51546,98643,1812,2672
Cáceres,1165,2324,40,74
 EXTREMADURA,52711,100967,1852,2746
,,,,
Almería,–,–,9021,25419
Cádiz,650,1549,5898,17337
Córdoba,2887,5827,6735,13612
Granada,18753,42535,30130,89545
Huelva,250,700,1005,2513
Jaén,3972,10659,2648,7106
Málaga,8077,19550,897,2416
Sevilla,11134,24582,1050,1976
 ANDALUCÍA,45723,105402,57384,159924
,,,,
Las Palmas,–,–,–,–
S.C. de Tenerife,–,–,82,82
 CANARIAS,–,–,82,82
,,,,
ESPAÑA,2289976,6787058,410703,1500015
