Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,8586,63086,358,2626
Lugo,1422,9595,474,3199
Ourense,1811,13365,0,0
Pontevedra,5434,35554,0,0
GALICIA,17253,121600,832,5825
P. DE ASTURIAS,0,0,320,700
CANTABRIA,325,1353,0,0
Alava,0,0,2,8
Guipúzcoa,65,223,107,361
Vizcaya,60,202,75,248
PAIS VASCO,125,425,184,617
NAVARRA,13520,149707,948,14263
LA RIOJA,570,5643,0,0
Huesca,45578,567446,0,0
Teruel,3701,37518,0,0
Zaragoza,22069,239587,0,0
ARAGON,71348,844551,0,0
Barcelona,981,6504,0,0
Girona,4478,54175,3608,38922
Lleida,27499,270473,0,0
Tarragona,38,313,0,0
CATALUÑA,32996,331465,3608,38922
BALEARES,313,1722,0,0
Avila,715,7604,0,0
Burgos,659,7262,0,0
León,56285,585364,0,0
Palencia,3539,31849,0,0
Salamanca,13691,177799,0,0
Segovia,150,1200,0,0
Soria,343,3913,0,0
Valladolid,8863,97493,0,0
Zamora,17526,210018,0,0
CASTILLA Y LEON,101771,1122502,0,0
MADRID,5545,74719,0,0
Albacete,14918,193934,0,0
Ciudad Real,5324,62348,0,0
Cuenca,1148,12647,0,0
Guadalajara,3555,42625,0,0
Toledo,10437,144704,0,0
CASTILLA–LA MANCHA,35382,456258,0,0
Alicante,259,2125,0,0
Castellón,42,119,0,0
Valencia,204,2448,0,0
C. VALENCIANA,505,4692,0,0
R. DE MURCIA,126,1197,0,0
Badajoz,35331,447573,0,0
Cáceres,16718,213840,0,0
EXTREMADURA,52049,661413,0,0
Almería,0,0,61,69
Cádiz,3377,32618,0,0
Córdoba,6625,82559,0,0
Granada,0,0,3451,39546
Huelva,225,2347,0,0
Jaén,0,0,1299,15588
Málaga,388,2569,45,107
Sevilla,15428,185367,0,0
ANDALUCIA,26043,305460,4856,55310
Las Palmas,198,572,24,24
S.C. de Tenerife,381,888,42,99
CANARIAS,579,1460,66,123
ESPAÑA,358450,4084167,10814,115760
