SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"13.1.8.4. CEREALES GRANO-MAÍZ: Análisis provincial de superficie y producción según clases, 2011",,,,
,,,,
Provincias,Maíz híbrido,,Otros maíces,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,8586,63086,358,2626
Lugo,1422,9595,474,3199
Ourense,1811,13365,–,–
Pontevedra,5434,35554,–,–
 GALICIA,17253,121600,832,5825
,,,,
 P. DE ASTURIAS,–,–,320,700
,,,,
 CANTABRIA,325,1353,–,–
,,,,
Alava,–,–,2,8
Guipúzcoa,65,223,107,361
Vizcaya,60,202,75,248
 PAIS VASCO,125,425,184,617
,,,,
 NAVARRA,13520,149707,948,14263
,,,,
 LA RIOJA,570,5643,–,–
,,,,
Huesca,45578,567446,–,–
Teruel,3701,37518,–,–
Zaragoza,22069,239587,–,–
 ARAGON,71348,844551,–,–
,,,,
Barcelona,981,6504,–,–
Girona,4478,54175,3608,38922
Lleida,27499,270473,–,–
Tarragona,38,313,–,–
 CATALUÑA,32996,331465,3608,38922
,,,,
 BALEARES,313,1722,–,–
,,,,
Avila,715,7604,–,–
Burgos,659,7262,–,–
León,56285,585364,–,–
Palencia,3539,31849,–,–
Salamanca,13691,177799,–,–
Segovia,150,1200,–,–
Soria,343,3913,–,–
Valladolid,8863,97493,–,–
Zamora,17526,210018,–,–
 CASTILLA Y LEON,101771,1122502,–,–
,,,,
 MADRID,5545,74719,–,–
,,,,
Albacete,14918,193934,–,–
Ciudad Real,5324,62348,–,–
Cuenca,1148,12647,–,–
Guadalajara,3555,42625,–,–
Toledo,10437,144704,–,–
 CASTILLA–LA MANCHA,35382,456258,–,–
,,,,
Alicante,259,2125,–,–
Castellón,42,119,–,–
Valencia,204,2448,–,–
 C. VALENCIANA,505,4692,–,–
,,,,
 R. DE MURCIA,126,1197,–,–
,,,,
Badajoz,35331,447573,–,–
Cáceres,16718,213840,–,–
 EXTREMADURA,52049,661413,–,–
,,,,
Almería,–,–,61,69
Cádiz,3377,32618,–,–
Córdoba,6625,82559,–,–
Granada,–,–,3451,39546
Huelva ,225,2347,–,–
Jaén,–,–,1299,15588
Málaga,388,2569,45,107
Sevilla,15428,185367,–,–
 ANDALUCIA,26043,305460,4856,55310
,,,,
Las Palmas,198,572,24,24
S.C. de Tenerife,381,888,42,99
 CANARIAS,579,1460,66,123
,,,,
ESPAÑA,358450,4084167,10814,115760
