date,raw_material_id,current_inventory_tons,expected_requirement_tons,lead_time_days,safety_coverage_days,expected_yield_rate,expected_waste_rate,unit_purchase_cost,shelf_life_days,destination_profile
2025-01-05,RM_BEEF_TRIM_A,64.465,34.691,5.17,5.61,0.9091,0.0218,2507.04,27,cooked_standard_line
2025-01-05,RM_PORK_SHOULDER_B,55.882,38.729,3.01,5.16,0.8326,0.0343,2161.43,12,fresh_short_shelf_life
2025-01-12,RM_BEEF_TRIM_A,62.119,37.82,4.85,5.77,0.8974,0.02,2527.95,28,cooked_standard_line
2025-01-12,RM_PORK_SHOULDER_B,46.867,42.945,2.06,4.95,0.8358,0.0359,2217.39,12,fresh_short_shelf_life
2025-01-19,RM_BEEF_TRIM_A,58.664,42.254,4.81,6.61,0.9065,0.0227,2508.88,30,cooked_standard_line
2025-01-19,RM_PORK_SHOULDER_B,55.327,42.826,2.39,4.8,0.8393,0.0312,2192.14,12,fresh_short_shelf_life
2025-01-26,RM_BEEF_TRIM_A,62.107,37.724,4.75,6.18,0.9089,0.0213,2484.54,28,cooked_standard_line
2025-01-26,RM_PORK_SHOULDER_B,57.637,40.946,2.46,5.27,0.8398,0.03,2174.89,14,fresh_short_shelf_life
2025-02-02,RM_BEEF_TRIM_A,62.818,35.504,4.51,5.67,0.902,0.0181,2568.84,30,cooked_standard_line
2025-02-02,RM_PORK_SHOULDER_B,55.763,36.262,3.61,4.91,0.8319,0.038,2220.28,14,fresh_short_shelf_life
2025-02-09,RM_BEEF_TRIM_A,60.964,34.396,4.26,5.97,0.8955,0.0231,2565.49,30,cooked_standard_line
2025-02-09,RM_PORK_SHOULDER_B,57.651,34.05,3.34,4.81,0.84,0.0368,2237.47,11,fresh_short_shelf_life
2025-02-16,RM_BEEF_TRIM_A,62.769,32.219,4.95,5.92,0.9106,0.011,2538.91,29,cooked_standard_line
2025-02-16,RM_PORK_SHOULDER_B,55.998,31.2,2.67,5.26,0.8387,0.0377,2297.51,11,fresh_short_shelf_life
2025-02-23,RM_BEEF_TRIM_A,59.373,30.748,4.24,6.53,0.8989,0.0172,2561.54,30,cooked_standard_line
2025-02-23,RM_PORK_SHOULDER_B,55.102,35.214,3.01,4.79,0.8447,0.0309,2253.27,13,fresh_short_shelf_life
2025-03-02,RM_BEEF_TRIM_A,57.426,34.425,3.77,6.19,0.9255,0.016,2449.94,28,cooked_standard_line
2025-03-02,RM_PORK_SHOULDER_B,53.482,33.387,2.83,5.16,0.8359,0.0361,2185.88,11,fresh_short_shelf_life
2025-03-09,RM_BEEF_TRIM_A,61.041,32.311,4.52,6.0,0.8888,0.0156,2666.56,27,cooked_standard_line
2025-03-09,RM_PORK_SHOULDER_B,56.535,37.892,2.79,4.93,0.8443,0.0361,2107.26,10,fresh_short_shelf_life
