date,raw_material_id,current_inventory_tons,expected_requirement_tons,lead_time_days,safety_coverage_days,expected_yield_rate,expected_waste_rate,unit_purchase_cost,shelf_life_days,destination_profile
2025-01-05,RM_BEEF_TRIM_A,26.332,42.878,4.79,7.27,0.918,0.0246,2523.97,30,cooked_standard_line
2025-01-05,RM_PORK_SHOULDER_B,23.089,48.062,3.49,6.91,0.8367,0.0318,2236.4,10,fresh_short_shelf_life
2025-01-12,RM_BEEF_TRIM_A,29.536,45.58,4.7,8.04,0.8911,0.0234,2565.04,29,cooked_standard_line
2025-01-12,RM_PORK_SHOULDER_B,21.718,51.985,3.39,7.62,0.8236,0.0281,2079.61,14,fresh_short_shelf_life
2025-01-19,RM_BEEF_TRIM_A,28.286,49.205,5.54,8.22,0.9021,0.0211,2536.42,29,cooked_standard_line
2025-01-19,RM_PORK_SHOULDER_B,23.484,50.854,3.12,7.54,0.8324,0.0307,2154.94,12,fresh_short_shelf_life
2025-01-26,RM_BEEF_TRIM_A,27.195,48.855,5.66,7.44,0.9113,0.0241,2436.51,27,cooked_standard_line
2025-01-26,RM_PORK_SHOULDER_B,25.014,54.868,3.5,7.71,0.8427,0.0339,2138.32,14,fresh_short_shelf_life
2025-02-02,RM_BEEF_TRIM_A,27.31,45.54,4.91,7.97,0.9065,0.0157,2427.61,28,cooked_standard_line
2025-02-02,RM_PORK_SHOULDER_B,24.971,51.847,3.76,7.0,0.8326,0.0369,2193.87,12,fresh_short_shelf_life
2025-02-09,RM_BEEF_TRIM_A,25.245,38.247,5.88,8.11,0.9042,0.0189,2494.82,27,cooked_standard_line
2025-02-09,RM_PORK_SHOULDER_B,22.473,45.341,2.93,6.73,0.8419,0.0395,2133.11,13,fresh_short_shelf_life
2025-02-16,RM_BEEF_TRIM_A,25.897,40.94,5.08,7.75,0.8978,0.0202,2515.23,30,cooked_standard_line
2025-02-16,RM_PORK_SHOULDER_B,22.287,41.208,2.21,6.92,0.844,0.0386,2251.77,11,fresh_short_shelf_life
2025-02-23,RM_BEEF_TRIM_A,28.856,42.392,4.77,8.56,0.8895,0.0239,2473.59,30,cooked_standard_line
2025-02-23,RM_PORK_SHOULDER_B,27.448,37.95,2.92,6.71,0.8568,0.0381,2203.66,14,fresh_short_shelf_life
2025-03-02,RM_BEEF_TRIM_A,27.77,37.731,4.92,8.22,0.908,0.0173,2506.05,28,cooked_standard_line
2025-03-02,RM_PORK_SHOULDER_B,22.975,41.137,2.95,7.21,0.8532,0.0318,2244.08,12,fresh_short_shelf_life
2025-03-09,RM_BEEF_TRIM_A,34.126,41.611,4.98,8.15,0.8906,0.0168,2566.14,26,cooked_standard_line
2025-03-09,RM_PORK_SHOULDER_B,20.065,48.207,3.33,6.73,0.8572,0.0338,2287.78,12,fresh_short_shelf_life
