date,raw_material_id,current_inventory_tons,expected_requirement_tons,lead_time_days,safety_coverage_days,expected_yield_rate,expected_waste_rate,unit_purchase_cost,shelf_life_days,destination_profile
2025-01-05,RM_BEEF_TRIM_A,122.533,29.582,5.21,3.83,0.8955,0.0191,2388.4,27,cooked_standard_line
2025-01-05,RM_PORK_SHOULDER_B,125.469,26.77,3.11,2.89,0.8372,0.0323,2115.59,10,fresh_short_shelf_life
2025-01-12,RM_BEEF_TRIM_A,131.646,26.685,4.88,4.29,0.898,0.0201,2673.67,30,cooked_standard_line
2025-01-12,RM_PORK_SHOULDER_B,114.951,29.688,3.27,3.58,0.8373,0.034,2280.19,11,fresh_short_shelf_life
2025-01-19,RM_BEEF_TRIM_A,129.325,26.741,5.44,4.17,0.9009,0.0227,2323.75,27,cooked_standard_line
2025-01-19,RM_PORK_SHOULDER_B,110.494,29.949,3.14,3.21,0.8356,0.0307,2202.09,13,fresh_short_shelf_life
2025-01-26,RM_BEEF_TRIM_A,134.417,28.045,5.37,4.06,0.9111,0.0192,2475.93,29,cooked_standard_line
2025-01-26,RM_PORK_SHOULDER_B,114.856,32.627,2.61,3.07,0.8151,0.0378,2239.31,11,fresh_short_shelf_life
2025-02-02,RM_BEEF_TRIM_A,130.384,23.269,4.52,4.23,0.8797,0.0163,2606.77,30,cooked_standard_line
2025-02-02,RM_PORK_SHOULDER_B,114.006,25.354,3.16,2.82,0.8559,0.0302,2228.36,14,fresh_short_shelf_life
2025-02-09,RM_BEEF_TRIM_A,134.418,22.357,4.99,3.89,0.8828,0.0267,2610.22,30,cooked_standard_line
2025-02-09,RM_PORK_SHOULDER_B,116.548,29.606,2.68,2.76,0.832,0.0405,2083.17,13,fresh_short_shelf_life
2025-02-16,RM_BEEF_TRIM_A,129.236,21.657,5.11,4.17,0.8875,0.0131,2549.65,30,cooked_standard_line
2025-02-16,RM_PORK_SHOULDER_B,116.147,27.052,2.84,3.09,0.8376,0.0383,2136.44,12,fresh_short_shelf_life
2025-02-23,RM_BEEF_TRIM_A,129.868,22.755,5.27,4.07,0.9255,0.026,2669.74,26,cooked_standard_line
2025-02-23,RM_PORK_SHOULDER_B,113.674,24.451,3.27,2.32,0.8517,0.0393,2095.83,10,fresh_short_shelf_life
2025-03-02,RM_BEEF_TRIM_A,127.796,21.576,5.02,4.19,0.9205,0.0192,2611.4,28,cooked_standard_line
2025-03-02,RM_PORK_SHOULDER_B,117.726,29.822,3.68,2.68,0.8381,0.0317,2320.4,11,fresh_short_shelf_life
2025-03-09,RM_BEEF_TRIM_A,129.285,26.815,4.77,4.15,0.893,0.0163,2588.5,28,cooked_standard_line
2025-03-09,RM_PORK_SHOULDER_B,113.832,28.008,2.41,2.6,0.8452,0.0384,2200.73,11,fresh_short_shelf_life
