date,raw_material_id,current_inventory_tons,expected_requirement_tons,lead_time_days,safety_coverage_days,expected_yield_rate,expected_waste_rate,unit_purchase_cost,shelf_life_days,destination_profile
2025-01-05,RM_CHICKEN_TRIM_C,48.976,38.596,3.83,5.2,0.7636,0.085,2150.12,7,fresh_short_shelf_life
2025-01-05,RM_PORK_SHOULDER_B,50.225,36.684,3.12,5.47,0.7832,0.087,2080.55,5,fresh_high_turnover
2025-01-12,RM_CHICKEN_TRIM_C,43.753,47.483,3.55,4.9,0.7712,0.0824,2146.24,6,fresh_short_shelf_life
2025-01-12,RM_PORK_SHOULDER_B,53.948,42.758,2.09,5.0,0.7711,0.0881,2030.56,8,fresh_high_turnover
2025-01-19,RM_CHICKEN_TRIM_C,50.131,43.928,2.26,5.3,0.7818,0.089,2276.73,7,fresh_short_shelf_life
2025-01-19,RM_PORK_SHOULDER_B,48.89,43.02,3.37,5.26,0.7729,0.0826,2136.17,8,fresh_high_turnover
2025-01-26,RM_CHICKEN_TRIM_C,48.786,42.878,2.93,5.62,0.7749,0.0838,2236.69,5,fresh_short_shelf_life
2025-01-26,RM_PORK_SHOULDER_B,49.54,43.309,3.39,4.61,0.7937,0.0836,2213.55,9,fresh_high_turnover
2025-02-02,RM_CHICKEN_TRIM_C,51.482,43.232,3.53,5.05,0.7798,0.0863,2120.34,9,fresh_short_shelf_life
2025-02-02,RM_PORK_SHOULDER_B,45.719,39.987,4.03,4.96,0.7682,0.0924,2173.62,5,fresh_high_turnover
2025-02-09,RM_CHICKEN_TRIM_C,47.012,40.387,2.88,4.49,0.7609,0.0811,2193.76,8,fresh_short_shelf_life
2025-02-09,RM_PORK_SHOULDER_B,46.404,43.115,3.5,4.82,0.7785,0.0791,2081.68,7,fresh_high_turnover
2025-02-16,RM_CHICKEN_TRIM_C,45.921,34.197,3.0,4.79,0.7925,0.0856,2213.22,7,fresh_short_shelf_life
2025-02-16,RM_PORK_SHOULDER_B,49.388,36.79,2.95,4.96,0.7908,0.0881,2229.27,8,fresh_high_turnover
2025-02-23,RM_CHICKEN_TRIM_C,47.866,36.782,3.26,4.58,0.7935,0.0854,2214.67,8,fresh_short_shelf_life
2025-02-23,RM_PORK_SHOULDER_B,48.738,35.165,3.59,5.03,0.7708,0.0868,2063.59,6,fresh_high_turnover
2025-03-02,RM_CHICKEN_TRIM_C,48.987,40.133,3.02,5.68,0.8015,0.0855,2249.99,8,fresh_short_shelf_life
2025-03-02,RM_PORK_SHOULDER_B,49.107,40.186,3.07,5.37,0.7827,0.088,2248.79,9,fresh_high_turnover
2025-03-09,RM_CHICKEN_TRIM_C,46.923,37.63,1.68,4.92,0.7934,0.0806,2298.7,6,fresh_short_shelf_life
2025-03-09,RM_PORK_SHOULDER_B,49.477,39.79,3.04,4.74,0.7772,0.0848,2248.96,9,fresh_high_turnover
