date,raw_material_id,current_inventory_tons,expected_requirement_tons,lead_time_days,safety_coverage_days,expected_yield_rate,expected_waste_rate,unit_purchase_cost,shelf_life_days,destination_profile
2025-01-05,RM_BEEF_TRIM_A,42.527,35.796,12.88,10.13,0.9114,0.0204,2505.79,26,cooked_standard_line
2025-01-05,RM_PORK_BELLY_CURED_D,57.404,34.497,18.14,12.63,0.7704,0.0514,2866.23,43,cured_maturation_line
2025-01-12,RM_BEEF_TRIM_A,46.249,36.821,12.42,9.81,0.8951,0.0171,2594.27,27,cooked_standard_line
2025-01-12,RM_PORK_BELLY_CURED_D,53.729,34.367,18.41,12.51,0.7774,0.0411,2836.15,47,cured_maturation_line
2025-01-19,RM_BEEF_TRIM_A,46.562,39.241,12.98,9.91,0.8895,0.0184,2462.69,26,cooked_standard_line
2025-01-19,RM_PORK_BELLY_CURED_D,49.172,37.349,18.59,13.21,0.76,0.0461,2761.86,44,cured_maturation_line
2025-01-26,RM_BEEF_TRIM_A,46.631,41.353,12.01,9.93,0.8974,0.0238,2455.48,28,cooked_standard_line
2025-01-26,RM_PORK_BELLY_CURED_D,51.506,34.232,17.58,13.43,0.7857,0.0547,2901.35,44,cured_maturation_line
2025-02-02,RM_BEEF_TRIM_A,49.022,40.625,12.7,9.98,0.9135,0.0184,2565.1,30,cooked_standard_line
2025-02-02,RM_PORK_BELLY_CURED_D,51.405,35.573,17.92,13.07,0.781,0.0415,2921.66,44,cured_maturation_line
2025-02-09,RM_BEEF_TRIM_A,42.897,33.268,12.36,10.29,0.8964,0.0161,2459.12,30,cooked_standard_line
2025-02-09,RM_PORK_BELLY_CURED_D,48.684,29.536,18.31,12.64,0.7768,0.045,2814.37,45,cured_maturation_line
2025-02-16,RM_BEEF_TRIM_A,50.516,33.405,12.74,9.62,0.8816,0.0192,2521.82,26,cooked_standard_line
2025-02-16,RM_PORK_BELLY_CURED_D,51.064,28.642,17.64,12.84,0.7816,0.0435,2858.04,43,cured_maturation_line
2025-02-23,RM_BEEF_TRIM_A,47.937,36.783,12.21,10.52,0.9035,0.0162,2622.56,29,cooked_standard_line
2025-02-23,RM_PORK_BELLY_CURED_D,50.599,27.87,17.5,13.01,0.7907,0.0437,2883.67,43,cured_maturation_line
2025-03-02,RM_BEEF_TRIM_A,42.856,38.266,13.13,9.91,0.8894,0.0159,2548.78,27,cooked_standard_line
2025-03-02,RM_PORK_BELLY_CURED_D,52.663,29.391,18.36,13.09,0.7887,0.0468,2889.04,46,cured_maturation_line
2025-03-09,RM_BEEF_TRIM_A,48.37,41.053,13.06,10.21,0.8908,0.0186,2613.46,26,cooked_standard_line
2025-03-09,RM_PORK_BELLY_CURED_D,52.531,36.097,17.27,13.58,0.7909,0.0408,2960.07,46,cured_maturation_line
