date,raw_material_id,current_inventory_tons,expected_requirement_tons,lead_time_days,safety_coverage_days,expected_yield_rate,expected_waste_rate,unit_purchase_cost,shelf_life_days,destination_profile
2025-01-05,RM_BEEF_TRIM_A,67.329,36.106,3.72,5.96,0.9101,0.0254,2602.3,28,cooked_standard_line
2025-01-05,RM_PORK_SHOULDER_B,56.654,38.58,3.09,4.68,0.8315,0.0365,2486.81,10,fresh_short_shelf_life
2025-01-05,RM_PORK_BELLY_CURED_D,73.877,32.543,10.9,8.99,0.7938,0.0414,3251.16,47,cured_maturation_line
2025-01-05,RM_PREMIUM_IBERIAN_E,33.203,22.563,6.13,8.11,0.8714,0.0248,3517.93,31,premium_batch_line
2025-01-12,RM_BEEF_TRIM_A,62.625,43.044,5.45,5.95,0.9109,0.0179,2941.06,28,cooked_standard_line
2025-01-12,RM_PORK_SHOULDER_B,55.108,48.616,2.57,5.6,0.8364,0.0345,2573.36,11,fresh_short_shelf_life
2025-01-12,RM_PORK_BELLY_CURED_D,69.555,40.933,10.35,9.03,0.7654,0.0482,2952.98,45,cured_maturation_line
2025-01-12,RM_PREMIUM_IBERIAN_E,33.496,27.423,6.24,7.88,0.8863,0.0181,2922.58,28,premium_batch_line
2025-01-19,RM_BEEF_TRIM_A,62.287,33.763,5.29,6.43,0.8875,0.023,2770.33,26,cooked_standard_line
2025-01-19,RM_PORK_SHOULDER_B,53.37,35.978,2.46,4.98,0.8359,0.0354,2104.26,14,fresh_short_shelf_life
2025-01-19,RM_PORK_BELLY_CURED_D,66.892,29.174,9.85,8.88,0.7927,0.039,2369.76,45,cured_maturation_line
2025-01-19,RM_PREMIUM_IBERIAN_E,34.282,19.278,7.14,7.91,0.8883,0.0163,2874.6,31,premium_batch_line
2025-01-26,RM_BEEF_TRIM_A,65.107,27.463,4.45,6.43,0.891,0.0139,2401.23,29,cooked_standard_line
2025-01-26,RM_PORK_SHOULDER_B,56.321,28.561,3.25,5.1,0.8375,0.0423,1659.92,11,fresh_short_shelf_life
2025-01-26,RM_PORK_BELLY_CURED_D,68.479,19.588,9.37,8.23,0.772,0.042,2227.16,47,cured_maturation_line
2025-01-26,RM_PREMIUM_IBERIAN_E,41.703,19.506,6.75,8.04,0.8688,0.0208,3356.36,30,premium_batch_line
2025-02-02,RM_BEEF_TRIM_A,60.971,39.02,5.52,6.25,0.9124,0.0136,1967.65,27,cooked_standard_line
2025-02-02,RM_PORK_SHOULDER_B,56.193,41.54,3.15,5.05,0.8492,0.0372,1931.78,11,fresh_short_shelf_life
2025-02-02,RM_PORK_BELLY_CURED_D,75.174,31.918,10.06,9.33,0.7833,0.0501,2922.07,45,cured_maturation_line
2025-02-02,RM_PREMIUM_IBERIAN_E,38.653,23.451,7.07,7.79,0.8743,0.0194,3940.65,29,premium_batch_line
2025-02-09,RM_BEEF_TRIM_A,69.07,38.822,4.51,5.91,0.9245,0.0174,2287.43,28,cooked_standard_line
2025-02-09,RM_PORK_SHOULDER_B,50.713,45.17,2.22,5.0,0.8442,0.0264,2297.42,12,fresh_short_shelf_life
2025-02-09,RM_PORK_BELLY_CURED_D,72.686,34.68,10.09,8.76,0.7758,0.0452,3439.18,45,cured_maturation_line
2025-02-09,RM_PREMIUM_IBERIAN_E,38.39,27.125,7.36,8.01,0.8871,0.0219,3895.67,32,premium_batch_line
2025-02-16,RM_BEEF_TRIM_A,62.749,26.638,5.5,6.05,0.9161,0.0241,2690.22,30,cooked_standard_line
2025-02-16,RM_PORK_SHOULDER_B,58.813,29.299,3.98,4.95,0.84,0.0392,2706.44,10,fresh_short_shelf_life
2025-02-16,RM_PORK_BELLY_CURED_D,71.065,25.857,10.52,9.11,0.7691,0.0447,3235.08,45,cured_maturation_line
2025-02-16,RM_PREMIUM_IBERIAN_E,36.13,19.188,7.43,7.59,0.8721,0.0146,3405.49,28,premium_batch_line
2025-02-23,RM_BEEF_TRIM_A,66.759,31.529,5.8,6.31,0.9101,0.0137,3039.3,29,cooked_standard_line
2025-02-23,RM_PORK_SHOULDER_B,51.669,31.721,3.72,5.08,0.8263,0.0375,2465.01,11,fresh_short_shelf_life
2025-02-23,RM_PORK_BELLY_CURED_D,69.356,23.473,9.65,8.33,0.7653,0.0472,2740.42,44,cured_maturation_line
2025-02-23,RM_PREMIUM_IBERIAN_E,36.216,16.267,7.03,8.21,0.8716,0.0158,2905.72,30,premium_batch_line
