date,raw_material_id,current_inventory_tons,expected_requirement_tons,lead_time_days,safety_coverage_days,expected_yield_rate,expected_waste_rate,unit_purchase_cost,shelf_life_days,destination_profile
2025-01-05,RM_BEEF_TRIM_A,58.0,22.0,5.0,10.0,0.89,0.02,3.80,28,cooked_standard_line
2025-01-05,RM_PORK_SHOULDER_B,31.0,24.0,4.0,7.0,0.86,0.03,2.90,14,fresh_short_shelf_life
2025-01-12,RM_BEEF_TRIM_A,41.0,23.0,5.0,10.0,0.89,0.02,3.82,28,cooked_standard_line
2025-01-12,RM_PORK_SHOULDER_B,28.0,25.0,4.0,7.0,0.86,0.03,2.92,14,fresh_short_shelf_life
2025-01-19,RM_BEEF_TRIM_A,63.0,21.0,5.0,10.0,0.90,0.02,3.85,28,cooked_standard_line
2025-01-19,RM_PORK_SHOULDER_B,24.0,26.0,4.0,7.0,0.85,0.03,2.95,14,fresh_short_shelf_life
2025-01-26,RM_BEEF_TRIM_A,36.0,24.0,6.0,11.0,0.88,0.02,3.88,28,cooked_standard_line
2025-01-26,RM_PORK_SHOULDER_B,38.0,22.0,4.0,6.0,0.87,0.02,2.97,14,fresh_short_shelf_life
2025-02-02,RM_BEEF_TRIM_A,33.0,25.0,6.0,11.0,0.88,0.03,3.90,28,cooked_standard_line
2025-02-02,RM_PORK_SHOULDER_B,27.0,24.0,4.0,6.0,0.87,0.03,2.99,14,fresh_short_shelf_life
2025-02-09,RM_BEEF_TRIM_A,55.0,22.0,5.0,10.0,0.89,0.02,3.91,28,cooked_standard_line
2025-02-09,RM_PORK_SHOULDER_B,21.0,27.0,5.0,7.0,0.85,0.03,3.01,14,fresh_short_shelf_life
2025-02-16,RM_BEEF_TRIM_A,29.0,26.0,6.0,11.0,0.88,0.03,3.94,28,cooked_standard_line
2025-02-16,RM_PORK_SHOULDER_B,35.0,23.0,4.0,6.0,0.87,0.02,3.03,14,fresh_short_shelf_life
2025-02-23,RM_BEEF_TRIM_A,60.0,23.0,5.0,10.0,0.90,0.02,3.95,28,cooked_standard_line
2025-02-23,RM_PORK_SHOULDER_B,26.0,26.0,5.0,7.0,0.85,0.03,3.05,14,fresh_short_shelf_life
2025-03-02,RM_BEEF_TRIM_A,35.0,24.0,6.0,11.0,0.88,0.03,3.97,28,cooked_standard_line
2025-03-02,RM_PORK_SHOULDER_B,20.0,28.0,5.0,7.0,0.84,0.03,3.08,14,fresh_short_shelf_life
2025-03-09,RM_BEEF_TRIM_A,52.0,22.0,5.0,10.0,0.89,0.02,3.99,28,cooked_standard_line
2025-03-09,RM_PORK_SHOULDER_B,37.0,22.0,4.0,6.0,0.87,0.02,3.10,14,fresh_short_shelf_life
