date,value
2003-12-29,100.0
2004-01-05,100.0
2004-01-12,100.0
2004-01-19,100.0
2004-01-26,100.0
2004-02-02,100.0
2004-02-09,100.0
2004-02-16,100.0
2004-02-23,100.0
2004-03-01,100.0
2004-03-08,100.0
2004-03-15,100.0
2004-03-22,100.0
2004-03-29,100.0
2004-04-05,100.0
2004-04-12,100.0
2004-04-19,100.0
2004-04-26,100.0
2004-05-03,100.0
2004-05-10,100.0
2004-05-17,100.0
2004-05-24,100.0
2004-05-31,100.0
2004-06-07,100.0
2004-06-14,100.0
2004-06-21,100.0
2004-06-28,100.0
2004-07-05,100.0
2004-07-12,100.0
2004-07-19,100.0
2004-07-26,100.0
2004-08-02,100.0
2004-08-09,100.0
2004-08-16,100.0
2004-08-23,100.0
2004-08-30,100.0
2004-09-06,100.0
2004-09-13,100.0
2004-09-20,100.0
2004-09-27,100.0
2004-10-04,100.0
2004-10-11,100.0
2004-10-18,100.0
2004-10-25,100.0
2004-11-01,100.0
2004-11-08,100.0
2004-11-15,100.0
2004-11-22,100.0
2004-11-29,100.0
2004-12-06,100.0
2004-12-13,100.0
2004-12-20,100.0
2004-12-27,100.0
2005-01-03,100.0
2005-01-10,100.0
2005-01-17,100.0
2005-01-24,100.0
2005-01-31,100.0
2005-02-07,100.0
2005-02-14,100.0
2005-02-21,100.0
2005-02-28,100.0
2005-03-07,100.0
2005-03-14,100.0
2005-03-21,100.0
2005-03-28,100.0
2005-04-04,100.0
2005-04-11,100.0
2005-04-18,100.0
2005-04-25,100.0
2005-05-02,100.0
2005-05-09,100.0
2005-05-16,100.0
2005-05-23,100.0
2005-05-30,100.0
2005-06-06,100.0
2005-06-13,100.0
2005-06-20,100.0
2005-06-27,100.0
2005-07-04,100.0
2005-07-11,100.0
2005-07-18,100.0
2005-07-25,100.0
2005-08-01,100.0
2005-08-08,100.0
2005-08-15,100.0
2005-08-22,100.0
2005-08-29,100.0
2005-09-05,100.0
2005-09-12,100.0
2005-09-19,100.0
2005-09-26,100.0
2005-10-03,100.0
2005-10-10,100.0
2005-10-17,100.0
2005-10-24,100.0
2005-10-31,100.0
2005-11-07,100.0
2005-11-14,100.0
2005-11-21,100.0
2005-11-28,100.0
2005-12-05,100.0
2005-12-12,100.0
2005-12-19,100.0
2005-12-26,100.0
2006-01-02,100.0
2006-01-09,100.0
2006-01-16,100.0
2006-01-23,100.0
2006-01-30,100.0
2006-02-06,100.0
2006-02-13,100.0
2006-02-20,100.0
2006-02-27,100.0
2006-03-06,100.0
2006-03-13,100.0
2006-03-20,100.0
2006-03-27,100.0
2006-04-03,100.0
2006-04-10,100.0
2006-04-17,100.0
2006-04-24,100.0
2006-05-01,100.0
2006-05-08,100.0
2006-05-15,100.0
2006-05-22,100.0
2006-05-29,100.0
2006-06-05,100.0
2006-06-12,100.0
2006-06-19,100.0
