feature_name,source_column_or_source_group,feature_origin,feature_type,system_layer,temporal_relation_to_target,output_role,allowed_model_input,official_baseline_status,included_in_minimal_baseline,included_in_extended_baseline,leakage_risk,present_in_loaded_dataset,justification,notes
date_month,date,calendar_derived,derived_temporal,temporal_reference,calendar_at_t,input_or_diagnostic,yes,keep_minimal,yes,yes,low,yes,Included in the official minimal baseline feature set.,
date_week_of_year,date,calendar_derived,derived_temporal,temporal_reference,calendar_at_t,input_or_diagnostic,yes,keep_minimal,yes,yes,low,yes,Included in the official minimal baseline feature set.,
date_year,date,calendar_derived,derived_temporal,temporal_reference,calendar_at_t,input_or_diagnostic,yes,keep_minimal,yes,yes,low,yes,Included in the official minimal baseline feature set.,
demand_index,demand_index,external_proxy,numerical,external_proxy_upstream,current_t_context,input_or_diagnostic,yes,keep_minimal,yes,yes,low,yes,Included in the official minimal baseline feature set.,
demand_supply_gap,demand_supply,derived_ratio_gap,derived,engineered_feature,current_t_context,input_or_diagnostic,yes,keep_minimal,yes,yes,low,yes,Included in the official minimal baseline feature set.,
supply_index,supply_index,external_proxy,numerical,external_proxy_upstream,current_t_context,input_or_diagnostic,yes,keep_minimal,yes,yes,low,yes,Included in the official minimal baseline feature set.,
synthetic_inventory_coverage_days,synthetic_inventory_coverage_days,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,yes,keep_minimal,yes,yes,low,yes,Included in the official minimal baseline feature set.,
synthetic_lead_time_days,synthetic_lead_time_days,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,yes,keep_minimal,yes,yes,low,yes,Included in the official minimal baseline feature set.,
synthetic_plant_capacity_utilization,synthetic_plant_capacity_utilization,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,yes,keep_minimal,yes,yes,low,yes,Included in the official minimal baseline feature set.,
synthetic_raw_material_requirement,synthetic_raw_material_requirement,synthetic_internal,numerical,target_like_diagnostic,current_t_context,input_or_diagnostic,yes,keep_minimal,yes,yes,low,yes,Included in the official minimal baseline feature set.,
synthetic_raw_material_requirement_lag_1,synthetic_raw_material_requirement,autoregressive,derived,target_like_diagnostic,historical_lag,input_or_diagnostic,yes,keep_minimal,yes,yes,low,yes,Included in the official minimal baseline feature set.,
synthetic_raw_material_requirement_roll_mean_4,synthetic_raw_material_requirement,autoregressive,derived,target_like_diagnostic,historical_rolling,input_or_diagnostic,yes,keep_minimal,yes,yes,low,yes,Included in the official minimal baseline feature set.,
synthetic_waste_rate,synthetic_waste_rate,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,yes,keep_minimal,yes,yes,low,yes,Included in the official minimal baseline feature set.,
synthetic_yield_rate,synthetic_yield_rate,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,yes,keep_minimal,yes,yes,low,yes,Included in the official minimal baseline feature set.,
demand_index_lag_1,demand_index,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
demand_index_lag_4,demand_index,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
demand_index_roll_mean_4,demand_index,autoregressive,derived,external_proxy_upstream,historical_rolling,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
expected_waste,expected_waste,manufacturing_context,numerical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
expected_yield,expected_yield,manufacturing_context,numerical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
process_lead_time_days,process_lead_time_days,manufacturing_context,numerical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
product_family__cooked_emulsion,product_family,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
product_family__cured_embutido,product_family,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
product_family__fresh_preparation,product_family,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
shelf_life_class__long,shelf_life_class,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
shelf_life_class__medium,shelf_life_class,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
shelf_life_class__short,shelf_life_class,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
supply_index_lag_1,supply_index,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
supply_index_roll_mean_4,supply_index,autoregressive,derived,external_proxy_upstream,historical_rolling,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
synthetic_inventory_coverage_days_lag_1,synthetic_inventory_coverage_days,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
synthetic_inventory_coverage_days_roll_mean_4,synthetic_inventory_coverage_days,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
synthetic_lead_time_days_lag_1,synthetic_lead_time_days,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,yes,keep_extended,no,yes,low,yes,Included only in the official extended baseline feature set.,
