date,baseline_order_quantity_tons,cost_sensitivity,current_inventory_tons,demand_index,destination_profile,expected_requirement_tons,expected_waste,expected_waste_rate,expected_yield,expected_yield_rate,formulation_class,lead_time_days,manufacturing_context_profile,priority_level,process_lead_time_days,process_type,product_family,product_family_alias,projected_stock_after_lead_time_tons,purchase_price_index,purchase_trigger_gap_tons,purchase_trigger_label,purchase_trigger_proba_heuristic,quantity_optimizer_target_tons,raw_material_id,recipe_profile,replenishment_gap_tons,safety_coverage_days,safety_stock_tons,shelf_life_class,shelf_life_days,supply_index,synthetic_inventory_coverage_days,synthetic_inventory_level,synthetic_lead_time_days,synthetic_planned_orders,synthetic_plant_capacity_utilization,synthetic_plant_production_volume,synthetic_procurement_need,synthetic_procurement_need_coverage_gap,synthetic_procurement_need_hybrid,synthetic_procurement_need_pressure,synthetic_procurement_need_refined,synthetic_raw_material_requirement,synthetic_waste_rate,synthetic_yield_rate,unit_purchase_cost,date_year,date_month,date_quarter,date_week_of_year,synthetic_raw_material_requirement_lag_1,synthetic_raw_material_requirement_lag_2,synthetic_raw_material_requirement_lag_4,synthetic_raw_material_requirement_lag_8,synthetic_inventory_coverage_days_lag_1,synthetic_inventory_coverage_days_lag_2,synthetic_inventory_coverage_days_lag_4,synthetic_inventory_coverage_days_lag_8,synthetic_lead_time_days_lag_1,synthetic_lead_time_days_lag_2,synthetic_lead_time_days_lag_4,synthetic_lead_time_days_lag_8,synthetic_plant_capacity_utilization_lag_1,synthetic_plant_capacity_utilization_lag_2,synthetic_plant_capacity_utilization_lag_4,synthetic_plant_capacity_utilization_lag_8,synthetic_plant_production_volume_lag_1,synthetic_plant_production_volume_lag_2,synthetic_plant_production_volume_lag_4,synthetic_plant_production_volume_lag_8,synthetic_waste_rate_lag_1,synthetic_waste_rate_lag_2,synthetic_waste_rate_lag_4,synthetic_waste_rate_lag_8,synthetic_yield_rate_lag_1,synthetic_yield_rate_lag_2,synthetic_yield_rate_lag_4,synthetic_yield_rate_lag_8,demand_index_lag_1,demand_index_lag_2,demand_index_lag_4,demand_index_lag_8,supply_index_lag_1,supply_index_lag_2,supply_index_lag_4,supply_index_lag_8,synthetic_raw_material_requirement_roll_mean_4,synthetic_raw_material_requirement_roll_mean_12,synthetic_inventory_coverage_days_roll_mean_4,synthetic_inventory_coverage_days_roll_mean_12,demand_index_roll_mean_4,demand_index_roll_mean_12,supply_index_roll_mean_4,supply_index_roll_mean_12,synthetic_lead_time_days_roll_mean_4,synthetic_lead_time_days_roll_mean_12,synthetic_plant_capacity_utilization_roll_mean_4,synthetic_plant_capacity_utilization_roll_mean_12,synthetic_plant_production_volume_roll_mean_4,synthetic_plant_production_volume_roll_mean_12,synthetic_waste_rate_roll_mean_4,synthetic_waste_rate_roll_mean_12,synthetic_yield_rate_roll_mean_4,synthetic_yield_rate_roll_mean_12,demand_supply_gap,demand_supply_ratio,cost_sensitivity__high,cost_sensitivity__low,cost_sensitivity__medium,destination_profile__cooked_emulsion,destination_profile__cured_embutido,destination_profile__fresh_preparation,formulation_class__cooked_emulsion,formulation_class__cured,formulation_class__fresh_prepared,manufacturing_context_profile__cooked_emulsion,manufacturing_context_profile__cured_embutido,manufacturing_context_profile__fresh_preparation,priority_level__planned_campaign,priority_level__service_critical,priority_level__standard_service,process_type__cooking_emulsification,process_type__curing_maturation,process_type__fresh_forming,product_family__cooked_emulsion,product_family__cured_embutido,product_family__fresh_preparation,product_family_alias__cooked_emulsion,product_family_alias__cured_embutido,product_family_alias__fresh_preparation,raw_material_id__rm_cooked_emulsion,raw_material_id__rm_cured_embutido,raw_material_id__rm_fresh_preparation,recipe_profile__fermented_dry_spiced,recipe_profile__high_throughput_standard,recipe_profile__marinated_short_run,shelf_life_class__long,shelf_life_class__medium,shelf_life_class__short
2004-02-23,0.0,high,2473.138262763277,101.61448140900198,cured_embutido,1197.7613679748158,0.031,0.031,0.79,0.79,cured,9,cured_embutido,planned_campaign,11.0,curing_maturation,cured_embutido,cured_embutido,933.1593610813709,100.0,93.49324003989977,1,0.5227508023644226,0.0,rm_cured_embutido,fermented_dry_spiced,0.0,6.0,1026.6526011212707,long,28.0,,14.45360344908615,2473.138262763277,9,197.9863491205681,0.5708196878042276,913.3115004867642,189.0039370139788,159.58652662024352,189.6546902880767,189.0039370139788,189.6546902880767,1197.7613679748158,0.0327393515133889,0.7874796699589773,1000.0,2004,2,1,9,1322.0755042170229,1262.378766172218,1289.3406113174433,1263.812499304967,13.982842053794927,14.37640672889778,14.482824890608113,13.693404520692996,9.0,9.0,9.0,9.0,0.6315684705398483,0.6013213199882246,0.6139182096727493,0.609375152530996,1010.5095528637572,962.1141119811592,982.2691354763988,975.0002440495934,0.0295077670341145,0.0303767211321005,0.0315536394586616,0.0297110884702345,0.786889576289007,0.7852951987334263,0.7858771318722707,0.7943967662221912,101.61448140900198,101.61448140900198,100.0,100.0,,,,,1243.703666549002,1230.4453029943188,14.354529563123668,14.068180592719289,101.61448140900198,100.71754729288978,,,9.0,9.0,0.5941385451308737,0.5900222927596522,950.621672209398,944.0356684154436,0.0302307492108732,0.0308037533534762,0.7874865303726799,0.7909606174879187,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2004-03-01,0.0,high,2502.765296898197,103.82977992927522,cured_embutido,1236.7981661437425,0.031,0.031,0.79,0.79,cured,9,cured_embutido,planned_campaign,11.0,curing_maturation,cured_embutido,cured_embutido,912.5962261419565,100.0,147.51648769553708,1,0.5347319000196539,0.0,rm_cured_embutido,fermented_dry_spiced,0.0,6.0,1060.1127138374936,long,28.0,,14.16508979222666,2502.765296898197,9,214.1630500528964,0.5877937121366356,940.469939418617,204.4467196991923,203.9959458011858,196.4906057922076,204.4467196991923,196.4906057922076,1236.7981661437425,0.0333563697056343,0.785771380503447,1000.0,2004,3,1,10,1197.7613679748158,1322.0755042170229,1192.5990278319516,1158.497109196384,14.45360344908615,13.982842053794927,14.60526602071581,13.441638704794652,9.0,9.0,9.0,9.0,0.5708196878042276,0.6315684705398483,0.5728447021911943,0.5573063506739991,913.3115004867642,1010.5095528637572,916.551523505911,891.6901610783987,0.0327393515133889,0.0295077670341145,0.0282991571638892,0.0296475066052727,0.7874796699589773,0.786889576289007,0.7902816765093091,0.7925151851744412,101.61448140900198,101.61448140900198,101.61448140900198,100.0,,,,,1254.7534511269498,1231.0805893092613,14.24448550600138,14.077871512670024,102.16830603907027,101.02877055652831,,,9.0,9.0,0.597875797617234,0.5897994346973505,956.6012761875744,943.6790955157608,0.0314950523463095,0.031059014988692,0.7863589563712143,0.7904416937894715,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2004-03-08,0.0,high,2470.489874365328,103.82977992927522,cured_embutido,1271.9822874111762,0.031,0.031,0.79,0.79,cured,9,cured_embutido,planned_campaign,11.0,curing_maturation,cured_embutido,cured_embutido,835.0840762652442,100.0,255.18645580147836,1,0.5582488022480109,0.0,rm_cured_embutido,fermented_dry_spiced,0.0,6.0,1090.2705320667226,long,28.0,,13.595652464433323,2470.489874365328,9,239.5669295168806,0.6046738719064068,967.4781950502507,228.6980544778221,280.1100083027269,198.93901945481,228.6980544778221,198.93901945481,1271.9822874111762,0.0331127711720617,0.7857924509084063,1000.0,2004,3,1,11,1236.7981661437425,1197.7613679748158,1262.378766172218,1173.4459446876365,14.16508979222666,14.45360344908615,14.37640672889778,14.48379076754854,9.0,9.0,9.0,9.0,0.5877937121366356,0.5708196878042276,0.6013213199882246,0.5658471022141813,940.469939418617,913.3115004867642,962.1141119811592,905.3553635426902,0.0333563697056343,0.0327393515133889,0.0303767211321005,0.0327971105602852,0.785771380503447,0.7874796699589773,0.7852951987334263,0.7968397758160484,103.82977992927522,101.61448140900198,101.61448140900198,100.0,,,,,1257.1543314366893,1234.7989255003445,14.049296939885265,14.03403341737578,102.7221306691386,101.28340777223258,,,9.0,9.0,0.5987139355967795,0.5911516562618102,957.9422969548472,945.8426500188964,0.0321790648562998,0.0312457200962711,0.7864832694149594,0.7900190353457384,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2004-03-15,0.0,high,2730.485333806164,103.82977992927522,cured_embutido,1259.71672229094,0.031,0.031,0.79,0.79,cured,9,cured_embutido,planned_campaign,11.0,curing_maturation,cured_embutido,cured_embutido,1110.849548003527,100.0,-31.092357468435694,0,0.4928015739422784,0.0,rm_cured_embutido,fermented_dry_spiced,0.0,6.0,1079.7571905350912,long,28.0,,15.172774162974695,2730.485333806164,9,176.78109619134668,0.6037270910441832,965.9633456706932,168.76074193107246,90.47259612408789,181.5405901381173,168.76074193107246,181.5405901381173,1259.71672229094,0.0294895611611659,0.789422862485919,1000.0,2004,3,1,12,1271.9822874111762,1236.7981661437425,1322.0755042170229,1214.096896246431,13.595652464433323,14.16508979222666,13.982842053794927,13.09384819833462,9.0,9.0,9.0,9.0,0.6046738719064068,0.5877937121366356,0.6315684705398483,0.5871996392214492,967.4781950502507,940.469939418617,1010.5095528637572,939.5194227543188,0.0331127711720617,0.0333563697056343,0.0295077670341145,0.0326014382433393,0.7857924509084063,0.785771380503447,0.786889576289007,0.799070576815597,103.82977992927522,103.82977992927522,101.61448140900198,100.0,,,,,1241.5646359551686,1236.8754085662274,14.346779967180208,14.12892847950902,103.27595529920691,101.49560545198614,,,9.0,9.0,0.5917535907228633,0.5921996091603413,946.8057451565812,947.519374656546,0.0321745133880626,0.0310993735183456,0.7871165909641874,0.7899693542740867,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2004-03-22,0.0,high,2600.28845254567,103.82977992927522,cured_embutido,1314.081075260038,0.031,0.031,0.79,0.79,cured,9,cured_embutido,planned_campaign,11.0,curing_maturation,cured_embutido,cured_embutido,910.75564149705,100.0,215.5995658686968,1,0.5477077936711501,0.0,rm_cured_embutido,fermented_dry_spiced,0.0,6.0,1126.3552073657468,long,28.0,,13.85151914178337,2600.28845254567,9,224.1965450167388,0.628783229153103,1006.0531666449648,214.02500657906853,233.50966508724744,190.4406111672253,214.02500657906853,190.4406111672253,1314.081075260038,0.025520933755421,0.7851331263264544,1000.0,2004,3,1,13,1259.71672229094,1271.9822874111762,1197.7613679748158,1289.3406113174433,15.172774162974695,13.595652464433323,14.45360344908615,14.482824890608113,9.0,9.0,9.0,9.0,0.6037270910441832,0.6046738719064068,0.5708196878042276,0.6139182096727493,965.9633456706932,967.4781950502507,913.3115004867642,982.2691354763988,0.0294895611611659,0.0331127711720617,0.0327393515133889,0.0315536394586616,0.789422862485919,0.7857924509084063,0.7874796699589773,0.7858771318722707,103.82977992927522,103.82977992927522,101.61448140900198,100.0,,,,,1270.6445627764742,1241.0644565624832,14.196258890354512,14.14210469793322,103.82977992927522,101.81475377942574,,,9.0,9.0,0.6062444760600821,0.5938169488788502,969.9911616961314,950.1071182061602,0.0303699089485707,0.0307501939587779,0.7865299550560567,0.7891973842827754,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2004-03-29,0.0,high,2659.61844974277,103.82977992927522,cured_embutido,1281.4810812769936,0.031,0.031,0.79,0.79,cured,9,cured_embutido,planned_campaign,11.0,curing_maturation,cured_embutido,cured_embutido,1011.9999166723494,100.0,86.41243870793073,1,0.519657439783368,0.0,rm_cured_embutido,fermented_dry_spiced,0.0,6.0,1098.4123553802801,long,28.0,,14.527978149819626,2659.61844974277,9,195.60096795046545,0.6184430055770858,989.5088089233373,186.7267778339089,151.81439153197715,187.2143793650904,186.7267778339089,187.2143793650904,1281.4810812769936,0.0274660762037398,0.7933685078365506,1000.0,2004,3,1,14,1314.081075260038,1259.71672229094,1236.7981661437425,1192.5990278319516,13.85151914178337,15.172774162974695,14.16508979222666,14.60526602071581,9.0,9.0,9.0,9.0,0.628783229153103,0.6037270910441832,0.5877937121366356,0.5728447021911943,1006.0531666449648,965.9633456706932,940.469939418617,916.551523505911,0.025520933755421,0.0294895611611659,0.0333563697056343,0.0282991571638892,0.7851331263264544,0.789422862485919,0.785771380503447,0.7902816765093091,103.82977992927522,103.82977992927522,103.82977992927522,101.61448140900198,,,,,1281.815291559787,1251.313120902534,14.286980979752752,14.232632985018634,103.82977992927522,102.13390210686534,,,9.0,9.0,0.6139067994201947,0.5989116701207741,982.2508790723116,958.2586721932385,0.028897335573097,0.0305684080919834,0.7884292368893326,0.7892684945046177,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2004-04-05,83.41401600069716,high,2201.026940781244,103.69760016479556,cured_embutido,1221.3903199743224,0.031,0.031,0.79,0.79,cured,9,cured_embutido,planned_campaign,11.0,curing_maturation,cured_embutido,cured_embutido,630.667957957115,100.0,416.2380305923041,1,0.5981081908495224,87.87523055544371,rm_cured_embutido,fermented_dry_spiced,67.2693677424977,6.0,1046.9059885494191,long,28.0,,12.614467573144529,2201.026940781244,9,264.5434631147851,0.5806094202129052,928.9750723406482,252.5414315789934,323.0644083185947,191.759555261072,252.5414315789934,191.759555261072,1221.3903199743224,0.0338432539561644,0.78632898585033,1000.0,2004,4,2,15,1281.4810812769936,1314.081075260038,1271.9822874111762,1262.378766172218,14.527978149819626,13.85151914178337,13.595652464433323,14.37640672889778,9.0,9.0,9.0,9.0,0.6184430055770858,0.628783229153103,0.6046738719064068,0.6013213199882246,989.5088089233373,1006.0531666449648,967.4781950502507,962.1141119811592,0.0274660762037398,0.025520933755421,0.0331127711720617,0.0303767211321005,0.7933685078365506,0.7851331263264544,0.7857924509084063,0.7852951987334263,103.82977992927522,103.82977992927522,103.82977992927522,101.61448140900198,,,,,1269.1672997005735,1255.308485509758,14.041684756930556,14.076856052151632,103.79673498815532,102.44203545393162,,,9.0,9.0,0.6078906864968193,0.6001418632873344,972.6250983949108,960.226981259735,0.0290799562691227,0.0306555867083067,0.7885633706248135,0.7883925953408079,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2004-04-12,0.0,high,2712.1554219998616,103.69760016479556,cured_embutido,1280.050167033087,0.031,0.031,0.79,0.79,cured,9,cured_embutido,planned_campaign,11.0,curing_maturation,cured_embutido,cured_embutido,1066.376635814464,100.0,30.809221642467946,1,0.5070195940763159,0.0,rm_cured_embutido,fermented_dry_spiced,0.0,6.0,1097.185857456932,long,28.0,,14.831518672430514,2712.1554219998616,9,152.37744522485718,0.6222260772259601,995.5617235615364,145.4642564376575,0.0,149.94488397182604,145.4642564376575,149.94488397182604,1280.050167033087,0.0301974901213603,0.8012382758803857,1000.0,2004,4,2,16,1221.3903199743224,1281.4810812769936,1259.71672229094,1322.0755042170229,12.614467573144529,14.527978149819626,15.172774162974695,13.982842053794927,9.0,9.0,9.0,9.0,0.5806094202129052,0.6184430055770858,0.6037270910441832,0.6315684705398483,928.9750723406482,989.5088089233373,965.9633456706932,1010.5095528637572,0.0338432539561644,0.0274660762037398,0.0294895611611659,0.0295077670341145,0.78632898585033,0.7933685078365506,0.789422862485919,0.786889576289007,103.69760016479556,103.82977992927522,103.82977992927522,101.61448140900198,,,,,1274.2506608861104,1260.8045914086458,13.95637088429451,14.221661924992958,103.7636900470354,102.75016880099793,,,9.0,9.0,0.6125154330422635,0.6030607331210437,980.0246928676216,964.89717299367,0.0292569385091713,0.0304552576981418,0.79151722397343,0.7885732369295403,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2004-04-19,0.0,high,2683.229898020153,103.69760016479556,cured_embutido,1256.6228673741666,0.031,0.031,0.79,0.79,cured,9,cured_embutido,planned_campaign,11.0,curing_maturation,cured_embutido,cured_embutido,1067.5719256819389,100.0,9.53338921020395,1,0.5022127193233785,0.0,rm_cured_embutido,fermented_dry_spiced,0.0,6.0,1077.1053148921428,long,28.0,,14.946894389554704,2683.229898020153,9,115.30924540600893,0.601301954479947,962.0831271679152,110.0777980535156,0.0,105.90143464203896,110.0777980535156,105.90143464203896,1256.6228673741666,0.0294985507634697,0.7881944621961424,1000.0,2004,4,2,17,1280.050167033087,1221.3903199743224,1314.081075260038,1197.7613679748158,14.831518672430514,12.614467573144529,13.85151914178337,14.45360344908615,9.0,9.0,9.0,9.0,0.6222260772259601,0.5806094202129052,0.628783229153103,0.5708196878042276,995.5617235615364,928.9750723406482,1006.0531666449648,913.3115004867642,0.0301974901213603,0.0338432539561644,0.025520933755421,0.0327393515133889,0.8012382758803857,0.78632898585033,0.7851331263264544,0.7874796699589773,103.69760016479556,103.69760016479556,103.82977992927522,101.61448140900198,,,,,1259.8861089146424,1258.0781127467062,14.230214696237343,14.260334383238508,103.73064510591549,103.05830214806424,,,9.0,9.0,0.6056451143739745,0.6020093785216435,969.0321829983592,963.2150056346296,0.0302513427611835,0.0302840003068758,0.7922825579408521,0.788766347789863,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2004-04-26,0.0,high,2671.38277252293,103.69760016479556,cured_embutido,1327.768740505659,0.031,0.031,0.79,0.79,cured,9,cured_embutido,planned_campaign,11.0,curing_maturation,cured_embutido,cured_embutido,964.2515347299397,100.0,173.83595713205364,1,0.5381119133420564,0.0,rm_cured_embutido,fermented_dry_spiced,0.0,6.0,1138.0874918619934,long,28.0,,14.08353641503794,2671.38277252293,9,91.94945974971286,0.6340850628981162,1014.5361006369858,87.77781890619589,0.0,32.81072211014915,87.77781890619589,32.81072211014915,1327.768740505659,0.0342853205868724,0.7902880705676683,1000.0,2004,4,2,18,1256.6228673741666,1280.050167033087,1281.4810812769936,1236.7981661437425,14.946894389554704,14.831518672430514,14.527978149819626,14.16508979222666,9.0,9.0,9.0,9.0,0.601301954479947,0.6222260772259601,0.6184430055770858,0.5877937121366356,962.0831271679152,995.5617235615364,989.5088089233373,940.469939418617,0.0294985507634697,0.0301974901213603,0.0274660762037398,0.0333563697056343,0.7881944621961424,0.8012382758803857,0.7933685078365506,0.785771380503447,103.69760016479556,103.69760016479556,103.82977992927522,103.82977992927522,,,,,1271.4580237218088,1269.3422554695153,14.11910426254192,14.216856916098685,103.69760016479556,103.23189537771368,,,9.0,9.0,0.6095556287042322,0.607112741913887,975.2890059267714,971.3803870622193,0.0319561538569667,0.0307828472587911,0.7915124486236316,0.7887668806280596,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
