date,supply_index,purchase_price_index,demand_index,manufacturing_context_profile,product_family,process_type,recipe_profile,formulation_class,expected_yield,expected_waste,process_lead_time_days,shelf_life_class,priority_level,cost_sensitivity,synthetic_plant_production_volume,synthetic_plant_capacity_utilization,synthetic_yield_rate,synthetic_waste_rate,synthetic_raw_material_requirement,synthetic_inventory_coverage_days,synthetic_inventory_level,synthetic_lead_time_days,synthetic_procurement_need_pressure,synthetic_procurement_need_coverage_gap,synthetic_procurement_need_hybrid,synthetic_procurement_need_refined,synthetic_procurement_need,synthetic_planned_orders,destination_profile,product_family_alias,raw_material_id,current_inventory_tons,expected_requirement_tons,lead_time_days,safety_coverage_days,expected_yield_rate,expected_waste_rate,unit_purchase_cost,shelf_life_days,projected_stock_after_lead_time_tons,safety_stock_tons,purchase_trigger_gap_tons,purchase_trigger_label,purchase_trigger_proba_heuristic,replenishment_gap_tons,quantity_optimizer_target_tons,baseline_order_quantity_tons
2003-12-29,,100.0,100.0,cured_embutido,cured_embutido,curing_maturation,fermented_dry_spiced,cured,0.79,0.031,11.0,long,planned_campaign,high,975.0002440495934,0.609375152530996,0.7943967662221912,0.0297110884702345,1263.812499304967,13.693404520692996,2472.2708273272788,9,214.86624080150028,275.9390988008357,185.6461747476992,185.6461747476992,214.86624080150028,225.0777588955916,cured_embutido,cured_embutido,rm_cured_embutido,2472.2708273272788,1263.812499304967,9,6.0,0.79,0.031,1000.0,28.0,847.3690425066068,1083.2678565471147,235.8988140405079,1,0.5542273500691901,0.0,0.0,0.0
2004-01-05,,100.0,100.0,cured_embutido,cured_embutido,curing_maturation,fermented_dry_spiced,cured,0.79,0.031,11.0,long,planned_campaign,high,891.6901610783987,0.5573063506739991,0.7925151851744412,0.0296475066052727,1158.497109196384,13.441638704794652,2224.5856546238333,9,226.8402819379482,308.79012512967773,195.9689803045177,195.9689803045177,226.8402819379482,237.6208663370492,cured_embutido,cured_embutido,rm_cured_embutido,2224.5856546238333,1158.497109196384,9,6.0,0.79,0.031,1000.0,28.0,735.0893713713397,992.997522168329,257.9081507969894,1,0.5645691522956326,0.0,0.0,0.0
2004-01-12,,100.0,100.0,cured_embutido,cured_embutido,curing_maturation,fermented_dry_spiced,cured,0.79,0.031,11.0,long,planned_campaign,high,905.3553635426902,0.5658471022141813,0.7968397758160484,0.0327971105602852,1173.4459446876365,14.48379076754854,2427.9922199834373,9,192.52613200556044,192.83512218677643,193.5429740452448,193.5429740452448,192.52613200556044,201.6759364291247,cured_embutido,cured_embutido,rm_cured_embutido,2427.9922199834373,1173.4459446876365,9,6.0,0.79,0.031,1000.0,28.0,919.2760053850475,1005.8108097322599,86.53480434721246,1,0.5214954605390892,0.0,0.0,0.0
2004-01-19,,100.0,100.0,cured_embutido,cured_embutido,curing_maturation,fermented_dry_spiced,cured,0.79,0.031,11.0,long,planned_campaign,high,939.5194227543188,0.5871996392214492,0.799070576815597,0.0326014382433393,1214.096896246431,13.09384819833462,2271.028636788569,9,251.4872946280455,366.2578146988365,208.88472709554236,208.88472709554236,251.4872946280455,263.4392283052434,cured_embutido,cured_embutido,rm_cured_embutido,2271.028636788569,1214.096896246431,9,6.0,0.79,0.031,1000.0,28.0,710.0469130431579,1040.6544824969408,330.60756945378284,1,0.5787616640559818,0.0,0.0,0.0
2004-01-26,,100.0,100.0,cured_embutido,cured_embutido,curing_maturation,fermented_dry_spiced,cured,0.79,0.031,11.0,long,planned_campaign,high,982.2691354763988,0.6139182096727493,0.7858771318722707,0.0315536394586616,1289.3406113174433,14.482824890608113,2667.613471151449,9,193.66773880124703,190.7818995659136,193.2335090210496,193.2335090210496,193.66773880124703,202.87179808777637,cured_embutido,cured_embutido,rm_cured_embutido,2667.613471151449,1289.3406113174433,9,6.0,0.79,0.031,1000.0,28.0,1009.8898280290223,1105.1490954149515,95.2592673859292,1,0.5215356308911678,0.0,0.0,0.0
2004-02-02,,100.0,101.61448140900198,cured_embutido,cured_embutido,curing_maturation,fermented_dry_spiced,cured,0.79,0.031,11.0,long,planned_campaign,high,916.551523505911,0.5728447021911943,0.7902816765093091,0.0282991571638892,1192.5990278319516,14.60526602071581,2488.3180082189588,9,189.0361754653193,166.49957124097543,192.64303688075043,192.64303688075043,189.0361754653193,198.0201197043086,cured_embutido,cured_embutido,rm_cured_embutido,2488.3180082189588,1192.5990278319516,9,6.0,0.79,0.031,1000.0,28.0,954.9764010064496,1022.2277381416728,67.25133713522325,1,0.5164413194655342,0.0,0.0,0.0
2004-02-09,,100.0,101.61448140900198,cured_embutido,cured_embutido,curing_maturation,fermented_dry_spiced,cured,0.79,0.031,11.0,long,planned_campaign,high,962.1141119811592,0.6013213199882246,0.7852951987334263,0.0303767211321005,1262.378766172218,14.37640672889778,2592.638655487993,9,196.36560592711987,185.44336237630867,194.64690759855097,194.64690759855097,196.36560592711987,205.69788134880625,cured_embutido,cured_embutido,rm_cured_embutido,2592.638655487993,1262.378766172218,9,6.0,0.79,0.031,1000.0,28.0,969.5802418379985,1082.0389424333298,112.45870059533127,1,0.5259596893277037,0.0,0.0,0.0
2004-02-16,,100.0,101.61448140900198,cured_embutido,cured_embutido,curing_maturation,fermented_dry_spiced,cured,0.79,0.031,11.0,long,planned_campaign,high,1010.5095528637572,0.6315684705398483,0.786889576289007,0.0295077670341145,1322.0755042170229,13.982842053794927,2640.910422665417,9,202.62441695232013,204.40315962898708,182.6094755167714,182.6094755167714,202.62441695232013,212.25414236797917,cured_embutido,cured_embutido,rm_cured_embutido,2640.910422665417,1322.0755042170229,9,6.0,0.79,0.031,1000.0,28.0,941.0990601006736,1133.2075750431625,192.1085149424889,1,0.542280370979681,0.0,0.0,0.0
2004-02-23,,100.0,101.61448140900198,cured_embutido,cured_embutido,curing_maturation,fermented_dry_spiced,cured,0.79,0.031,11.0,long,planned_campaign,high,913.3115004867642,0.5708196878042276,0.7874796699589773,0.0327393515133889,1197.7613679748158,14.45360344908615,2473.138262763277,9,189.0039370139788,159.58652662024352,189.6546902880767,189.6546902880767,189.0039370139788,197.98634912056812,cured_embutido,cured_embutido,rm_cured_embutido,2473.138262763277,1197.7613679748158,9,6.0,0.79,0.031,1000.0,28.0,933.1593610813709,1026.6526011212707,93.49324003989977,1,0.5227508023644226,0.0,0.0,0.0
2004-03-01,,100.0,103.82977992927522,cured_embutido,cured_embutido,curing_maturation,fermented_dry_spiced,cured,0.79,0.031,11.0,long,planned_campaign,high,940.469939418617,0.5877937121366356,0.785771380503447,0.0333563697056343,1236.7981661437425,14.16508979222666,2502.765296898197,9,204.4467196991923,203.9959458011858,196.4906057922076,196.4906057922076,204.4467196991923,214.1630500528964,cured_embutido,cured_embutido,rm_cured_embutido,2502.765296898197,1236.7981661437425,9,6.0,0.79,0.031,1000.0,28.0,912.5962261419565,1060.1127138374936,147.51648769553708,1,0.5347319000196539,0.0,0.0,0.0
