date,supply_index,purchase_price_index,demand_index
2003-12-29,,100.0,
2004-01-05,,100.0,100.0
2004-01-12,,100.0,100.0
2004-01-19,,100.0,100.0
2004-01-26,,100.0,100.0
2004-02-02,,100.0,101.61448140900198
2004-02-09,,100.0,101.61448140900198
2004-02-16,,100.0,101.61448140900198
2004-02-23,,100.0,101.61448140900198
2004-03-01,,100.0,103.82977992927522
2004-03-08,,100.0,103.82977992927522
2004-03-15,,100.0,103.82977992927522
2004-03-22,,100.0,103.82977992927522
2004-03-29,,100.0,103.82977992927522
2004-04-05,,100.0,103.69760016479557
2004-04-12,,100.0,103.69760016479557
2004-04-19,,100.0,103.69760016479557
2004-04-26,,100.0,103.69760016479557
2004-05-03,,100.0,104.57307652693378
2004-05-10,,100.0,104.57307652693378
2004-05-17,,100.0,104.57307652693378
2004-05-24,,100.0,104.57307652693378
2004-05-31,,100.0,104.57307652693378
2004-06-07,,100.0,108.22003639235074
2004-06-14,,100.0,108.22003639235074
2004-06-21,,100.0,108.22003639235074
2004-06-28,,100.0,108.22003639235074
2004-07-05,,100.0,109.24657534246576
2004-07-12,,100.0,109.24657534246576
2004-07-19,,100.0,109.24657534246576
2004-07-26,,100.0,109.24657534246576
2004-08-02,,100.0,108.75390531122326
2004-08-09,,100.0,108.75390531122326
2004-08-16,,100.0,108.75390531122326
2004-08-23,,100.0,108.75390531122326
2004-08-30,,100.0,108.75390531122326
2004-09-06,,100.0,109.57444982318812
2004-09-13,,100.0,109.57444982318812
2004-09-20,,100.0,109.57444982318812
2004-09-27,,100.0,109.57444982318812
2004-10-04,,100.0,106.97891990249595
2004-10-11,,100.0,106.97891990249595
2004-10-18,,100.0,106.97891990249595
2004-10-25,,100.0,106.97891990249595
2004-11-01,,100.0,108.78480447694578
2004-11-08,,100.0,108.78480447694578
2004-11-15,,100.0,108.78480447694578
2004-11-22,,100.0,108.78480447694578
2004-11-29,,100.0,108.78480447694578
2004-12-06,,100.0,109.66628901019672
2004-12-13,,100.0,109.66628901019672
