date,source,dataset,subseries,value,unit,notes
2003-12-29,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-01-01,INE,CPI,01.1.2.3,60.738,index,table_id=76128
2004-01-01,INE,CPI,01.1.2.3,-0.2,index,table_id=76128
2004-01-01,INE,CPI,01.1.2.3,0.4,index,table_id=76128
2004-01-01,INE,CPI,01.1.2.3,-0.2,index,table_id=76128
2004-01-01,INE,CPI,01.1.2.5,57.17,index,table_id=76128
2004-01-01,INE,CPI,01.1.2.5,-0.7,index,table_id=76128
2004-01-01,INE,CPI,01.1.2.5,0.0,index,table_id=76128
2004-01-01,INE,CPI,01.1.2.5,-0.7,index,table_id=76128
2004-01-05,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-01-12,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-01-19,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-01-26,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-02-01,INE,CPI,01.1.2.3,60.771,index,table_id=76128
2004-02-01,INE,CPI,01.1.2.3,0.1,index,table_id=76128
2004-02-01,INE,CPI,01.1.2.3,0.2,index,table_id=76128
2004-02-01,INE,CPI,01.1.2.3,-0.1,index,table_id=76128
2004-02-01,INE,CPI,01.1.2.5,57.218,index,table_id=76128
2004-02-01,INE,CPI,01.1.2.5,0.1,index,table_id=76128
2004-02-01,INE,CPI,01.1.2.5,0.7,index,table_id=76128
2004-02-01,INE,CPI,01.1.2.5,-0.6,index,table_id=76128
2004-02-02,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-02-09,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-02-16,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-02-23,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-03-01,INE,CPI,01.1.2.3,60.964,index,table_id=76128
2004-03-01,INE,CPI,01.1.2.3,0.3,index,table_id=76128
2004-03-01,INE,CPI,01.1.2.3,0.4,index,table_id=76128
2004-03-01,INE,CPI,01.1.2.3,0.2,index,table_id=76128
2004-03-01,INE,CPI,01.1.2.5,57.506,index,table_id=76128
2004-03-01,INE,CPI,01.1.2.5,0.5,index,table_id=76128
2004-03-01,INE,CPI,01.1.2.5,1.2,index,table_id=76128
2004-03-01,INE,CPI,01.1.2.5,-0.1,index,table_id=76128
2004-03-01,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-03-08,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-03-15,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-03-22,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-03-29,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-04-01,INE,CPI,01.1.2.3,61.091,index,table_id=76128
2004-04-01,INE,CPI,01.1.2.3,0.2,index,table_id=76128
2004-04-01,INE,CPI,01.1.2.3,0.7,index,table_id=76128
2004-04-01,INE,CPI,01.1.2.3,0.4,index,table_id=76128
2004-04-01,INE,CPI,01.1.2.5,57.525,index,table_id=76128
2004-04-01,INE,CPI,01.1.2.5,0.0,index,table_id=76128
2004-04-01,INE,CPI,01.1.2.5,1.0,index,table_id=76128
2004-04-01,INE,CPI,01.1.2.5,-0.1,index,table_id=76128
2004-04-05,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-04-12,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-04-19,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-04-26,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-05-01,INE,CPI,01.1.2.3,61.021,index,table_id=76128
2004-05-01,INE,CPI,01.1.2.3,-0.1,index,table_id=76128
2004-05-01,INE,CPI,01.1.2.3,0.6,index,table_id=76128
2004-05-01,INE,CPI,01.1.2.3,0.3,index,table_id=76128
2004-05-01,INE,CPI,01.1.2.5,57.815,index,table_id=76128
2004-05-01,INE,CPI,01.1.2.5,0.5,index,table_id=76128
2004-05-01,INE,CPI,01.1.2.5,1.3,index,table_id=76128
2004-05-01,INE,CPI,01.1.2.5,0.4,index,table_id=76128
2004-05-03,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-05-10,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-05-17,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-05-24,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-05-31,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-06-01,INE,CPI,01.1.2.3,61.459,index,table_id=76128
2004-06-01,INE,CPI,01.1.2.3,0.7,index,table_id=76128
2004-06-01,INE,CPI,01.1.2.3,1.2,index,table_id=76128
2004-06-01,INE,CPI,01.1.2.3,1.0,index,table_id=76128
2004-06-01,INE,CPI,01.1.2.5,58.126,index,table_id=76128
2004-06-01,INE,CPI,01.1.2.5,0.5,index,table_id=76128
2004-06-01,INE,CPI,01.1.2.5,2.1,index,table_id=76128
2004-06-01,INE,CPI,01.1.2.5,1.0,index,table_id=76128
2004-06-07,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
2004-06-14,MAPA,PRICES_OM,fallback_constant,100.0,index,fallback_no_prices_extracted
