feature,importance,coefficient
synthetic_inventory_coverage_days,82.4453839095987,-82.4453839095987
synthetic_inventory_coverage_days_roll_mean_4,62.1540429144998,-62.1540429144998
demand_index_lag_4,56.412846740878585,56.412846740878585
demand_index_roll_mean_4,45.298149768687516,-45.298149768687516
synthetic_lead_time_days,43.74798954559992,43.74798954559992
synthetic_raw_material_requirement_roll_mean_12,42.04692459676653,-42.04692459676653
synthetic_raw_material_requirement,35.44878193451068,35.44878193451068
synthetic_raw_material_requirement_lag_1,29.626408510397614,29.626408510397614
synthetic_raw_material_requirement_roll_mean_4,19.994762988256763,-19.994762988256763
shelf_life_class__short,19.025769193706914,-19.025769193706914
product_family__fresh_preparation,19.02576919370689,-19.02576919370689
process_lead_time_days,18.070445411245043,18.070445411245043
shelf_life_class__long,17.12205544349951,17.12205544349951
product_family__cured_embutido,17.122055443499487,17.122055443499487
synthetic_plant_production_volume_lag_1,16.713474344097488,-16.713474344097488
synthetic_plant_capacity_utilization_lag_1,16.713474344097442,-16.713474344097442
synthetic_plant_production_volume,15.234899388137302,-15.234899388137302
synthetic_plant_capacity_utilization,15.234899388137249,-15.234899388137249
demand_index,13.186208484383178,13.186208484383178
demand_supply_gap,13.186208484383139,13.186208484383139
synthetic_yield_rate,12.928796162033196,12.928796162033196
expected_yield,12.073731883121873,-12.073731883121873
synthetic_lead_time_days_lag_1,6.874501377440102,-6.874501377440102
expected_waste,6.602726994842213,6.602726994842213
synthetic_raw_material_requirement_lag_2,5.5029562168024295,5.5029562168024295
date_week_of_year,5.489540888171465,5.489540888171465
synthetic_raw_material_requirement_lag_4,4.134485282101989,-4.134485282101989
synthetic_waste_rate,2.611842333107744,-2.611842333107744
demand_index_lag_1,2.3610727511196536,2.3610727511196536
shelf_life_class__medium,2.056413010651644,2.056413010651644
product_family__cooked_emulsion,2.0564130106515432,2.0564130106515432
synthetic_yield_rate_lag_1,1.9594460981882513,1.9594460981882513
synthetic_inventory_coverage_days_lag_1,0.9360652274872806,0.9360652274872806
date_year,0.5543248000148951,-0.5543248000148951
synthetic_waste_rate_lag_1,0.30231040332474474,0.30231040332474474
date_month,0.2997261270163545,0.2997261270163545
synthetic_raw_material_requirement_lag_8,0.16297798705319694,0.16297798705319694
supply_index,8.881784197001252e-16,-8.881784197001252e-16
supply_index_lag_1,0.0,0.0
supply_index_roll_mean_4,0.0,0.0
