feature_name,feature_origin,feature_type,system_layer,temporal_relation_to_target,output_role,allowed_model_input,leakage_risk
date_month,calendar_derived,derived_temporal,temporal_reference,calendar_at_t,input_or_diagnostic,yes,low
date_week_of_year,calendar_derived,derived_temporal,temporal_reference,calendar_at_t,input_or_diagnostic,yes,low
date_year,calendar_derived,derived_temporal,temporal_reference,calendar_at_t,input_or_diagnostic,yes,low
demand_index,external_proxy,numerical,external_proxy_upstream,current_t_context,input_or_diagnostic,yes,low
demand_supply_gap,derived_ratio_gap,derived,engineered_feature,current_t_context,input_or_diagnostic,yes,low
supply_index,external_proxy,numerical,external_proxy_upstream,current_t_context,input_or_diagnostic,yes,low
synthetic_inventory_coverage_days,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,yes,low
synthetic_lead_time_days,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,yes,low
synthetic_plant_capacity_utilization,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,yes,low
synthetic_raw_material_requirement,synthetic_internal,numerical,target_like_diagnostic,current_t_context,input_or_diagnostic,yes,low
synthetic_raw_material_requirement_lag_1,autoregressive,derived,target_like_diagnostic,historical_lag,input_or_diagnostic,yes,low
synthetic_raw_material_requirement_roll_mean_4,autoregressive,derived,target_like_diagnostic,historical_rolling,input_or_diagnostic,yes,low
synthetic_waste_rate,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,yes,low
synthetic_yield_rate,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,yes,low
demand_index_lag_1,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,yes,low
demand_index_lag_4,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,yes,low
demand_index_roll_mean_4,autoregressive,derived,external_proxy_upstream,historical_rolling,input_or_diagnostic,yes,low
expected_waste,manufacturing_context,numerical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,low
expected_yield,manufacturing_context,numerical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,low
process_lead_time_days,manufacturing_context,numerical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,low
product_family__cooked_emulsion,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,low
product_family__cured_embutido,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,low
product_family__fresh_preparation,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,low
shelf_life_class__long,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,low
shelf_life_class__medium,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,low
shelf_life_class__short,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,yes,low
supply_index_lag_1,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,yes,low
supply_index_roll_mean_4,autoregressive,derived,external_proxy_upstream,historical_rolling,input_or_diagnostic,yes,low
synthetic_inventory_coverage_days_lag_1,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,yes,low
synthetic_inventory_coverage_days_roll_mean_4,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,yes,low
synthetic_lead_time_days_lag_1,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,yes,low
synthetic_plant_capacity_utilization_lag_1,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,yes,low
synthetic_plant_production_volume,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,yes,low
synthetic_plant_production_volume_lag_1,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,yes,low
synthetic_raw_material_requirement_lag_2,autoregressive,derived,target_like_diagnostic,historical_lag,input_or_diagnostic,yes,low
synthetic_raw_material_requirement_lag_4,autoregressive,derived,target_like_diagnostic,historical_lag,input_or_diagnostic,yes,low
synthetic_raw_material_requirement_lag_8,autoregressive,derived,target_like_diagnostic,historical_lag,input_or_diagnostic,yes,low
synthetic_raw_material_requirement_roll_mean_12,autoregressive,derived,target_like_diagnostic,historical_rolling,input_or_diagnostic,yes,low
