stage,feature_name
upstream_predictor,date_month
upstream_predictor,date_week_of_year
upstream_predictor,date_year
upstream_predictor,demand_index
upstream_predictor,demand_index_lag_1
upstream_predictor,demand_index_lag_4
upstream_predictor,demand_index_roll_mean_4
upstream_predictor,demand_supply_gap
upstream_predictor,expected_waste
upstream_predictor,expected_yield
upstream_predictor,process_lead_time_days
upstream_predictor,product_family__cooked_emulsion
upstream_predictor,product_family__cured_embutido
upstream_predictor,product_family__fresh_preparation
upstream_predictor,shelf_life_class__long
upstream_predictor,shelf_life_class__medium
upstream_predictor,shelf_life_class__short
upstream_predictor,supply_index
upstream_predictor,supply_index_lag_1
upstream_predictor,supply_index_roll_mean_4
upstream_predictor,synthetic_inventory_coverage_days
upstream_predictor,synthetic_inventory_coverage_days_lag_1
upstream_predictor,synthetic_inventory_coverage_days_roll_mean_4
upstream_predictor,synthetic_lead_time_days
upstream_predictor,synthetic_lead_time_days_lag_1
upstream_predictor,synthetic_plant_capacity_utilization
upstream_predictor,synthetic_plant_capacity_utilization_lag_1
upstream_predictor,synthetic_plant_production_volume
upstream_predictor,synthetic_plant_production_volume_lag_1
upstream_predictor,synthetic_raw_material_requirement
upstream_predictor,synthetic_raw_material_requirement_lag_1
upstream_predictor,synthetic_raw_material_requirement_lag_2
upstream_predictor,synthetic_raw_material_requirement_lag_4
upstream_predictor,synthetic_raw_material_requirement_lag_8
upstream_predictor,synthetic_raw_material_requirement_roll_mean_12
upstream_predictor,synthetic_raw_material_requirement_roll_mean_4
upstream_predictor,synthetic_waste_rate
upstream_predictor,synthetic_waste_rate_lag_1
upstream_predictor,synthetic_yield_rate
upstream_predictor,synthetic_yield_rate_lag_1
purchase_trigger,current_inventory_tons
purchase_trigger,demand_index
purchase_trigger,demand_supply_gap
purchase_trigger,expected_requirement_tons
purchase_trigger,expected_waste_rate
purchase_trigger,expected_yield_rate
purchase_trigger,lead_time_days
purchase_trigger,manufacturing_context_profile__cooked_emulsion
purchase_trigger,manufacturing_context_profile__cured_embutido
purchase_trigger,manufacturing_context_profile__fresh_preparation
purchase_trigger,product_family__cooked_emulsion
purchase_trigger,product_family__cured_embutido
purchase_trigger,product_family__fresh_preparation
purchase_trigger,purchase_price_index
purchase_trigger,recipe_profile__fermented_dry_spiced
purchase_trigger,recipe_profile__high_throughput_standard
purchase_trigger,recipe_profile__marinated_short_run
purchase_trigger,safety_coverage_days
purchase_trigger,shelf_life_class__long
purchase_trigger,shelf_life_class__medium
purchase_trigger,shelf_life_class__short
purchase_trigger,supply_index
quantity_optimizer,current_inventory_tons
quantity_optimizer,demand_index
quantity_optimizer,demand_supply_gap
quantity_optimizer,expected_requirement_tons
quantity_optimizer,expected_waste_rate
quantity_optimizer,expected_yield_rate
quantity_optimizer,lead_time_days
quantity_optimizer,manufacturing_context_profile__cooked_emulsion
quantity_optimizer,manufacturing_context_profile__cured_embutido
quantity_optimizer,manufacturing_context_profile__fresh_preparation
quantity_optimizer,product_family__cooked_emulsion
quantity_optimizer,product_family__cured_embutido
quantity_optimizer,product_family__fresh_preparation
quantity_optimizer,purchase_price_index
quantity_optimizer,purchase_trigger_proba_heuristic
quantity_optimizer,recipe_profile__fermented_dry_spiced
quantity_optimizer,recipe_profile__high_throughput_standard
quantity_optimizer,recipe_profile__marinated_short_run
quantity_optimizer,replenishment_gap_tons
quantity_optimizer,safety_coverage_days
quantity_optimizer,shelf_life_class__long
quantity_optimizer,shelf_life_class__medium
quantity_optimizer,shelf_life_class__short
quantity_optimizer,supply_index
