subproduct_type,season,generated_volume_tons,moisture_pct,process_temperature_c,reuse_strategy,co2_emissions_kg,co2_per_ton
Straw,Dry,55.463770290362966,5.001188570252854,913.4412239891413,Biomass combustion,25303.815763961316,456.22242468355864
Bran,Rainy,14.250060543001373,17.274424066804794,46.92563731496186,Composting,338.72757181785926,23.770254925984744
Bran,Dry,17.87734333747215,17.039919226550268,61.79416812831269,Animal feed,220.943111976665,12.35883362566254
Straw,Dry,45.21760043334652,13.641560753430714,576.1820412934109,Biochar,15632.14159204525,345.7092247760465
Straw,Dry,47.4247656958775,11.51785717957353,721.9954323468099,Biomass combustion,17148.410641509156,361.59188959366475
Straw,Rainy,45.9124566815397,25.653661962689974,48.72390946021444,Composting,1124.3760363866418,24.489563784085778
Silo dust,Dry,3.0993036337965307,4.966313473091284,654.9178922684823,Biochar,202.97894033460722,65.49178922684824
Bran,Dry,15.288977927926096,15.834318057275883,526.9657751345625,Biochar,4834.060862882875,316.1794650807375
Silo dust,Dry,1.858998792753646,5.918316606002313,63.16200076204561,Animal feed,105.67627484809289,56.84580068584105
Silo dust,Rainy,5.1828682551179925,8.867219191813726,70.51521939815578,Composting,172.1027781241428,33.20608775926231
Straw,Dry,48.50414920897015,8.061600779372467,812.8147240375752,Biomass combustion,19708.22186584753,406.3203290287334
Straw,Dry,44.0328193078156,8.208981195709804,502.8325434210282,Biochar,2214.113452654748,50.28325434210283
Husk,Dry,22.762449772085738,7.960724402146638,56.30696327794831,Composting,626.4860182336186,27.522785311179327
Husk,Dry,14.991158607176727,10.304665217483008,910.2707052793005,Biomass combustion,6839.164024273311,456.21317227603697
Silo dust,Rainy,5.767943105093725,11.412306791341184,73.25269051038332,Animal feed,380.26561604303697,65.92742145934498
Bran,Dry,9.70303934765028,16.266039482120906,971.6330574188469,Biomass combustion,4795.102601731592,494.185628845542
Straw,Rainy,43.52837920881637,11.780683823043574,1060.4775748051559,Biomass combustion,23111.304693283608,530.9479726413193
Straw,Rainy,48.04222339349925,13.435259634879953,1033.8395490555201,Biomass combustion,24882.46686132486,517.9291278324098
Silo dust,Rainy,3.4359647261847854,9.478954923411793,728.681018505574,Biomass combustion,1260.2285831042302,366.77576271382696
Husk,Dry,22.51399615483202,7.499362576534012,845.9228674914166,Biomass combustion,9513.626047949112,422.5649672551476
Bran,Rainy,14.350896501332869,21.258849364489166,343.6598354482147,Biochar,2959.0960381094487,206.19590126892885
Husk,Dry,22.79370376305921,6.519906164354458,721.5082419951451,Biomass combustion,8206.218561549247,360.02128688049015
Husk,Rainy,11.573445306190298,18.378480810150563,55.65174238089755,Animal feed,579.6741569755594,50.0865681428078
Husk,Rainy,28.361396180434248,11.92735876314137,69.22932182209408,Animal feed,1767.0962011492732,62.30638963988467
Husk,Rainy,17.232058791460027,19.03310244222932,958.4940879044852,Biomass combustion,8374.48445596014,485.98281594248164
Straw,Rainy,49.02518469768188,24.02034009442442,858.9803630317764,Biomass combustion,21241.285490409133,433.2729314819596
Straw,Rainy,43.454805500957846,12.496103585816575,746.6346930681351,Biomass combustion,16260.779706927298,374.1998041291169
Husk,Rainy,22.466916502057614,20.239837771071567,546.540797443538,Biochar,7367.4518766791725,327.9244784661229
Bran,Rainy,7.220521768981864,22.93514364716299,76.89636997694697,Animal feed,499.7087220368062,69.20673297925228
Silo dust,Rainy,4.506982614891719,10.741152431628484,44.61964292234559,Animal feed,180.98995944031913,40.157678630111036
Bran,Dry,24.732714187573826,17.084993702330625,40.488815251511426,Animal feed,200.27965908182244,8.097763050302285
Bran,Dry,10.875158115337573,13.113213326433922,924.2159794931548,Biomass combustion,5070.469039670922,466.2432477666584
Bran,Rainy,10.396632034603169,24.155023969785475,850.9745560406798,Biomass combustion,4611.067733281116,443.51552675270926
Husk,Rainy,26.245703208455595,10.4307153748037,419.9906038762616,Biochar,6613.769243805841,251.99436232575695
Straw,Rainy,41.44182604109437,24.570047373219495,216.44272758333722,Biochar,5381.869118621183,129.8656365500023
Bran,Dry,11.233508878307212,13.502108281284007,67.893156118546,Animal feed,152.53567440679683,13.5786312237092
Husk,Rainy,21.96658919697186,20.957988619945084,64.25178842274701,Animal feed,1270.2533773079126,57.826609580472315
Bran,Dry,15.777136653714683,16.006973968946692,696.5733955419929,Biochar,6593.960190484843,417.9440373251957
Bran,Dry,10.551269491067156,11.788216985293193,44.63548259509771,Animal feed,94.19220114494271,8.927096519019543
Husk,Dry,20.30014502876006,5.618702855642599,47.113244355506026,Composting,484.0630024206738,23.845297742202412
Straw,Dry,37.688437628190066,7.793266787652253,486.5300993021789,Biochar,1833.655930178729,48.65300993021789
Straw,Dry,38.32427665492786,12.804144294435687,571.833731558538,Biochar,13149.068477321496,343.1002389351228
Silo dust,Rainy,7.3326054944735795,8.122825587485409,627.4212504138021,Biochar,460.0632508133729,62.74212504138021
Husk,Rainy,18.19307116409081,14.780796675103181,55.49898866309776,Animal feed,908.7273452545261,49.94908979678799
Silo dust,Rainy,3.4885096810143104,8.650080486609182,55.658898205040195,Animal feed,174.74994470058547,50.093008384536176
Silo dust,Rainy,5.174629948017127,7.912441133553321,65.46691605771314,Animal feed,304.8903579929092,58.92022445194182
Silo dust,Rainy,5.395157844102815,8.549706945299958,69.1237461396287,Animal feed,335.6401690790905,62.211371525665825
Straw,Dry,44.23497593625149,6.804576160453182,67.45420877926965,Composting,1414.7090005412083,31.981683511707864
Husk,Rainy,18.47387647822666,10.804659010773882,890.9219216540537,Biomass combustion,8250.421547812091,446.5993673572545
Silo dust,Rainy,1.8374848581610381,6.896610223800597,905.4165262995192,Biomass combustion,818.0675038231299,445.21047353927855
Husk,Dry,20.269942092228966,9.015515340623,515.7519607495875,Biochar,1045.4262378347685,51.57519607495875
Husk,Rainy,18.130863029752838,14.426152832973827,65.06097039827415,Composting,562.4989322983292,31.024388159309662
Straw,Dry,48.699714919984814,7.580610514317785,43.435671348288494,Animal feed,1903.7743308178221,39.09210421345965
Silo dust,Rainy,7.287975838404327,11.512872684690379,39.84400563336902,Animal feed,261.3439353251154,35.859605070032124
Silo dust,Dry,4.874686087595111,4.311333245037057,65.16734260635049,Composting,151.44156578546392,31.0669370425402
Husk,Rainy,17.007531916418323,18.122928539537284,638.8527213947439,Biomass combustion,5536.956382427625,325.55907639264757
Bran,Rainy,13.487651567559357,19.54638934583624,543.7258089563938,Biochar,4400.150555695911,326.2354853738363
Straw,Dry,41.20252501448248,13.042660322664332,993.9114638261726,Biomass combustion,20520.03712869978,498.0286310483906
Straw,Dry,49.94974099703666,6.931402747231083,545.0538007928444,Biochar,2722.5296179053,54.50538007928445
Straw,Dry,49.80831507740235,10.850658120953188,65.3885211454936,Composting,1551.7984008510643,31.155408458197442
Straw,Dry,45.40093839242926,7.266242603169157,44.44810056411894,Composting,1034.1988821109721,22.77924022564758
Silo dust,Dry,4.187595522756335,7.699714140419509,725.6539265418573,Biomass combustion,1512.1034529968488,361.0910950639189
Silo dust,Dry,4.651372589930504,4.9701095260977,70.95552781139284,Composting,155.2731018160382,33.38221112455714
Bran,Dry,23.746208110217637,13.847903466359579,529.4017073541133,Biochar,7542.769870041186,317.64102441246797
Straw,Dry,47.03343967911662,7.0421768624517425,962.4354550391394,Biomass combustion,22620.70075039757,480.94931828771644
Straw,Rainy,45.810612389435576,23.380916606651603,834.7265103217873,Biomass combustion,19295.777622387177,421.2075895941743
Husk,Rainy,30.30279308308026,8.119525975118504,381.30842442075124,Biochar,1155.4710286057373,38.13084244207512
Silo dust,Dry,6.464690108843291,4.541783480699425,50.09363449299163,Composting,161.8593799133581,25.037453797196655
Straw,Rainy,39.845754408493036,11.140494285343218,64.94595748321099,Animal feed,2329.03860453041,58.451361734889886
Bran,Rainy,17.32522730507591,21.533371160670917,61.66652828563513,Animal feed,961.5479576971696,55.499875457071624
Bran,Rainy,12.96638458476708,15.603454054211948,59.12361742183523,Animal feed,153.32391230683012,11.824723484367045
Silo dust,Rainy,6.176399869943714,9.305435798439657,64.06934599669708,Composting,189.16915946227004,30.627738398678833
Bran,Dry,16.49646290203246,17.22628611602792,486.6457166297972,Biochar,4816.75980648987,291.9874299778783
Bran,Rainy,20.054311201859196,20.972182038586002,880.4227380154509,Biomass combustion,8970.221660801075,447.29642272477867
Silo dust,Dry,8.44425721136994,5.088646697398013,1018.9584570986144,Biomass combustion,4275.131617615597,506.2768116370567
Straw,Rainy,45.80794430657235,24.1387612990965,914.1269162520613,Biomass combustion,21124.33076091397,461.14993983441275
Straw,Rainy,42.41354384595739,11.264368552351517,55.11288086745129,Composting,1147.0807548892556,27.045152346980515
Bran,Rainy,21.220169740674308,26.77812749802578,37.96839539174138,Animal feed,725.1262154944095,34.171555852567245
Bran,Dry,19.39796293993183,12.654862438164095,60.29779263234624,Animal feed,233.93086936838938,12.059558526469248
Straw,Rainy,46.99607422648241,13.76010061172333,474.5733982921353,Biochar,13381.851991230717,284.74403897528117
Silo dust,Dry,8.002667303910973,3.5781893332581562,57.886639144490076,Animal feed,416.92276297341346,52.09797523004107
Bran,Rainy,14.86420783297962,21.53039656338016,64.59446752670787,Composting,458.3792752359536,30.837787010683147
Husk,Dry,28.996357875094997,10.911237380162234,78.90906754940308,Composting,1060.21201427649,36.563627019761235
Silo dust,Rainy,5.459908895684425,9.842719136098003,763.7546803551292,Biomass combustion,2096.7748250418163,384.03110108652754
Bran,Dry,5.1682170531199905,11.8655724179369,338.55241731286543,Biochar,1049.8274259188079,203.13145038771924
Bran,Dry,16.575202445908076,13.893061664670235,433.3616670641676,Biochar,4309.8344183308745,260.01700023850054
Husk,Rainy,19.17718464495703,14.631411624591454,524.6187407314403,Biochar,6036.426275527002,314.7712444388642
Husk,Dry,21.51166870881667,7.279612810780105,651.1133072416275,Biomass combustion,6992.548772386838,325.05840746426634
Straw,Rainy,52.72938230407997,16.756544369082263,487.249570979,Biochar,15415.421343390384,292.3497425874
Silo dust,Rainy,7.249597289186383,12.19824467029875,780.0908885757847,Biomass combustion,2862.879539000705,394.90187175927997
Silo dust,Rainy,4.8282135005644164,8.811256499929238,50.43122214540496,Composting,121.53815054778505,25.172488858161987
Straw,Rainy,42.40500140816769,17.801305475969126,634.1084807526267,Biomass combustion,13544.898597894779,319.41747784698515
Silo dust,Rainy,10.203366228360789,9.481506358977137,61.301359991980256,Composting,301.20892165970736,29.520543996792103
Silo dust,Rainy,4.642780050905311,7.287386861113701,551.7540916606753,Biochar,256.1672889767564,55.17540916606754
Silo dust,Rainy,4.960753028379051,8.499063922016179,980.8698154774208,Biomass combustion,2432.481357780668,490.34518426237656
Silo dust,Rainy,3.2889772840434937,9.683258438738228,387.9154780717357,Biochar,127.58451955068108,38.79154780717357
Silo dust,Rainy,6.177156808841219,7.838953100390555,67.59210999919833,Animal feed,375.77435625494337,60.8328989992785
Husk,Rainy,27.72263001839047,15.751658883125938,544.5193727013593,Biochar,9057.30546434751,326.71162362081554
Silo dust,Rainy,7.909621289983486,9.555966129485418,62.30933440829995,Animal feed,443.5589142005308,56.078400967469946
Husk,Dry,24.13497194558659,8.472849352524896,529.7802673049416,Biochar,1278.623188873013,52.978026730494165
Silo dust,Dry,4.125083399353179,4.1125078221979,61.852101914364574,Composting,122.68344852558441,29.74084076574583
Straw,Rainy,45.149635922199245,1.2419474154766093,355.84104826493547,Biochar,1606.6093775335567,35.58410482649355
Bran,Rainy,16.69360251434818,24.35622778962347,63.15129578588922,Composting,505.1570646180073,30.260518314355693
Husk,Rainy,17.919029986349297,11.374923777031265,722.8826906024491,Biomass combustion,6503.406103423197,362.9329326630675
Silo dust,Rainy,10.116398571336504,7.8962837082151065,54.62310302572137,Animal feed,497.3301732702369,49.160792723149235
Straw,Rainy,49.237043668706896,19.517223754620225,350.66217944161434,Biochar,10359.341425278419,210.3973076649686
Bran,Rainy,19.78220174173811,28.523716725051763,56.936465392286905,Animal feed,1013.6957803665388,51.24281885305822
Husk,Rainy,25.4513725317213,14.196781537049535,48.63212351141777,Composting,622.3585796577169,24.452849404567107
Bran,Rainy,12.733859753363625,21.319261509900286,60.81563034984366,Animal feed,696.9759369185822,54.734067314859296
Straw,Dry,42.681941244042264,12.613114923528695,854.5360583407962,Biomass combustion,18276.219739245822,428.1956070073757
Husk,Rainy,19.32378552183984,11.470218187118771,527.3099941538871,Biochar,6113.775138331402,316.3859964923323
Bran,Dry,10.604745574120551,17.646647347400425,54.600655404611494,Animal feed,115.80521174922704,10.920131080922301
Silo dust,Rainy,6.164195406937232,11.442067391050706,66.80075191453447,Composting,195.53013228729694,31.720300765813793
Husk,Rainy,21.780834386124212,16.62714758720294,60.38939870661461,Composting,635.0367686931796,29.15575948264584
Bran,Dry,18.85719495957912,13.416669407262182,812.4881466197805,Biomass combustion,7708.9109166132575,408.80475241081746
Straw,Rainy,40.69917982652356,11.495491217429372,479.0674335752185,Biomass combustion,9776.776743279934,240.22048564498175
Straw,Dry,34.8109511468734,7.6601663285794235,55.13242991490715,Animal feed,1727.291091938629,49.619186923416436
Husk,Rainy,18.628858214727344,14.42550550142871,350.06872423498623,Biochar,3912.8283775104264,210.04123454099172
Bran,Rainy,15.607525057008578,23.413931623794667,68.8633019606159,Animal feed,967.3071397727946,61.976971764554314
Husk,Dry,19.667357412239838,6.6146768843397945,61.962222702227436,Composting,585.7900590378026,29.78488908089098
Husk,Rainy,18.644381994787157,18.478065706878567,467.39160838337625,Biochar,5228.536612714578,280.43496503002575
Bran,Dry,15.645323991200845,14.49224734783108,56.088148100566734,Composting,429.2335195959334,27.435259240226696
Bran,Rainy,9.344868042540284,22.40657715075804,874.6804819946782,Biomass combustion,4249.012534370652,454.68940974105095
Silo dust,Dry,6.573939131109991,5.110956096068043,52.87093593118811,Composting,171.89782150212866,26.148374372475246
Bran,Dry,17.579696088520496,15.200972151674616,69.27832996231444,Composting,575.0552749456951,32.71133198492578
Straw,Rainy,48.46985544600094,16.11542887293052,1088.153530285907,Biomass combustion,26450.709799703338,545.7146417358603
Husk,Rainy,22.835277586940514,10.668801448111937,323.03100129268927,Biochar,4425.90155022354,193.81860077561356
Husk,Dry,16.963272006172726,5.853064644521096,1144.398500492704,Biomass combustion,9684.692288424221,570.9212400119553
Straw,Rainy,50.894549397714854,19.002845986154714,1051.8101797055788,Biomass combustion,26881.377951368737,528.1779339729394
Bran,Rainy,16.19654233410173,12.86340857007064,74.29324262712855,Animal feed,240.65872986959576,14.858648525425712
Straw,Rainy,42.983932321366545,17.586761074809054,735.6981654214625,Biomass combustion,15909.105771652163,370.1175046691582
Straw,Dry,41.80282962317668,9.564538031023105,66.50190380730754,Animal feed,2501.9709790263855,59.851713426576794
Silo dust,Dry,2.980538590580125,2.6370675644581616,773.6070117914655,Biomass combustion,1111.4474708878938,372.9015535650435
Straw,Dry,45.09100129631392,12.006102619322368,61.78808885063332,Composting,1339.8897242658363,29.715235540253328
Husk,Dry,19.705590950486375,6.705518724023907,42.93493571943591,Composting,436.9512670614841,22.173974287774364
Straw,Dry,46.813806950391005,9.926933300162778,556.5860998761638,Biochar,2605.5914230873777,55.65860998761638
Husk,Dry,28.123392292347802,8.245340631989592,485.7624259323894,Biochar,1366.1287265379133,48.57624259323895
Husk,Dry,17.5125067079743,6.325361841337217,796.7244738109237,Biomass combustion,6958.138260234021,397.3239454672495
Husk,Dry,19.84040752678319,8.63494386946218,78.28593613064997,Animal feed,1397.902388803034,70.45734251758498
